   PrimaryIndex TVD@UNKNOWN;3 [ TWOTIM@UNKNOWN;   
                A101629]        3 [A101631]       
       Unitless               m              ms   
         0.0000         0.00000         0.00000 
         1.0000       800.12500       782.61786 
         2.0000       800.25000       782.72614 
         3.0000       800.37500       782.82379 
         4.0000       800.50000       782.91406 
         5.0000       800.62500       783.00189 
         6.0000       800.75000       783.09302 
         7.0000       800.87500       783.18829 
         8.0000       801.00000       783.28711 
         9.0000       801.12500       783.38873 
        10.0000       801.25000       783.49133 
        11.0000       801.37500       783.59357 
        12.0000       801.50000       783.69647 
        13.0000       801.62500       783.80145 
        14.0000       801.75000       783.90973 
        15.0000       801.87500       784.02155 
        16.0000       802.00000       784.13525 
        17.0000       802.12500       784.24817 
        18.0000       802.25000       784.35895 
        19.0000       802.37500       784.46832 
        20.0000       802.50000       784.57837 
        21.0000       802.62500       784.69043 
        22.0000       802.75000       784.80505 
        23.0000       802.87500       784.91949 
        24.0000       803.00000       785.03040 
        25.0000       803.12500       785.13751 
        26.0000       803.25000       785.24255 
        27.0000       803.37500       785.34662 
        28.0000       803.50000       785.45056 
        29.0000       803.62500       785.55463 
        30.0000       803.75000       785.65814 
        31.0000       803.87500       785.76068 
        32.0000       804.00000       785.86310 
        33.0000       804.12500       785.96552 
        34.0000       804.25000       786.06726 
        35.0000       804.37500       786.16876 
        36.0000       804.50000       786.27063 
        37.0000       804.62500       786.37292 
        38.0000       804.75000       786.47626 
        39.0000       804.87500       786.58081 
        40.0000       805.00000       786.68567 
        41.0000       805.12500       786.79010 
        42.0000       805.25000       786.89374 
        43.0000       805.37500       786.99585 
        44.0000       805.50000       787.09637 
        45.0000       805.62500       787.19604 
        46.0000       805.75000       787.29474 
        47.0000       805.87500       787.39276 
        48.0000       806.00000       787.49072 
        49.0000       806.12500       787.58832 
        50.0000       806.25000       787.68500 
        51.0000       806.37500       787.78192 
        52.0000       806.50000       787.87976 
        53.0000       806.62500       787.97833 
        54.0000       806.75000       788.07806 
        55.0000       806.87500       788.17938 
        56.0000       807.00000       788.28162 
        57.0000       807.12500       788.38397 
        58.0000       807.25000       788.48572 
        59.0000       807.37500       788.58643 
        60.0000       807.50000       788.68854 
        61.0000       807.62500       788.79529 
        62.0000       807.75000       788.90887 
        63.0000       807.87500       789.03033 
        64.0000       808.00000       789.15887 
        65.0000       808.12500       789.28894 
        66.0000       808.25000       789.41516 
        67.0000       808.37500       789.53540 
        68.0000       808.50000       789.64960 
        69.0000       808.62500       789.75940 
        70.0000       808.75000       789.86761 
        71.0000       808.87500       789.97577 
        72.0000       809.00000       790.08270 
        73.0000       809.12500       790.18646 
        74.0000       809.25000       790.28687 
        75.0000       809.37500       790.38458 
        76.0000       809.50000       790.48169 
        77.0000       809.62500       790.58069 
        78.0000       809.75000       790.68420 
        79.0000       809.87500       790.79230 
        80.0000       810.00000       790.90308 
        81.0000       810.12500       791.01453 
        82.0000       810.25000       791.12500 
        83.0000       810.37500       791.23370 
        84.0000       810.50000       791.34009 
        85.0000       810.62500       791.44464 
        86.0000       810.75000       791.54852 
        87.0000       810.87500       791.65289 
        88.0000       811.00000       791.75787 
        89.0000       811.12500       791.86353 
        90.0000       811.25000       791.96973 
        91.0000       811.37500       792.07599 
        92.0000       811.50000       792.18213 
        93.0000       811.62500       792.28888 
        94.0000       811.75000       792.39655 
        95.0000       811.87500       792.50470 
        96.0000       812.00000       792.61316 
        97.0000       812.12500       792.72205 
        98.0000       812.25000       792.83160 
        99.0000       812.37500       792.94189 
       100.0000       812.50000       793.05151 
       101.0000       812.62500       793.15863 
       102.0000       812.75000       793.26270 
       103.0000       812.87500       793.36328 
       104.0000       813.00000       793.45978 
       105.0000       813.12500       793.55255 
       106.0000       813.25000       793.64166 
       107.0000       813.37500       793.72833 
       108.0000       813.50000       793.81641 
       109.0000       813.62500       793.90912 
       110.0000       813.75000       794.00696 
       111.0000       813.87500       794.10852 
       112.0000       814.00000       794.21173 
       113.0000       814.12500       794.31561 
       114.0000       814.25000       794.41943 
       115.0000       814.37500       794.52380 
       116.0000       814.50000       794.63068 
       117.0000       814.62500       794.73926 
       118.0000       814.75000       794.84662 
       119.0000       814.87500       794.95233 
       120.0000       815.00000       795.05737 
       121.0000       815.12500       795.16193 
       122.0000       815.25000       795.26605 
       123.0000       815.37500       795.36951 
       124.0000       815.50000       795.47192 
       125.0000       815.62500       795.57355 
       126.0000       815.75000       795.67505 
       127.0000       815.87500       795.77771 
       128.0000       816.00000       795.88397 
       129.0000       816.12500       795.99677 
       130.0000       816.25000       796.11780 
       131.0000       816.37500       796.24664 
       132.0000       816.50000       796.37921 
       133.0000       816.62500       796.50922 
       134.0000       816.75000       796.63092 
       135.0000       816.87500       796.74243 
       136.0000       817.00000       796.84406 
       137.0000       817.12500       796.93982 
       138.0000       817.25000       797.03577 
       139.0000       817.37500       797.13538 
       140.0000       817.50000       797.23773 
       141.0000       817.62500       797.34283 
       142.0000       817.75000       797.45239 
       143.0000       817.87500       797.56659 
       144.0000       818.00000       797.68408 
       145.0000       818.12500       797.80548 
