   PrimaryIndex TVD@UNKNOWN;2 [ TWOTIM@UNKNOWN;   
                A95164]         2 [A95166]        
       Unitless               m              ms   
         0.0000         0.00000         0.00000 
         1.0000       500.15240       421.24796 
         2.0000       500.30481       421.40082 
         3.0000       500.45721       421.55322 
         4.0000       500.60959       421.70737 
         5.0000       500.76199       421.86407 
         6.0000       500.91440       422.02258 
         7.0000       501.06680       422.17932 
         8.0000       501.21921       422.33344 
         9.0000       501.37161       422.48581 
        10.0000       501.52399       422.64020 
        11.0000       501.67639       422.79938 
        12.0000       501.82880       422.96564 
        13.0000       501.98120       423.13840 
        14.0000       502.13361       423.31320 
        15.0000       502.28601       423.48798 
        16.0000       502.43839       423.66025 
        17.0000       502.59079       423.83096 
        18.0000       502.74319       424.00043 
        19.0000       502.89560       424.16837 
        20.0000       503.04800       424.33566 
        21.0000       503.20041       424.50305 
        22.0000       503.35281       424.67239 
        23.0000       503.50519       424.84470 
        24.0000       503.65759       425.01947 
        25.0000       503.81000       425.19641 
        26.0000       503.96240       425.37448 
        27.0000       504.11481       425.55173 
        28.0000       504.26721       425.72699 
        29.0000       504.41959       425.89777 
        30.0000       504.57199       426.06689 
        31.0000       504.72440       426.23532 
        32.0000       504.87680       426.40369 
        33.0000       505.02921       426.57214 
        34.0000       505.18161       426.74051 
        35.0000       505.33401       426.90826 
        36.0000       505.48639       427.07510 
        37.0000       505.63879       427.24100 
        38.0000       505.79120       427.40494 
        39.0000       505.94360       427.56445 
        40.0000       506.09601       427.72064 
        41.0000       506.24841       427.87338 
        42.0000       506.40079       428.02148 
        43.0000       506.55319       428.16873 
        44.0000       506.70560       428.31644 
        45.0000       506.85800       428.46555 
        46.0000       507.01041       428.61490 
        47.0000       507.16281       428.76230 
        48.0000       507.31519       428.90457 
        49.0000       507.46759       429.03940 
        50.0000       507.62000       429.17090 
        51.0000       507.77240       429.30127 
        52.0000       507.92480       429.43506 
        53.0000       508.07721       429.57126 
        54.0000       508.22961       429.70932 
        55.0000       508.38199       429.84854 
        56.0000       508.53439       429.98822 
        57.0000       508.68680       430.12860 
        58.0000       508.83920       430.27054 
        59.0000       508.99161       430.41418 
        60.0000       509.14401       430.55853 
        61.0000       509.29639       430.70294 
        62.0000       509.44879       430.84665 
        63.0000       509.60120       430.99011 
        64.0000       509.75360       431.13406 
        65.0000       509.90601       431.28192 
        66.0000       510.05841       431.43283 
        67.0000       510.21078       431.58640 
        68.0000       510.36319       431.74139 
        69.0000       510.51559       431.89532 
        70.0000       510.66800       432.04584 
        71.0000       510.82040       432.18979 
        72.0000       510.97281       432.32559 
        73.0000       511.12521       432.45807 
        74.0000       511.27759       432.59006 
        75.0000       511.42999       432.72885 
        76.0000       511.58240       432.87317 
        77.0000       511.73480       433.02258 
        78.0000       511.88721       433.17816 
        79.0000       512.03961       433.33640 
        80.0000       512.19202       433.49670 
        81.0000       512.34442       433.65942 
        82.0000       512.49683       433.82355 
        83.0000       512.64917       433.98694 
        84.0000       512.80157       434.14694 
        85.0000       512.95398       434.30011 
        86.0000       513.10638       434.44928 
        87.0000       513.25879       434.59549 
        88.0000       513.41119       434.73935 
        89.0000       513.56360       434.88348 
        90.0000       513.71600       435.02856 
        91.0000       513.86841       435.17657 
        92.0000       514.02081       435.32721 
        93.0000       514.17322       435.47949 
        94.0000       514.32562       435.63333 
        95.0000       514.47803       435.78912 
        96.0000       514.63037       435.94702 
        97.0000       514.78278       436.10773 
        98.0000       514.93518       436.27332 
        99.0000       515.08759       436.44098 
       100.0000       515.23999       436.61026 
       101.0000       515.39240       436.78177 
       102.0000       515.54480       436.95435 
       103.0000       515.69720       437.12772 
       104.0000       515.84961       437.30176 
       105.0000       516.00201       437.47559 
       106.0000       516.15442       437.64798 
       107.0000       516.30682       437.81766 
       108.0000       516.45923       437.98444 
       109.0000       516.61157       438.15094 
       110.0000       516.76398       438.31802 
       111.0000       516.91638       438.48526 
       112.0000       517.06879       438.65155 
       113.0000       517.22119       438.81686 
       114.0000       517.37360       438.98178 
       115.0000       517.52600       439.14731 
       116.0000       517.67841       439.31430 
       117.0000       517.83081       439.48383 
       118.0000       517.98322       439.65625 
       119.0000       518.13562       439.83041 
       120.0000       518.28802       440.00571 
       121.0000       518.44043       440.18161 
       122.0000       518.59277       440.35730 
       123.0000       518.74518       440.53247 
       124.0000       518.89758       440.70709 
       125.0000       519.04999       440.88202 
       126.0000       519.20239       441.05777 
       127.0000       519.35480       441.23495 
       128.0000       519.50720       441.41299 
       129.0000       519.65961       441.59097 
       130.0000       519.81201       441.76825 
       131.0000       519.96442       441.94431 
       132.0000       520.11682       442.11911 
       133.0000       520.26923       442.29236 
       134.0000       520.42157       442.46225 
       135.0000       520.57397       442.63046 
       136.0000       520.72638       442.79776 
       137.0000       520.87878       442.96545 
       138.0000       521.03119       443.13480 
       139.0000       521.18359       443.30664 
       140.0000       521.33600       443.48187 
       141.0000       521.48840       443.65973 
       142.0000       521.64081       443.83823 
       143.0000       521.79321       444.01605 
       144.0000       521.94562       444.19080 
       145.0000       522.09802       444.36295 
