   PrimaryIndex TWOTIM@UNKNOWN; TVD@UNKNOWN;2 [   
                2 [A98122]      A98120]           
       Unitless              ms               m   
         0.0000         0.00000         0.00000 
         1.0000       393.23898       468.21921 
         2.0000       393.27985       468.37161 
         3.0000       393.32074       468.52399 
         4.0000       393.36160       468.67639 
         5.0000       393.40247       468.82880 
         6.0000       393.44333       468.98120 
         7.0000       393.48422       469.13361 
         8.0000       393.54565       469.28601 
         9.0000       393.60394       469.43839 
        10.0000       393.66135       469.59079 
        11.0000       393.71893       469.74319 
        12.0000       393.77658       469.89560 
        13.0000       393.83401       470.04800 
        14.0000       393.89120       470.20041 
        15.0000       393.94824       470.35281 
        16.0000       394.00507       470.50519 
        17.0000       394.06180       470.65759 
        18.0000       394.11832       470.81000 
        19.0000       394.17453       470.96240 
        20.0000       394.23044       471.11481 
        21.0000       394.28607       471.26721 
        22.0000       394.34152       471.41959 
        23.0000       394.39719       471.57199 
        24.0000       394.45322       471.72440 
        25.0000       394.50967       471.87680 
        26.0000       394.56631       472.02921 
        27.0000       394.62305       472.18161 
        28.0000       394.67969       472.33401 
        29.0000       394.73666       472.48639 
        30.0000       394.79395       472.63879 
        31.0000       394.85129       472.79120 
        32.0000       394.90784       472.94360 
        33.0000       394.96329       473.09601 
        34.0000       395.01801       473.24841 
        35.0000       395.07214       473.40079 
        36.0000       395.12601       473.55319 
        37.0000       395.18005       473.70560 
        38.0000       395.23483       473.85800 
        39.0000       395.29065       474.01041 
        40.0000       395.34698       474.16281 
        41.0000       395.40338       474.31519 
        42.0000       395.45953       474.46759 
        43.0000       395.51553       474.62000 
        44.0000       395.57166       474.77240 
        45.0000       395.62796       474.92480 
        46.0000       395.68402       475.07721 
        47.0000       395.74011       475.22961 
        48.0000       395.79837       475.38199 
        49.0000       395.86182       475.53439 
        50.0000       395.92932       475.68680 
        51.0000       395.99960       475.83920 
        52.0000       396.07043       475.99161 
        53.0000       396.14053       476.14401 
        54.0000       396.21008       476.29639 
        55.0000       396.27930       476.44879 
        56.0000       396.34833       476.60120 
        57.0000       396.41672       476.75360 
        58.0000       396.48303       476.90601 
        59.0000       396.54675       477.05841 
        60.0000       396.60886       477.21078 
        61.0000       396.66989       477.36319 
