   PrimaryIndex TWOTIM@UNKNOWN; TVD@UNKNOWN;2 [   
                2 [A100533]     A100531]          
       Unitless              ms               m   
         0.0000         0.00000         0.00000 
         1.0000       648.92273       646.52740 
         2.0000       649.07037       646.67981 
         3.0000       649.21222       646.83221 
         4.0000       649.34937       646.98462 
         5.0000       649.48163       647.13702 
         6.0000       649.60883       647.28943 
         7.0000       649.73145       647.44177 
         8.0000       649.85059       647.59418 
         9.0000       649.97009       647.74658 
        10.0000       650.09216       647.89899 
        11.0000       650.21625       648.05139 
        12.0000       650.34204       648.20380 
        13.0000       650.47052       648.35620 
        14.0000       650.60120       648.50861 
        15.0000       650.73297       648.66101 
        16.0000       650.86694       648.81342 
        17.0000       651.00226       648.96582 
        18.0000       651.13928       649.11823 
        19.0000       651.27692       649.27063 
        20.0000       651.41144       649.42297 
        21.0000       651.54156       649.57538 
        22.0000       651.67041       649.72778 
        23.0000       651.80084       649.88019 
        24.0000       651.93567       650.03259 
        25.0000       652.07666       650.18500 
        26.0000       652.22357       650.33740 
        27.0000       652.37268       650.48981 
        28.0000       652.52081       650.64221 
        29.0000       652.66681       650.79462 
        30.0000       652.80872       650.94702 
        31.0000       652.94690       651.09943 
        32.0000       653.08423       651.25177 
        33.0000       653.22119       651.40417 
        34.0000       653.35803       651.55658 
        35.0000       653.49585       651.70898 
        36.0000       653.63562       651.86139 
        37.0000       653.77686       652.01379 
        38.0000       653.91864       652.16620 
        39.0000       654.06000       652.31860 
        40.0000       654.19928       652.47101 
        41.0000       654.33777       652.62341 
        42.0000       654.47534       652.77582 
        43.0000       654.61163       652.92822 
        44.0000       654.74548       653.08063 
        45.0000       654.87653       653.23297 
        46.0000       655.00397       653.38538 
        47.0000       655.12708       653.53778 
        48.0000       655.24677       653.69019 
        49.0000       655.36847       653.84259 
        50.0000       655.49731       653.99500 
        51.0000       655.63342       654.14740 
        52.0000       655.77612       654.29980 
        53.0000       655.91992       654.45221 
        54.0000       656.05920       654.60461 
        55.0000       656.19257       654.75702 
        56.0000       656.31989       654.90942 
        57.0000       656.44293       655.06183 
        58.0000       656.56488       655.21417 
        59.0000       656.69214       655.36658 
        60.0000       656.82800       655.51898 
        61.0000       656.97351       655.67139 
