   PrimaryIndex TVD@UNKNOWN;2 [ TWOTIM@UNKNOWN;   
                A98444]         2 [A98446]        
       Unitless               m              ms   
         0.0000         0.00000         0.00000 
         1.0000       713.35876       597.96826 
         2.0000       713.51117       598.17352 
         3.0000       713.66357       598.37726 
         4.0000       713.81598       598.58105 
         5.0000       713.96838       598.78607 
         6.0000       714.12079       598.99268 
         7.0000       714.27319       599.20282 
         8.0000       714.42560       599.41571 
         9.0000       714.57800       599.62939 
        10.0000       714.73035       599.84375 
        11.0000       714.88275       600.05878 
        12.0000       715.03516       600.27417 
        13.0000       715.18756       600.48914 
        14.0000       715.33997       600.70294 
        15.0000       715.49237       600.91528 
        16.0000       715.64478       601.12567 
        17.0000       715.79718       601.33191 
        18.0000       715.94958       601.53333 
        19.0000       716.10199       601.73163 
        20.0000       716.25439       601.92889 
        21.0000       716.40680       602.12799 
        22.0000       716.55920       602.32642 
        23.0000       716.71155       602.51904 
        24.0000       716.86395       602.70148 
        25.0000       717.01636       602.88000 
        26.0000       717.16876       603.06055 
        27.0000       717.32117       603.24872 
        28.0000       717.47357       603.44281 
        29.0000       717.62598       603.63983 
        30.0000       717.77838       603.83844 
        31.0000       717.93079       604.03741 
        32.0000       718.08319       604.23639 
        33.0000       718.23560       604.43604 
        34.0000       718.38800       604.63757 
        35.0000       718.54041       604.84100 
        36.0000       718.69275       605.04584 
        37.0000       718.84515       605.25073 
        38.0000       718.99756       605.45422 
        39.0000       719.14996       605.65509 
        40.0000       719.30237       605.85132 
        41.0000       719.45477       606.04352 
        42.0000       719.60718       606.23254 
        43.0000       719.75958       606.41693 
        44.0000       719.91199       606.59686 
        45.0000       720.06439       606.77380 
        46.0000       720.21680       606.94653 
        47.0000       720.36920       607.11316 
        48.0000       720.52155       607.27393 
        49.0000       720.67395       607.42786 
        50.0000       720.82635       607.57452 
        51.0000       720.97876       607.71826 
        52.0000       721.13116       607.86151 
        53.0000       721.28357       608.00378 
        54.0000       721.43597       608.14404 
        55.0000       721.58838       608.28271 
        56.0000       721.74078       608.42261 
        57.0000       721.89319       608.56793 
        58.0000       722.04559       608.71948 
        59.0000       722.19800       608.87878 
        60.0000       722.35040       609.04620 
        61.0000       722.50275       609.21765 
        62.0000       722.65515       609.39044 
        63.0000       722.80756       609.56372 
        64.0000       722.95996       609.73779 
        65.0000       723.11237       609.91339 
        66.0000       723.26477       610.09106 
        67.0000       723.41718       610.26965 
        68.0000       723.56958       610.44781 
        69.0000       723.72198       610.62439 
        70.0000       723.87439       610.79926 
        71.0000       724.02679       610.97363 
        72.0000       724.17920       611.14880 
        73.0000       724.33160       611.32507 
        74.0000       724.48395       611.50208 
        75.0000       724.63635       611.67828 
        76.0000       724.78876       611.85211 
        77.0000       724.94116       612.02368 
        78.0000       725.09357       612.19421 
        79.0000       725.24597       612.36591 
        80.0000       725.39838       612.54047 
        81.0000       725.55078       612.71710 
        82.0000       725.70319       612.89447 
        83.0000       725.85559       613.07062 
        84.0000       726.00800       613.24500 
        85.0000       726.16040       613.41803 
        86.0000       726.31281       613.59033 
        87.0000       726.46515       613.76318 
        88.0000       726.61755       613.93756 
        89.0000       726.76996       614.11572 
        90.0000       726.92236       614.29840 
        91.0000       727.07477       614.48450 
        92.0000       727.22717       614.67395 
        93.0000       727.37958       614.86615 
        94.0000       727.53198       615.05927 
        95.0000       727.68439       615.25220 
        96.0000       727.83679       615.44452 
        97.0000       727.98920       615.63623 
        98.0000       728.14160       615.82800 
        99.0000       728.29401       616.01953 
       100.0000       728.44635       616.20880 
       101.0000       728.59875       616.39374 
       102.0000       728.75116       616.56903 
       103.0000       728.90356       616.73138 
       104.0000       729.05597       616.88135 
       105.0000       729.20837       617.02948 
       106.0000       729.36078       617.17645 
       107.0000       729.51318       617.32306 
       108.0000       729.66559       617.47211 
       109.0000       729.81799       617.62585 
       110.0000       729.97040       617.78625 
       111.0000       730.12280       617.95288 
       112.0000       730.27515       618.12146 
       113.0000       730.42755       618.28973 
       114.0000       730.57996       618.45709 
       115.0000       730.73236       618.62433 
       116.0000       730.88477       618.79309 
       117.0000       731.03717       618.96509 
       118.0000       731.18958       619.13965 
       119.0000       731.34198       619.31451 
       120.0000       731.49438       619.48792 
       121.0000       731.64679       619.65894 
       122.0000       731.79919       619.82898 
       123.0000       731.95160       619.99921 
       124.0000       732.10400       620.17084 
       125.0000       732.25635       620.34387 
       126.0000       732.40875       620.51776 
       127.0000       732.56116       620.69208 
       128.0000       732.71356       620.86615 
       129.0000       732.86597       621.03979 
       130.0000       733.01837       621.21277 
       131.0000       733.17078       621.38519 
       132.0000       733.32318       621.55731 
       133.0000       733.47559       621.72894 
       134.0000       733.62799       621.90057 
       135.0000       733.78040       622.07178 
       136.0000       733.93280       622.24213 
       137.0000       734.08521       622.40973 
       138.0000       734.23755       622.57300 
       139.0000       734.38995       622.73022 
       140.0000       734.54236       622.87744 
       141.0000       734.69476       623.01599 
       142.0000       734.84717       623.14954 
       143.0000       734.99957       623.28027 
       144.0000       735.15198       623.41248 
       145.0000       735.30438       623.54846 
