   PrimaryIndex TWOTIM@UNKNOWN; TVD@UNKNOWN;2 [   
                2 [A98703]      A98701]           
       Unitless              ms               m   
         0.0000         0.00000         0.00000 
         1.0000      1187.36035      1257.60718 
         2.0000      1187.48511      1257.75964 
         3.0000      1187.61047      1257.91199 
         4.0000      1187.73560      1258.06445 
         5.0000      1187.86084      1258.21680 
         6.0000      1187.98608      1258.36914 
         7.0000      1188.11206      1258.52161 
         8.0000      1188.23706      1258.67395 
         9.0000      1188.36108      1258.82642 
        10.0000      1188.48413      1258.97876 
        11.0000      1188.60547      1259.13123 
        12.0000      1188.72473      1259.28357 
        13.0000      1188.84229      1259.43604 
        14.0000      1188.95935      1259.58838 
        15.0000      1189.07935      1259.74084 
        16.0000      1189.20557      1259.89319 
        17.0000      1189.33655      1260.04565 
        18.0000      1189.46960      1260.19800 
        19.0000      1189.59924      1260.35034 
        20.0000      1189.72302      1260.50281 
        21.0000      1189.84021      1260.65515 
        22.0000      1189.95227      1260.80762 
        23.0000      1190.06287      1260.95996 
        24.0000      1190.17468      1261.11243 
        25.0000      1190.28796      1261.26477 
        26.0000      1190.40015      1261.41724 
        27.0000      1190.51099      1261.56958 
        28.0000      1190.62170      1261.72205 
        29.0000      1190.73486      1261.87439 
        30.0000      1190.85144      1262.02686 
        31.0000      1190.97046      1262.17920 
        32.0000      1191.09021      1262.33154 
        33.0000      1191.20850      1262.48401 
        34.0000      1191.32495      1262.63635 
        35.0000      1191.43909      1262.78882 
        36.0000      1191.55164      1262.94116 
        37.0000      1191.66406      1263.09363 
        38.0000      1191.77551      1263.24597 
        39.0000      1191.88806      1263.39844 
        40.0000      1192.00122      1263.55078 
        41.0000      1192.11511      1263.70325 
        42.0000      1192.23071      1263.85559 
        43.0000      1192.34656      1264.00806 
        44.0000      1192.46301      1264.16040 
        45.0000      1192.57983      1264.31274 
        46.0000      1192.69714      1264.46521 
        47.0000      1192.81409      1264.61755 
        48.0000      1192.93054      1264.77002 
        49.0000      1193.04626      1264.92236 
        50.0000      1193.16138      1265.07483 
        51.0000      1193.27563      1265.22717 
        52.0000      1193.38928      1265.37964 
        53.0000      1193.50269      1265.53198 
        54.0000      1193.61633      1265.68445 
