   PrimaryIndex TVD@UNKNOWN;5 [ TWOTIM@UNKNOWN;   
                A107134]        5 [A107168]       
       Unitless               m              ms   
         0.0000         0.00000         0.00000 
         1.0000       480.53741       498.10773 
         2.0000       480.68982       498.26874 
         3.0000       480.84222       498.42526 
         4.0000       480.99460       498.57773 
         5.0000       481.14700       498.72714 
         6.0000       481.29941       498.87650 
         7.0000       481.45181       499.03177 
         8.0000       481.60422       499.19321 
         9.0000       481.75662       499.35873 
        10.0000       481.90900       499.52524 
        11.0000       482.06140       499.69083 
        12.0000       482.21381       499.85147 
        13.0000       482.36621       499.99997 
        14.0000       482.51862       500.13708 
        15.0000       482.67102       500.26935 
        16.0000       482.82339       500.40341 
        17.0000       482.97580       500.54599 
        18.0000       483.12820       500.69696 
        19.0000       483.28061       500.85092 
        20.0000       483.33032       500.90146 
        21.0000       483.43301       500.99625 
        22.0000       483.58542       501.13428 
        23.0000       483.73782       501.26703 
        24.0000       483.89020       501.39594 
        25.0000       484.04260       501.52182 
        26.0000       484.19501       501.64850 
        27.0000       484.34741       501.77847 
        28.0000       484.49982       501.90991 
        29.0000       484.65222       502.04199 
        30.0000       484.80460       502.17563 
        31.0000       484.95700       502.30981 
        32.0000       485.10941       502.44284 
        33.0000       485.26181       502.57343 
        34.0000       485.41422       502.70142 
        35.0000       485.56662       502.82745 
        36.0000       485.71902       502.95377 
        37.0000       485.87140       503.08246 
        38.0000       486.02380       503.21353 
        39.0000       486.17621       503.34354 
        40.0000       486.32861       503.46857 
        41.0000       486.48102       503.58783 
        42.0000       486.63342       503.69864 
        43.0000       486.78580       503.80283 
        44.0000       486.93820       503.90524 
        45.0000       487.09061       504.00500 
        46.0000       487.24301       504.10657 
        47.0000       487.39542       504.21405 
        48.0000       487.54782       504.32492 
        49.0000       487.70020       504.43835 
        50.0000       487.85260       504.55243 
        51.0000       488.00500       504.66400 
        52.0000       488.15741       504.77274 
        53.0000       488.30981       504.88211 
        54.0000       488.46222       504.99487 
        55.0000       488.61462       505.11063 
        56.0000       488.76700       505.22809 
        57.0000       488.91940       505.34714 
        58.0000       489.07181       505.46640 
        59.0000       489.22421       505.58746 
        60.0000       489.37662       505.71161 
        61.0000       489.52902       505.83655 
        62.0000       489.68140       505.96100 
        63.0000       489.83380       506.08682 
        64.0000       489.98621       506.21509 
        65.0000       490.13861       506.34558 
        66.0000       490.29102       506.47842 
        67.0000       490.44342       506.61111 
        68.0000       490.59579       506.74146 
        69.0000       490.74820       506.87039 
        70.0000       490.90060       506.99884 
        71.0000       491.05301       507.12692 
        72.0000       491.20541       507.25592 
        73.0000       491.35782       507.38675 
        74.0000       491.51022       507.51926 
        75.0000       491.66260       507.65216 
        76.0000       491.81500       507.78531 
        77.0000       491.96741       507.91742 
        78.0000       492.11981       508.04721 
        79.0000       492.27222       508.17496 
        80.0000       492.42462       508.30173 
        81.0000       492.57700       508.42722 
        82.0000       492.72940       508.55249 
        83.0000       492.88181       508.67789 
        84.0000       493.03421       508.80225 
        85.0000       493.18661       508.92627 
        86.0000       493.33902       509.05215 
        87.0000       493.49142       509.18097 
        88.0000       493.64380       509.31354 
        89.0000       493.79620       509.44894 
        90.0000       493.94861       509.58490 
        91.0000       494.10101       509.72055 
        92.0000       494.25342       509.85538 
        93.0000       494.40582       509.99005 
        94.0000       494.55820       510.12607 
        95.0000       494.71060       510.26392 
        96.0000       494.86301       510.40332 
        97.0000       495.01541       510.54193 
        98.0000       495.16782       510.67715 
        99.0000       495.32022       510.80835 
       100.0000       495.47260       510.93893 
       101.0000       495.62500       511.07312 
       102.0000       495.77740       511.21420 
       103.0000       495.92981       511.36191 
       104.0000       496.08221       511.51306 
       105.0000       496.23462       511.66516 
       106.0000       496.38702       511.81619 
       107.0000       496.53940       511.96552 
       108.0000       496.69180       512.11389 
       109.0000       496.84421       512.26044 
       110.0000       496.99661       512.40399 
       111.0000       497.14902       512.54010 
       112.0000       497.30142       512.66589 
       113.0000       497.45380       512.78394 
       114.0000       497.60620       512.89880 
       115.0000       497.75861       513.01508 
       116.0000       497.91101       513.13531 
       117.0000       498.06342       513.25879 
       118.0000       498.21582       513.38586 
       119.0000       498.36823       513.51630 
       120.0000       498.52060       513.64966 
       121.0000       498.67300       513.78522 
       122.0000       498.82541       513.91882 
       123.0000       498.97781       514.04614 
       124.0000       499.13022       514.16779 
       125.0000       499.28262       514.28796 
       126.0000       499.43500       514.41071 
       127.0000       499.58740       514.54028 
       128.0000       499.73981       514.67389 
       129.0000       499.89221       514.80371 
       130.0000       500.04462       514.93018 
       131.0000       500.19702       515.05945 
       132.0000       500.34940       515.19464 
       133.0000       500.50180       515.33905 
       134.0000       500.65421       515.49139 
       135.0000       500.80661       515.64587 
       136.0000       500.95901       515.79926 
       137.0000       501.11142       515.95074 
       138.0000       501.26382       516.09784 
       139.0000       501.41620       516.23920 
       140.0000       501.56860       516.37640 
       141.0000       501.72101       516.50562 
       142.0000       501.87341       516.62872 
       143.0000       502.02582       516.75293 
       144.0000       502.17822       516.88251 
       145.0000       502.33060       517.02216 
