   PrimaryIndex TWOTIM@UNKNOWN; TVD@UNKNOWN;4 [   
                3 [A107194]     A107192]          
       Unitless              ms               m   
         0.0000         0.00000         0.00000 
         1.0000      1308.28601      1452.63220 
         2.0000      1308.40991      1452.78467 
         3.0000      1308.53333      1452.93701 
         4.0000      1308.65649      1453.08948 
         5.0000      1308.78003      1453.24182 
         6.0000      1308.90491      1453.39429 
         7.0000      1309.03247      1453.54663 
         8.0000      1309.16431      1453.69910 
         9.0000      1309.30200      1453.85144 
        10.0000      1309.44556      1454.00391 
        11.0000      1309.59363      1454.15625 
        12.0000      1309.74451      1454.30872 
        13.0000      1309.89539      1454.46106 
        14.0000      1310.04480      1454.61340 
        15.0000      1310.19177      1454.76587 
        16.0000      1310.33667      1454.91821 
        17.0000      1310.47900      1455.07068 
        18.0000      1310.61694      1455.22302 
        19.0000      1310.74829      1455.37549 
        20.0000      1310.87390      1455.52783 
        21.0000      1310.99817      1455.68030 
        22.0000      1311.12646      1455.83264 
        23.0000      1311.26050      1455.98511 
        24.0000      1311.39746      1456.13745 
        25.0000      1311.53198      1456.28992 
        26.0000      1311.66113      1456.44226 
        27.0000      1311.78418      1456.59460 
        28.0000      1311.90247      1456.74707 
        29.0000      1312.01904      1456.89941 
        30.0000      1312.13538      1457.05188 
        31.0000      1312.25269      1457.20422 
        32.0000      1312.37024      1457.35669 
        33.0000      1312.48767      1457.50903 
        34.0000      1312.60425      1457.66150 
        35.0000      1312.71960      1457.81384 
        36.0000      1312.83472      1457.96631 
        37.0000      1312.95166      1458.11865 
        38.0000      1313.07227      1458.27112 
        39.0000      1313.19617      1458.42346 
        40.0000      1313.32117      1458.57581 
        41.0000      1313.44385      1458.72827 
        42.0000      1313.56250      1458.88062 
        43.0000      1313.67700      1459.03308 
        44.0000      1313.78955      1459.18542 
        45.0000      1313.90295      1459.33789 
        46.0000      1314.01990      1459.49023 
        47.0000      1314.14319      1459.64270 
        48.0000      1314.27417      1459.79504 
        49.0000      1314.41272      1459.94751 
        50.0000      1314.55688      1460.09985 
        51.0000      1314.70361      1460.25232 
        52.0000      1314.85022      1460.40466 
        53.0000      1314.99475      1460.55701 
        54.0000      1315.13611      1460.70947 
