   PrimaryIndex TWOTIM@UNKNOWN; TVD@UNKNOWN;3 [   
                3 [A105935]     A105933]          
       Unitless              ms               m   
         0.0000         0.00000         0.00000 
         1.0000       546.91711       674.75238 
         2.0000       547.04150       674.90479 
         3.0000       547.16595       675.05719 
         4.0000       547.28809       675.20959 
         5.0000       547.41217       675.36200 
         6.0000       547.55048       675.51440 
         7.0000       547.71240       675.66675 
         8.0000       547.89465       675.81915 
         9.0000       548.08203       675.97156 
        10.0000       548.25928       676.12396 
        11.0000       548.42285       676.27637 
        12.0000       548.57776       676.42877 
        13.0000       548.72937       676.58118 
        14.0000       548.87903       676.73358 
        15.0000       549.02539       676.88599 
        16.0000       549.16669       677.03839 
        17.0000       549.29950       677.19080 
        18.0000       549.42181       677.34320 
        19.0000       549.53387       677.49561 
        20.0000       549.63855       677.64795 
        21.0000       549.73865       677.80035 
        22.0000       549.83563       677.95276 
        23.0000       549.93146       678.10516 
        24.0000       550.02771       678.25757 
        25.0000       550.12549       678.40997 
        26.0000       550.22498       678.56238 
        27.0000       550.32690       678.71478 
        28.0000       550.43164       678.86719 
        29.0000       550.53979       679.01959 
        30.0000       550.65027       679.17200 
        31.0000       550.76270       679.32440 
        32.0000       550.87750       679.47675 
        33.0000       550.99640       679.62915 
        34.0000       551.12274       679.78156 
        35.0000       551.25787       679.93396 
        36.0000       551.39996       680.08636 
        37.0000       551.54700       680.23877 
        38.0000       551.70111       680.39117 
        39.0000       551.86707       680.54358 
        40.0000       552.04651       680.69598 
        41.0000       552.23651       680.84839 
        42.0000       552.43213       681.00079 
        43.0000       552.63141       681.15320 
        44.0000       552.83282       681.30560 
        45.0000       553.03351       681.45795 
        46.0000       553.22919       681.61035 
        47.0000       553.41809       681.76276 
        48.0000       553.60101       681.91516 
        49.0000       553.78076       682.06757 
        50.0000       553.95984       682.21997 
        51.0000       554.13904       682.37238 
        52.0000       554.31671       682.52478 
        53.0000       554.48846       682.67719 
        54.0000       554.65002       682.82959 
        55.0000       554.80078       682.98199 
        56.0000       554.94678       683.13440 
        57.0000       555.09766       683.28680 
        58.0000       555.25964       683.43915 
        59.0000       555.43164       683.59155 
        60.0000       555.60834       683.74396 
        61.0000       555.78473       683.89636 
