   PrimaryIndex TVD@UNKNOWN;2 [ TWOTIM@UNKNOWN;   
                A108289]        2 [A108291]       
       Unitless               m              ms   
         0.0000         0.00000         0.00000 
         1.0000       484.82141       658.04791 
         2.0000       484.97382       658.11609 
         3.0000       485.12622       658.18524 
         4.0000       485.27859       658.25653 
         5.0000       485.43100       658.32996 
         6.0000       485.58340       658.40588 
         7.0000       485.73581       658.48376 
         8.0000       485.88821       658.56262 
         9.0000       486.04062       658.64172 
        10.0000       486.19299       658.72064 
        11.0000       486.34540       658.79785 
        12.0000       486.49780       658.87201 
        13.0000       486.65021       658.94135 
        14.0000       486.80261       659.00604 
        15.0000       486.95502       659.06860 
        16.0000       487.10739       659.13239 
        17.0000       487.25980       659.20038 
        18.0000       487.41220       659.27417 
        19.0000       487.56461       659.35272 
        20.0000       487.71701       659.43433 
        21.0000       487.86942       659.51862 
        22.0000       488.02182       659.60474 
        23.0000       488.17419       659.69086 
        24.0000       488.32660       659.77472 
        25.0000       488.47900       659.85333 
        26.0000       488.63141       659.92517 
        27.0000       488.78381       659.99121 
        28.0000       488.93622       660.05359 
        29.0000       489.08859       660.11377 
        30.0000       489.24100       660.17273 
        31.0000       489.39340       660.23102 
        32.0000       489.54581       660.28979 
        33.0000       489.69821       660.35040 
        34.0000       489.85062       660.41345 
        35.0000       490.00302       660.48041 
        36.0000       490.15540       660.54877 
        37.0000       490.30780       660.61615 
        38.0000       490.46021       660.67822 
        39.0000       490.61261       660.73688 
        40.0000       490.76501       660.79480 
        41.0000       490.91742       660.85278 
        42.0000       491.06979       660.91083 
        43.0000       491.22220       660.96887 
        44.0000       491.37460       661.02686 
        45.0000       491.52701       661.08490 
        46.0000       491.67941       661.14301 
        47.0000       491.83182       661.20099 
        48.0000       491.98419       661.25903 
        49.0000       492.13660       661.31689 
        50.0000       492.28900       661.37463 
        51.0000       492.44141       661.43262 
        52.0000       492.59381       661.49103 
        53.0000       492.74622       661.54993 
        54.0000       492.89862       661.60895 
        55.0000       493.05099       661.66779 
        56.0000       493.20340       661.72644 
        57.0000       493.35580       661.78516 
        58.0000       493.50821       661.84387 
        59.0000       493.66061       661.90289 
        60.0000       493.81302       661.96210 
        61.0000       493.96539       662.02124 
        62.0000       494.11780       662.08020 
        63.0000       494.27020       662.13922 
        64.0000       494.42261       662.19818 
        65.0000       494.57501       662.25726 
        66.0000       494.72742       662.31604 
        67.0000       494.87979       662.37433 
        68.0000       495.03220       662.43188 
        69.0000       495.18460       662.48907 
        70.0000       495.33701       662.54633 
        71.0000       495.48941       662.60419 
        72.0000       495.64182       662.66266 
        73.0000       495.79422       662.72144 
        74.0000       495.94659       662.78009 
        75.0000       496.09900       662.83820 
        76.0000       496.25140       662.89575 
        77.0000       496.40381       662.95276 
        78.0000       496.55621       663.00952 
        79.0000       496.70862       663.06604 
        80.0000       496.86099       663.12262 
        81.0000       497.01340       663.17938 
        82.0000       497.16580       663.23651 
        83.0000       497.31821       663.29370 
        84.0000       497.47061       663.35101 
        85.0000       497.62302       663.40814 
        86.0000       497.77542       663.46533 
        87.0000       497.92780       663.52246 
        88.0000       498.08020       663.57947 
        89.0000       498.23260       663.63647 
        90.0000       498.38501       663.69312 
        91.0000       498.53741       663.74969 
        92.0000       498.68982       663.80627 
        93.0000       498.84219       663.86279 
        94.0000       498.99460       663.92010 
        95.0000       499.14700       663.98187 
        96.0000       499.29941       664.05023 
        97.0000       499.45181       664.12140 
        98.0000       499.60422       664.19202 
        99.0000       499.75659       664.25830 
       100.0000       499.90900       664.31970 
       101.0000       500.06140       664.37927 
       102.0000       500.21381       664.43848 
       103.0000       500.36621       664.49701 
       104.0000       500.51862       664.55481 
       105.0000       500.67102       664.61182 
       106.0000       500.82339       664.66809 
       107.0000       500.97580       664.72424 
       108.0000       501.12820       664.78064 
       109.0000       501.28061       664.83716 
       110.0000       501.43301       664.89404 
       111.0000       501.58542       664.95123 
       112.0000       501.73779       665.00848 
       113.0000       501.89020       665.06573 
       114.0000       502.04260       665.12305 
       115.0000       502.19501       665.18036 
       116.0000       502.34741       665.23792 
       117.0000       502.49982       665.29541 
       118.0000       502.65222       665.35309 
       119.0000       502.80460       665.41058 
       120.0000       502.95700       665.46783 
       121.0000       503.10941       665.52509 
       122.0000       503.26181       665.58221 
       123.0000       503.41422       665.63965 
       124.0000       503.56662       665.69751 
       125.0000       503.71899       665.75623 
       126.0000       503.87140       665.81531 
       127.0000       504.02380       665.87457 
       128.0000       504.17621       665.93384 
       129.0000       504.32861       665.99280 
       130.0000       504.48102       666.05164 
       131.0000       504.63339       666.11017 
       132.0000       504.78580       666.16870 
       133.0000       504.93820       666.22723 
       134.0000       505.09061       666.28577 
       135.0000       505.24301       666.34418 
       136.0000       505.39542       666.40234 
       137.0000       505.54782       666.46008 
       138.0000       505.70020       666.51727 
       139.0000       505.85260       666.57404 
       140.0000       506.00500       666.63068 
       141.0000       506.15741       666.68750 
       142.0000       506.30981       666.74457 
       143.0000       506.46222       666.80194 
       144.0000       506.61459       666.85919 
       145.0000       506.76700       666.91675 
