   PrimaryIndex TWOTIM@UNKNOWN; TVD@UNKNOWN;4 [   
                4 [A107510]     A107508]          
       Unitless              ms               m   
         0.0000         0.00000         0.00000 
         1.0000       702.73340       718.00000 
         2.0000       722.68018       740.00000 
         3.0000       742.62708       762.00000 
         4.0000       762.57416       785.00000 
         5.0000       782.52100       807.00000 
         6.0000       802.46777       831.00000 
         7.0000       822.41479       854.00000 
         8.0000       842.36169       877.00000 
         9.0000       862.30847       900.00000 
        10.0000       882.25555       923.00000 
        11.0000       902.20245       946.00000 
        12.0000       922.14917       970.00000 
        13.0000       942.09625       993.00000 
        14.0000       962.04309      1017.00000 
        15.0000       981.98987      1041.00000 
        16.0000      1001.93665      1065.00000 
        17.0000      1021.88385      1089.00000 
        18.0000      1041.83069      1113.00000 
        19.0000      1061.77759      1137.00000 
        20.0000      1081.72437      1162.00000 
        21.0000      1101.67126      1186.00000 
        22.0000      1121.61816      1211.00000 
        23.0000      1141.56519      1236.00000 
        24.0000      1161.51208      1261.00000 
        25.0000      1181.45911      1286.00000 
        26.0000      1201.40576      1311.00000 
        27.0000      1221.35266      1336.00000 
        28.0000      1241.29956      1362.00000 
        29.0000      1261.24670      1387.00000 
        30.0000      1281.19348      1413.00000 
        31.0000      1301.14038      1438.00000 
        32.0000      1321.08728      1464.00000 
        33.0000      1341.03406      1496.00000 
        34.0000      1360.98096      1517.00000 
        35.0000      1380.92798      1543.00000 
        36.0000      1400.87500      1569.00000 
        37.0000      1420.82178      1596.00000 
        38.0000      1440.76855      1622.00000 
        39.0000      1460.71558      1649.00000 
        40.0000      1480.66235      1676.00000 
        41.0000      1500.60950      1703.00000 
        42.0000      1520.55627      1730.00000 
        43.0000      1540.50330      1758.00000 
        44.0000      1560.45007      1785.00000 
        45.0000      1580.39685      1813.00000 
        46.0000      1600.34387      1841.00000 
        47.0000      1620.29089      1868.00000 
        48.0000      1640.23779      1896.00000 
        49.0000      1647.63525      1906.75476 
        50.0000      1651.38745      1912.62219 
        51.0000      1659.11267      1925.00000 
        52.0000      1677.21228      1953.00000 
        53.0000      1695.31140      1981.00000 
        54.0000      1707.62830      2000.73462 
        55.0000      1711.07898      2006.06042 
        56.0000      1713.68347      2010.00000 
