   PrimaryIndex TWOTIM@UNKNOWN; TVD@UNKNOWN;4 [   
                3 [A107776]     A107774]          
       Unitless              ms               m   
         0.0000         0.00000         0.00000 
         1.0000       793.58356       930.05804 
         2.0000       793.70850       930.21045 
         3.0000       793.83264       930.36285 
         4.0000       793.95367       930.51526 
         5.0000       794.06940       930.66766 
         6.0000       794.17999       930.82007 
         7.0000       794.29144       930.97241 
         8.0000       794.40521       931.12482 
         9.0000       794.52051       931.27722 
        10.0000       794.63525       931.42963 
        11.0000       794.74878       931.58203 
        12.0000       794.86340       931.73444 
        13.0000       794.98096       931.88684 
        14.0000       795.10211       932.03925 
        15.0000       795.22650       932.19165 
        16.0000       795.35315       932.34406 
        17.0000       795.48047       932.49646 
        18.0000       795.60748       932.64886 
        19.0000       795.73358       932.80127 
        20.0000       795.85590       932.95361 
        21.0000       795.97211       933.10602 
        22.0000       796.08490       933.25842 
        23.0000       796.19556       933.41083 
        24.0000       796.30634       933.56323 
        25.0000       796.42059       933.71564 
        26.0000       796.53772       933.86804 
        27.0000       796.65900       934.02045 
        28.0000       796.78632       934.17285 
        29.0000       796.92072       934.32526 
        30.0000       797.06378       934.47766 
        31.0000       797.21143       934.63007 
        32.0000       797.36090       934.78241 
        33.0000       797.51050       934.93481 
        34.0000       797.65521       935.08722 
        35.0000       797.79437       935.23962 
        36.0000       797.92871       935.39203 
        37.0000       798.05920       935.54443 
        38.0000       798.18799       935.69684 
        39.0000       798.31573       935.84924 
        40.0000       798.44177       936.00165 
        41.0000       798.56976       936.15405 
        42.0000       798.70367       936.30646 
        43.0000       798.84601       936.45886 
        44.0000       798.99713       936.61127 
        45.0000       799.15283       936.76361 
        46.0000       799.30768       936.91602 
        47.0000       799.45886       937.06842 
        48.0000       799.60748       937.22083 
        49.0000       799.75372       937.37323 
        50.0000       799.89874       937.52563 
        51.0000       800.04315       937.67804 
        52.0000       800.18604       937.83044 
        53.0000       800.32568       937.98285 
        54.0000       800.46216       938.13525 
        55.0000       800.59747       938.28766 
        56.0000       800.73267       938.44006 
        57.0000       800.86957       938.59247 
        58.0000       801.00769       938.74481 
        59.0000       801.14648       938.89722 
        60.0000       801.28571       939.04962 
        61.0000       801.42609       939.20203 
