   PrimaryIndex TWOTIM@UNKNOWN; TVD@UNKNOWN;4 [   
                3 [A107819]     A107817]          
       Unitless              ms               m   
         0.0000         0.00000         0.00000 
         1.0000       729.50055       842.52606 
         2.0000       729.64423       842.67847 
         3.0000       729.78082       842.83087 
         4.0000       729.91193       842.98328 
         5.0000       730.04230       843.13568 
         6.0000       730.17743       843.28809 
         7.0000       730.31927       843.44043 
         8.0000       730.46454       843.59283 
         9.0000       730.60889       843.74524 
        10.0000       730.75128       843.89764 
        11.0000       730.89343       844.05005 
        12.0000       731.03711       844.20245 
        13.0000       731.18304       844.35486 
        14.0000       731.33093       844.50726 
        15.0000       731.47961       844.65967 
        16.0000       731.62933       844.81207 
        17.0000       731.78094       844.96448 
        18.0000       731.93427       845.11688 
        19.0000       732.08881       845.26929 
        20.0000       732.24268       845.42163 
        21.0000       732.39362       845.57404 
        22.0000       732.54077       845.72644 
        23.0000       732.68481       845.87885 
        24.0000       732.82629       846.03125 
        25.0000       732.96588       846.18365 
        26.0000       733.10382       846.33606 
        27.0000       733.24060       846.48846 
        28.0000       733.37665       846.64087 
        29.0000       733.51196       846.79327 
        30.0000       733.64581       846.94568 
        31.0000       733.77509       847.09808 
        32.0000       733.89911       847.25043 
        33.0000       734.02087       847.40283 
        34.0000       734.14288       847.55524 
        35.0000       734.26752       847.70764 
        36.0000       734.39502       847.86005 
        37.0000       734.52240       848.01245 
        38.0000       734.64844       848.16486 
        39.0000       734.77295       848.31726 
        40.0000       734.89307       848.46967 
        41.0000       735.00714       848.62207 
        42.0000       735.11853       848.77448 
        43.0000       735.23474       848.92688 
        44.0000       735.36017       849.07928 
        45.0000       735.49701       849.23163 
        46.0000       735.64233       849.38403 
        47.0000       735.78833       849.53644 
        48.0000       735.92999       849.68884 
        49.0000       736.06555       849.84125 
        50.0000       736.19550       849.99365 
        51.0000       736.32178       850.14606 
        52.0000       736.44965       850.29846 
        53.0000       736.58075       850.45087 
        54.0000       736.71375       850.60327 
        55.0000       736.84790       850.75568 
        56.0000       736.98334       850.90808 
        57.0000       737.11908       851.06049 
        58.0000       737.25116       851.21283 
        59.0000       737.37488       851.36523 
        60.0000       737.49365       851.51764 
        61.0000       737.61670       851.67004 
