   PrimaryIndex TWOTIM@UNKNOWN; TVD@UNKNOWN;4 [   
                4 [A99164]      A99162]           
       Unitless              ms               m   
         0.0000         0.00000         0.00000 
         1.0000       586.35315       505.29199 
         2.0000       586.50684       505.44440 
         3.0000       586.66309       505.59680 
         4.0000       586.82184       505.74921 
         5.0000       586.98145       505.90161 
         6.0000       587.13965       506.05399 
         7.0000       587.29437       506.20639 
         8.0000       587.44550       506.35880 
         9.0000       587.59351       506.51120 
        10.0000       587.73950       506.66360 
        11.0000       587.88562       506.81601 
        12.0000       588.03302       506.96841 
        13.0000       588.18286       507.12079 
        14.0000       588.33514       507.27319 
        15.0000       588.48792       507.42560 
        16.0000       588.64026       507.57800 
        17.0000       588.79181       507.73041 
        18.0000       588.94360       507.88281 
        19.0000       589.09753       508.03519 
        20.0000       589.25562       508.18759 
        21.0000       589.41772       508.34000 
        22.0000       589.58282       508.49240 
        23.0000       589.75018       508.64481 
        24.0000       589.91858       508.79721 
        25.0000       590.08661       508.94962 
        26.0000       590.25305       509.10199 
        27.0000       590.41571       509.25439 
        28.0000       590.57355       509.40680 
        29.0000       590.72791       509.55920 
        30.0000       590.88159       509.71161 
        31.0000       591.03625       509.86401 
        32.0000       591.19293       510.01639 
        33.0000       591.35114       510.16879 
        34.0000       591.51001       510.32120 
        35.0000       591.66943       510.47360 
        36.0000       591.82867       510.62601 
        37.0000       591.98376       510.77841 
        38.0000       592.13190       510.93079 
        39.0000       592.27625       511.08319 
        40.0000       592.42151       511.23560 
        41.0000       592.57281       511.38800 
        42.0000       592.73254       511.54041 
        43.0000       592.89673       511.69281 
        44.0000       593.06097       511.84521 
        45.0000       593.22266       511.99759 
        46.0000       593.38086       512.15002 
        47.0000       593.53772       512.30243 
        48.0000       593.69598       512.45477 
        49.0000       593.85583       512.60718 
        50.0000       594.01440       512.75958 
        51.0000       594.05365       512.79865 
        52.0000       594.14618       512.91199 
        53.0000       594.26501       513.06439 
        54.0000       594.38019       513.21680 
        55.0000       594.49567       513.36920 
        56.0000       594.61255       513.52161 
        57.0000       594.73059       513.67401 
        58.0000       594.84973       513.82642 
        59.0000       594.97015       513.97882 
        60.0000       595.09406       514.13123 
        61.0000       595.22186       514.28363 
