   PrimaryIndex TVD@UNKNOWN;2 [ TWOTIM@UNKNOWN;   
                A103813]        2 [A103815]       
       Unitless               m              ms   
         0.0000         0.00000         0.00000 
         1.0000       776.54443       775.63153 
         2.0000       776.69684       775.69537 
         3.0000       776.84924       775.76190 
         4.0000       777.00165       775.83350 
         5.0000       777.15405       775.90936 
         6.0000       777.30646       775.98737 
         7.0000       777.45880       776.06464 
         8.0000       777.61121       776.13867 
         9.0000       777.76361       776.21027 
        10.0000       777.91602       776.28125 
        11.0000       778.06842       776.35309 
        12.0000       778.22083       776.42761 
        13.0000       778.37323       776.50348 
        14.0000       778.52563       776.58008 
        15.0000       778.67804       776.65662 
        16.0000       778.83044       776.72949 
        17.0000       778.98285       776.80316 
        18.0000       779.13525       776.87964 
        19.0000       779.28766       776.95660 
        20.0000       779.44000       777.03217 
        21.0000       779.59241       777.10437 
        22.0000       779.74481       777.17438 
        23.0000       779.89722       777.24603 
        24.0000       780.04962       777.32715 
        25.0000       780.20203       777.41821 
        26.0000       780.35443       777.51129 
        27.0000       780.50684       777.60413 
        28.0000       780.65924       777.69672 
        29.0000       780.81165       777.78943 
        30.0000       780.96405       777.88177 
        31.0000       781.11646       777.97113 
        32.0000       781.26880       778.05402 
        33.0000       781.42120       778.13568 
        34.0000       781.57361       778.22186 
        35.0000       781.72601       778.31000 
        36.0000       781.87842       778.39856 
        37.0000       782.03082       778.48657 
        38.0000       782.18323       778.57471 
        39.0000       782.33563       778.66809 
        40.0000       782.48804       778.76660 
        41.0000       782.64044       778.86609 
        42.0000       782.79285       778.96106 
        43.0000       782.94525       779.04645 
        44.0000       783.09766       779.12238 
        45.0000       783.25000       779.19409 
        46.0000       783.40240       779.26654 
        47.0000       783.55481       779.34033 
        48.0000       783.70721       779.41711 
        49.0000       783.85962       779.49939 
        50.0000       784.01202       779.58380 
        51.0000       784.16443       779.66785 
        52.0000       784.31683       779.74908 
        53.0000       784.46924       779.82178 
        54.0000       784.62164       779.88757 
        55.0000       784.77405       779.95001 
        56.0000       784.92645       780.01123 
        57.0000       785.07886       780.07501 
        58.0000       785.23120       780.14240 
        59.0000       785.38361       780.21301 
        60.0000       785.53601       780.28741 
        61.0000       785.68842       780.36957 
        62.0000       785.84082       780.46014 
        63.0000       785.99323       780.56311 
        64.0000       786.14563       780.68359 
        65.0000       786.29803       780.81976 
        66.0000       786.45044       780.96967 
        67.0000       786.60284       781.12878 
        68.0000       786.75525       781.29095 
        69.0000       786.90765       781.45282 
        70.0000       787.06006       781.61102 
        71.0000       787.21240       781.76672 
        72.0000       787.36481       781.92175 
        73.0000       787.51721       782.07581 
        74.0000       787.66962       782.23022 
        75.0000       787.82202       782.38501 
        76.0000       787.97443       782.53876 
        77.0000       788.12683       782.69287 
        78.0000       788.27924       782.84521 
        79.0000       788.43164       782.99292 
        80.0000       788.58405       783.13409 
        81.0000       788.73645       783.26910 
        82.0000       788.88885       783.40216 
        83.0000       789.04120       783.53442 
        84.0000       789.19360       783.66656 
        85.0000       789.34601       783.79834 
        86.0000       789.49841       783.92889 
        87.0000       789.65082       784.06110 
        88.0000       789.80322       784.19775 
        89.0000       789.95563       784.33777 
        90.0000       790.10803       784.47931 
        91.0000       790.26044       784.62006 
        92.0000       790.41284       784.75665 
        93.0000       790.56525       784.88898 
        94.0000       790.71765       785.01923 
        95.0000       790.87006       785.15125 
        96.0000       791.02240       785.28888 
        97.0000       791.17480       785.43433 
        98.0000       791.32721       785.58575 
        99.0000       791.47961       785.73822 
       100.0000       791.63202       785.88947 
       101.0000       791.78442       786.04053 
       102.0000       791.93683       786.19403 
       103.0000       792.08923       786.34766 
       104.0000       792.24164       786.49536 
       105.0000       792.39404       786.63177 
       106.0000       792.54645       786.75470 
       107.0000       792.69885       786.86652 
       108.0000       792.85126       786.97260 
       109.0000       793.00360       787.08038 
       110.0000       793.15601       787.19281 
       111.0000       793.30841       787.30780 
       112.0000       793.46082       787.42371 
       113.0000       793.61322       787.53741 
       114.0000       793.76562       787.64819 
       115.0000       793.91803       787.76569 
       116.0000       794.07043       787.89600 
       117.0000       794.22284       788.03729 
       118.0000       794.37524       788.18549 
       119.0000       794.52765       788.33380 
       120.0000       794.68005       788.48004 
       121.0000       794.83246       788.62659 
       122.0000       794.98480       788.77625 
       123.0000       795.13721       788.93030 
       124.0000       795.28961       789.08508 
       125.0000       795.44202       789.23730 
       126.0000       795.59442       789.38593 
       127.0000       795.74683       789.52954 
       128.0000       795.89923       789.66986 
       129.0000       796.05164       789.80951 
       130.0000       796.20404       789.95074 
       131.0000       796.35645       790.09326 
       132.0000       796.50885       790.23297 
       133.0000       796.66125       790.36414 
       134.0000       796.81360       790.48511 
       135.0000       796.96600       790.60193 
       136.0000       797.11841       790.72314 
       137.0000       797.27081       790.85431 
       138.0000       797.42322       790.99133 
       139.0000       797.57562       791.12372 
       140.0000       797.72803       791.25183 
       141.0000       797.88043       791.37970 
       142.0000       798.03284       791.50696 
       143.0000       798.18524       791.63660 
       144.0000       798.33765       791.76996 
       145.0000       798.49005       791.90057 
