   PrimaryIndex TVD@UNKNOWN;4 [ TWOTIM@UNKNOWN;   
                A99241]         4 [A99243]        
       Unitless               m              ms   
         0.0000         0.00000         0.00000 
         1.0000      1336.13232      1208.91040 
         2.0000      1336.28479      1209.04211 
         3.0000      1336.43713      1209.17273 
         4.0000      1336.58960      1209.30286 
         5.0000      1336.74194      1209.43420 
         6.0000      1336.89441      1209.56714 
         7.0000      1337.04675      1209.70410 
         8.0000      1337.19922      1209.84485 
         9.0000      1337.35156      1209.98718 
        10.0000      1337.50403      1210.12866 
        11.0000      1337.65637      1210.26746 
        12.0000      1337.80884      1210.40283 
        13.0000      1337.96118      1210.53369 
        14.0000      1338.11353      1210.65881 
        15.0000      1338.26599      1210.77917 
        16.0000      1338.41833      1210.89856 
        17.0000      1338.57080      1211.02002 
        18.0000      1338.72314      1211.14490 
        19.0000      1338.87561      1211.27063 
        20.0000      1339.02795      1211.39380 
        21.0000      1339.18042      1211.51282 
        22.0000      1339.33276      1211.62927 
        23.0000      1339.48523      1211.74548 
        24.0000      1339.63757      1211.86230 
        25.0000      1339.79004      1211.97888 
        26.0000      1339.94238      1212.09558 
        27.0000      1340.09473      1212.21191 
        28.0000      1340.24719      1212.32849 
        29.0000      1340.39954      1212.44470 
        30.0000      1340.55200      1212.56091 
        31.0000      1340.70435      1212.67700 
        32.0000      1340.85681      1212.79358 
        33.0000      1341.00916      1212.91101 
        34.0000      1341.16162      1213.02917 
        35.0000      1341.31396      1213.14795 
        36.0000      1341.46643      1213.26685 
        37.0000      1341.61877      1213.38538 
        38.0000      1341.77124      1213.50317 
        39.0000      1341.92358      1213.61902 
        40.0000      1342.07593      1213.73474 
        41.0000      1342.22839      1213.85120 
        42.0000      1342.38074      1213.96851 
        43.0000      1342.53320      1214.08813 
        44.0000      1342.68555      1214.20996 
        45.0000      1342.83801      1214.33240 
        46.0000      1342.99036      1214.45496 
        47.0000      1343.14282      1214.57703 
        48.0000      1343.29517      1214.69800 
        49.0000      1343.44763      1214.81860 
        50.0000      1343.59998      1214.93970 
        51.0000      1343.75244      1215.06104 
        52.0000      1343.90479      1215.18188 
        53.0000      1344.05713      1215.30066 
        54.0000      1344.20959      1215.41846 
        55.0000      1344.36194      1215.53577 
        56.0000      1344.51440      1215.65405 
        57.0000      1344.66675      1215.77380 
        58.0000      1344.81921      1215.89429 
        59.0000      1344.97156      1216.01550 
        60.0000      1345.12402      1216.13757 
        61.0000      1345.27637      1216.26099 
        62.0000      1345.42883      1216.38599 
        63.0000      1345.58118      1216.51074 
        64.0000      1345.73352      1216.63489 
        65.0000      1345.88599      1216.75818 
        66.0000      1346.03833      1216.88110 
        67.0000      1346.19080      1217.00391 
        68.0000      1346.34314      1217.12646 
        69.0000      1346.49561      1217.24829 
        70.0000      1346.64795      1217.36963 
        71.0000      1346.80042      1217.49109 
        72.0000      1346.95276      1217.61389 
        73.0000      1347.10522      1217.73926 
        74.0000      1347.25757      1217.86743 
        75.0000      1347.41003      1217.99829 
        76.0000      1347.56238      1218.12964 
        77.0000      1347.71472      1218.25867 
        78.0000      1347.86719      1218.38440 
        79.0000      1348.01953      1218.50671 
        80.0000      1348.17200      1218.62708 
        81.0000      1348.32434      1218.74695 
        82.0000      1348.47681      1218.86609 
        83.0000      1348.62915      1218.98547 
        84.0000      1348.78162      1219.10608 
        85.0000      1348.93396      1219.22693 
        86.0000      1349.08643      1219.34778 
        87.0000      1349.23877      1219.46777 
        88.0000      1349.39124      1219.58630 
        89.0000      1349.54358      1219.70459 
        90.0000      1349.69592      1219.82507 
        91.0000      1349.84839      1219.94800 
        92.0000      1350.00073      1220.07275 
        93.0000      1350.15320      1220.19836 
        94.0000      1350.30554      1220.32471 
        95.0000      1350.45801      1220.45093 
        96.0000      1350.61035      1220.57666 
        97.0000      1350.76282      1220.70178 
        98.0000      1350.91516      1220.82568 
        99.0000      1351.06763      1220.94800 
       100.0000      1351.21997      1221.06982 
       101.0000      1351.37244      1221.19202 
       102.0000      1351.52478      1221.31494 
       103.0000      1351.67712      1221.43774 
       104.0000      1351.82959      1221.56006 
       105.0000      1351.98193      1221.68213 
       106.0000      1352.13440      1221.80493 
       107.0000      1352.28674      1221.92981 
       108.0000      1352.43921      1222.05640 
       109.0000      1352.59155      1222.18262 
       110.0000      1352.74402      1222.30737 
       111.0000      1352.89636      1222.42859 
       112.0000      1353.04883      1222.54724 
       113.0000      1353.20117      1222.66492 
       114.0000      1353.35364      1222.78357 
       115.0000      1353.50598      1222.90454 
       116.0000      1353.65833      1223.02869 
       117.0000      1353.81079      1223.15466 
       118.0000      1353.96313      1223.28101 
       119.0000      1354.11560      1223.40625 
       120.0000      1354.26794      1223.52966 
       121.0000      1354.42041      1223.65186 
       122.0000      1354.57275      1223.77380 
       123.0000      1354.72522      1223.89539 
       124.0000      1354.87756      1224.01587 
       125.0000      1355.03003      1224.13477 
       126.0000      1355.18237      1224.25220 
       127.0000      1355.33484      1224.36780 
       128.0000      1355.48718      1224.47888 
       129.0000      1355.63953      1224.58997 
       130.0000      1355.79199      1224.70740 
