   PrimaryIndex TWOTIM@UNKNOWN; TVD@UNKNOWN;3 [   
                3 [A107883]     A107881]          
       Unitless              ms               m   
         0.0000         0.00000         0.00000 
         1.0000       923.43872       963.67468 
         2.0000       923.43878       963.67474 
         3.0000      1012.74219      1065.80371 
         4.0000      1022.59027      1078.75537 
         5.0000      1099.39062      1193.26990 
         6.0000      1117.43542      1218.41211 
         7.0000      1142.65698      1239.07227 
         8.0000      1170.80811      1268.22522 
         9.0000      1191.44873      1289.77161 
        10.0000      1194.52771      1293.14441 
        11.0000      1197.39294      1296.81641 
        12.0000      1291.98279      1416.36292 
        13.0000      1497.49841      1664.15234 
        14.0000      1497.59485      1664.30481 
        15.0000      1497.69910      1664.45715 
        16.0000      1497.81726      1664.60962 
        17.0000      1497.94763      1664.76196 
        18.0000      1498.08557      1664.91443 
        19.0000      1498.22546      1665.06677 
        20.0000      1498.36011      1665.21924 
        21.0000      1498.48877      1665.37158 
        22.0000      1498.61243      1665.52405 
        23.0000      1498.73010      1665.67639 
        24.0000      1498.84546      1665.82886 
        25.0000      1498.95898      1665.98120 
        26.0000      1499.07007      1666.13354 
        27.0000      1499.18042      1666.28601 
        28.0000      1499.29065      1666.43835 
        29.0000      1499.40173      1666.59082 
        30.0000      1499.51392      1666.74316 
        31.0000      1499.62622      1666.89563 
        32.0000      1499.73828      1667.04797 
        33.0000      1499.84998      1667.20044 
        34.0000      1499.96179      1667.35278 
        35.0000      1500.07373      1667.50525 
        36.0000      1500.18604      1667.65759 
        37.0000      1500.29773      1667.81006 
        38.0000      1500.40735      1667.96240 
        39.0000      1500.51050      1668.11475 
        40.0000      1500.60840      1668.26721 
        41.0000      1500.70459      1668.41956 
        42.0000      1500.80261      1668.57202 
        43.0000      1500.90576      1668.72437 
        44.0000      1501.01245      1668.87683 
        45.0000      1501.12195      1669.02917 
        46.0000      1501.23364      1669.18164 
        47.0000      1501.34583      1669.33398 
        48.0000      1501.45874      1669.48645 
        49.0000      1501.57336      1669.63879 
        50.0000      1501.68860      1669.79126 
        51.0000      1501.80396      1669.94360 
        52.0000      1501.91821      1670.09595 
        53.0000      1502.03101      1670.24841 
        54.0000      1502.14258      1670.40076 
