   PrimaryIndex TWOTIM@UNKNOWN; TVD@UNKNOWN;2 [   
                2 [A99451]      A99449]           
       Unitless              ms               m   
         0.0000         0.00000         0.00000 
         1.0000       401.28735       399.15240 
         2.0000       401.45242       399.30481 
         3.0000       401.61203       399.45721 
         4.0000       401.76328       399.60959 
         5.0000       401.91022       399.76199 
         6.0000       402.05740       399.91440 
         7.0000       402.20847       400.06680 
         8.0000       402.36526       400.21921 
         9.0000       402.52448       400.37161 
        10.0000       402.68488       400.52399 
        11.0000       402.84695       400.67639 
        12.0000       403.01105       400.82880 
        13.0000       403.17789       400.98120 
        14.0000       403.34888       401.13361 
        15.0000       403.52173       401.28601 
        16.0000       403.69574       401.43839 
        17.0000       403.87119       401.59079 
        18.0000       404.04840       401.74319 
        19.0000       404.22693       401.89560 
        20.0000       404.40317       402.04800 
        21.0000       404.56317       402.20041 
        22.0000       404.72415       402.35281 
        23.0000       404.88574       402.50519 
        24.0000       405.04700       402.65759 
        25.0000       405.20813       402.81000 
        26.0000       405.36945       402.96240 
        27.0000       405.53189       403.11481 
        28.0000       405.69553       403.26721 
        29.0000       405.86047       403.41959 
        30.0000       406.02689       403.57199 
        31.0000       406.19479       403.72440 
        32.0000       406.36301       403.87680 
        33.0000       406.53076       404.02921 
        34.0000       406.69586       404.18161 
        35.0000       406.85880       404.33401 
        36.0000       407.01895       404.48639 
        37.0000       407.17395       404.63879 
        38.0000       407.32596       404.79120 
        39.0000       407.47589       404.94360 
        40.0000       407.62463       405.09601 
        41.0000       407.78079       405.24841 
        42.0000       407.94043       405.40079 
        43.0000       408.10123       405.55319 
        44.0000       408.26276       405.70560 
        45.0000       408.42419       405.85800 
        46.0000       408.58524       406.01041 
        47.0000       408.74683       406.16281 
        48.0000       408.90915       406.31519 
        49.0000       409.07245       406.46759 
        50.0000       409.23770       406.62000 
        51.0000       409.40445       406.77240 
        52.0000       409.57211       406.92480 
        53.0000       409.74008       407.07721 
        54.0000       409.90738       407.22961 
        55.0000       410.07312       407.38199 
        56.0000       410.23663       407.53439 
        57.0000       410.39536       407.68680 
        58.0000       410.55112       407.83920 
        59.0000       410.70401       407.99161 
        60.0000       410.85330       408.14401 
        61.0000       411.00177       408.29639 
