   PrimaryIndex TVD@UNKNOWN;3 [ TWOTIM@UNKNOWN;   
                A102424]        3 [A102426]       
       Unitless               m              ms   
         0.0000         0.00000         0.00000 
         1.0000      1306.15234      1189.36377 
         2.0000      1306.30481      1189.50439 
         3.0000      1306.45715      1189.64990 
         4.0000      1306.60962      1189.80505 
         5.0000      1306.76196      1189.96838 
         6.0000      1306.91443      1190.13672 
         7.0000      1307.06677      1190.30798 
         8.0000      1307.21924      1190.48022 
         9.0000      1307.37158      1190.65088 
        10.0000      1307.52405      1190.81787 
        11.0000      1307.67639      1190.97437 
        12.0000      1307.82886      1191.12524 
        13.0000      1307.98120      1191.27161 
        14.0000      1308.13354      1191.41394 
        15.0000      1308.28601      1191.55542 
        16.0000      1308.43835      1191.69714 
        17.0000      1308.59082      1191.84070 
        18.0000      1308.74316      1191.98608 
        19.0000      1308.89563      1192.13257 
        20.0000      1309.04797      1192.27930 
        21.0000      1309.20044      1192.42432 
        22.0000      1309.35278      1192.56787 
        23.0000      1309.50525      1192.71033 
        24.0000      1309.65759      1192.85291 
        25.0000      1309.81006      1192.99536 
        26.0000      1309.96240      1193.13794 
        27.0000      1310.11475      1193.28040 
        28.0000      1310.26721      1193.42273 
        29.0000      1310.41956      1193.56482 
        30.0000      1310.57202      1193.70630 
        31.0000      1310.72437      1193.84753 
        32.0000      1310.87683      1193.98926 
        33.0000      1311.02917      1194.13147 
        34.0000      1311.18164      1194.27307 
        35.0000      1311.33398      1194.41394 
        36.0000      1311.48645      1194.55396 
        37.0000      1311.63879      1194.69226 
        38.0000      1311.79126      1194.82886 
        39.0000      1311.94360      1194.96411 
        40.0000      1312.09595      1195.09961 
        41.0000      1312.24841      1195.23828 
        42.0000      1312.40076      1195.38074 
        43.0000      1312.55322      1195.52771 
        44.0000      1312.70557      1195.67932 
        45.0000      1312.85803      1195.83118 
        46.0000      1313.01038      1195.98120 
        47.0000      1313.16284      1196.12256 
        48.0000      1313.31519      1196.25708 
        49.0000      1313.46765      1196.38428 
        50.0000      1313.62000      1196.50073 
        51.0000      1313.77246      1196.61121 
        52.0000      1313.92480      1196.71948 
        53.0000      1314.07715      1196.82959 
        54.0000      1314.22961      1196.94446 
        55.0000      1314.38196      1197.06458 
        56.0000      1314.53442      1197.18896 
        57.0000      1314.68677      1197.31665 
        58.0000      1314.83923      1197.44226 
        59.0000      1314.99158      1197.56372 
        60.0000      1315.14404      1197.67676 
        61.0000      1315.29639      1197.78784 
        62.0000      1315.44885      1197.90002 
        63.0000      1315.60120      1198.01697 
        64.0000      1315.75354      1198.13770 
        65.0000      1315.90601      1198.25903 
        66.0000      1316.05835      1198.37939 
        67.0000      1316.21082      1198.49719 
        68.0000      1316.36316      1198.61365 
        69.0000      1316.51562      1198.72937 
        70.0000      1316.66797      1198.84766 
        71.0000      1316.82043      1198.96826 
        72.0000      1316.97278      1199.09058 
        73.0000      1317.12524      1199.21448 
        74.0000      1317.27759      1199.33923 
        75.0000      1317.43005      1199.46509 
        76.0000      1317.58240      1199.59229 
        77.0000      1317.73474      1199.71997 
        78.0000      1317.88721      1199.84680 
        79.0000      1318.03955      1199.97229 
        80.0000      1318.19202      1200.09741 
        81.0000      1318.34436      1200.22461 
        82.0000      1318.49683      1200.35535 
        83.0000      1318.64917      1200.49219 
        84.0000      1318.80164      1200.63086 
        85.0000      1318.95398      1200.77026 
        86.0000      1319.10645      1200.90649 
        87.0000      1319.25879      1201.03894 
        88.0000      1319.41125      1201.16821 
        89.0000      1319.56360      1201.29517 
        90.0000      1319.71594      1201.42175 
        91.0000      1319.86841      1201.54956 
        92.0000      1320.02075      1201.67871 
        93.0000      1320.17322      1201.80920 
        94.0000      1320.19409      1201.82678 
        95.0000      1320.32556      1201.92261 
        96.0000      1320.47803      1202.03149 
        97.0000      1320.63037      1202.13550 
        98.0000      1320.78284      1202.23730 
        99.0000      1320.93518      1202.33838 
       100.0000      1321.08765      1202.44080 
       101.0000      1321.23999      1202.54553 
       102.0000      1321.39246      1202.65271 
       103.0000      1321.54480      1202.76196 
       104.0000      1321.69714      1202.87366 
       105.0000      1321.84961      1202.98572 
       106.0000      1322.00195      1203.09753 
       107.0000      1322.15442      1203.20898 
       108.0000      1322.30676      1203.32056 
       109.0000      1322.45923      1203.43213 
       110.0000      1322.61157      1203.54321 
       111.0000      1322.76404      1203.65271 
       112.0000      1322.91638      1203.75964 
       113.0000      1323.06885      1203.86292 
       114.0000      1323.22119      1203.96277 
       115.0000      1323.37366      1204.06311 
       116.0000      1323.52600      1204.16602 
       117.0000      1323.67834      1204.27844 
       118.0000      1323.83081      1204.39661 
       119.0000      1323.98315      1204.52002 
       120.0000      1324.13562      1204.64978 
       121.0000      1324.28796      1204.78210 
       122.0000      1324.44043      1204.91553 
       123.0000      1324.59277      1205.04895 
       124.0000      1324.74524      1205.18127 
       125.0000      1324.89758      1205.31250 
       126.0000      1325.05005      1205.44312 
       127.0000      1325.20239      1205.57471 
       128.0000      1325.35486      1205.70764 
       129.0000      1325.50720      1205.84204 
       130.0000      1325.65955      1205.97778 
