   PrimaryIndex TVD@UNKNOWN;1 [ TWOTIM@UNKNOWN;   
                A104079]        1 [A104081]       
       Unitless               m              ms   
         0.0000         0.00000         0.00000 
         1.0000       718.00000       670.95044 
         2.0000       740.00000       691.23102 
         3.0000       762.00000       711.51172 
         4.0000       785.00000       731.79260 
         5.0000       807.00000       752.07343 
         6.0000       831.00000       772.35394 
         7.0000       854.00000       792.63489 
         8.0000       877.00000       812.91565 
         9.0000       881.45312       816.84222 
        10.0000       900.00000       832.99487 
        11.0000       923.00000       853.02606 
        12.0000       946.00000       873.05707 
        13.0000       970.00000       893.08801 
        14.0000       993.00000       913.11914 
        15.0000      1017.00000       933.15015 
        16.0000      1041.00000       953.18109 
        17.0000      1065.00000       973.21204 
        18.0000      1089.00000       993.24341 
        19.0000      1113.00000      1013.27441 
        20.0000      1137.00000      1033.30542 
        21.0000      1162.00000      1053.33643 
        22.0000      1171.27429      1061.07690 
        23.0000      1186.00000      1073.02539 
        24.0000      1211.00000      1092.49902 
        25.0000      1236.00000      1111.97290 
        26.0000      1261.00000      1131.44666 
        27.0000      1286.00000      1150.92017 
        28.0000      1311.00000      1170.39368 
        29.0000      1313.18115      1172.09265 
        30.0000      1336.00000      1190.28491 
        31.0000      1362.00000      1210.21606 
        32.0000      1387.00000      1230.14734 
        33.0000      1413.00000      1250.07849 
        34.0000      1438.00000      1270.00964 
        35.0000      1464.00000      1289.94055 
        36.0000      1496.00000      1309.87170 
        37.0000      1517.00000      1329.80273 
        38.0000      1543.00000      1349.73413 
        39.0000      1569.00000      1369.66528 
        40.0000      1596.00000      1389.59631 
        41.0000      1622.00000      1409.52734 
        42.0000      1649.00000      1429.45837 
        43.0000      1676.00000      1449.38953 
        44.0000      1703.00000      1469.32080 
        45.0000      1730.00000      1489.25183 
        46.0000      1746.50793      1501.00256 
        47.0000      1758.00000      1509.40405 
        48.0000      1783.20325      1528.51160 
        49.0000      1785.00000      1529.84265 
        50.0000      1813.00000      1549.84253 
        51.0000      1841.00000      1569.84241 
        52.0000      1868.00000      1589.84265 
        53.0000      1896.00000      1609.84265 
        54.0000      1925.00000      1629.84265 
        55.0000      1953.00000      1649.84265 
        56.0000      1981.00000      1669.84253 
        57.0000      2010.00000      1689.84241 
        58.0000      2038.00000      1709.84265 
        59.0000      2067.00000      1729.84265 
        60.0000      2096.00000      1749.84265 
        61.0000      2125.00000      1769.84265 
        62.0000      2155.00000      1789.84253 
        63.0000      2184.00000      1809.84241 
        64.0000      2214.00000      1829.84265 
        65.0000      2243.00000      1849.84265 
        66.0000      2273.00000      1869.84265 
        67.0000      2303.00000      1889.84265 
        68.0000      2333.00000      1909.84253 
        69.0000      2364.00000      1929.84253 
        70.0000      2394.00000      1949.84265 
        71.0000      2425.00000      1969.84229 
        72.0000      2455.00000      1989.84241 
        73.0000      2486.00000      2009.84290 
        74.0000      2517.00000      2029.84290 
        75.0000      2548.00000      2049.84277 
        76.0000      2580.00000      2069.84277 
        77.0000      2611.00000      2089.84277 
        78.0000      2643.00000      2109.84253 
        79.0000      2675.00000      2129.84253 
        80.0000      2707.00000      2149.84253 
        81.0000      2739.00000      2169.84253 
        82.0000      2771.00000      2189.84253 
        83.0000      2803.00000      2209.84253 
        84.0000      2836.00000      2229.84253 
        85.0000      2869.00000      2249.84277 
        86.0000      2902.00000      2269.84277 
        87.0000      2935.00000      2289.84277 
        88.0000      2968.00000      2309.84277 
        89.0000      3001.00000      2329.84277 
        90.0000      3035.00000      2349.84253 
        91.0000      3068.00000      2369.84253 
        92.0000      3102.00000      2389.84253 
        93.0000      3136.00000      2409.84253 
        94.0000      3171.00000      2429.84253 
        95.0000      3205.00000      2449.84253 
        96.0000      3240.00000      2469.84253 
        97.0000      3274.00000      2489.84277 
        98.0000      3309.00000      2509.84277 
        99.0000      3344.00000      2529.84277 
       100.0000      3379.00000      2549.84277 
       101.0000      3415.00000      2569.84277 
       102.0000      3450.00000      2589.84277 
       103.0000      3486.00000      2609.84253 
       104.0000      3522.00000      2629.84253 
       105.0000      3558.00000      2649.84253 
       106.0000      3595.00000      2669.84253 
       107.0000      3631.00000      2689.84253 
       108.0000      3668.00000      2709.84302 
       109.0000      3695.00000      2729.84302 
       110.0000      3741.00000      2749.84277 
       111.0000      3779.00000      2769.84277 
       112.0000      3816.00000      2789.84277 
       113.0000      3854.00000      2809.84277 
       114.0000      3891.00000      2829.84277 
       115.0000      3929.00000      2849.84253 
       116.0000      3967.00000      2869.84253 
       117.0000      4006.00000      2889.84253 
       118.0000      4044.00000      2909.84253 
       119.0000      4083.00000      2929.84253 
       120.0000      4122.00000      2949.84302 
       121.0000      4161.00000      2969.84302 
       122.0000      4200.00000      2989.84277 
       123.0000      4239.00000      3009.84277 
       124.0000      4279.00000      3029.84277 
       125.0000      4319.00000      3049.84277 
       126.0000      4359.00000      3069.84277 
       127.0000      4399.00000      3089.84277 
       128.0000      4439.00000      3109.84253 
       129.0000      4480.00000      3129.84253 
       130.0000      4521.00000      3149.84253 
