   PrimaryIndex TWOTIM@UNKNOWN; TVD@UNKNOWN;5 [   
                5 [A108136]     A108134]          
       Unitless              ms               m   
         0.0000         0.00000         0.00000 
         1.0000       714.00134       773.53278 
         2.0000       714.04242       773.68518 
         3.0000       714.08368       773.83759 
         4.0000       714.12482       773.98999 
         5.0000       714.16602       774.14240 
         6.0000       714.20715       774.29480 
         7.0000       714.24829       774.44720 
         8.0000       714.28955       774.59961 
         9.0000       714.33075       774.75201 
        10.0000       714.37195       774.90442 
        11.0000       714.41302       775.05682 
        12.0000       714.45416       775.20923 
        13.0000       714.49542       775.36163 
        14.0000       714.53662       775.51398 
        15.0000       714.57782       775.66638 
        16.0000       714.61890       775.81879 
        17.0000       714.66003       775.97119 
        18.0000       714.70123       776.12360 
        19.0000       714.74255       776.27600 
        20.0000       714.78369       776.42841 
        21.0000       714.82483       776.58081 
        22.0000       714.86591       776.73322 
        23.0000       714.90717       776.88562 
        24.0000       714.94836       777.03802 
        25.0000       714.98956       777.19043 
        26.0000       715.03070       777.34277 
        27.0000       715.07184       777.49518 
        28.0000       715.11298       777.64758 
        29.0000       715.15424       777.79999 
        30.0000       715.19543       777.95239 
        31.0000       715.23657       778.10480 
        32.0000       715.27777       778.25720 
        33.0000       715.31897       778.40961 
        34.0000       715.36017       778.56201 
        35.0000       715.40125       778.71442 
        36.0000       715.44250       778.86682 
        37.0000       715.48358       779.01923 
        38.0000       715.52478       779.17163 
        39.0000       715.56604       779.32397 
        40.0000       715.60718       779.47638 
        41.0000       715.64825       779.62878 
        42.0000       715.68945       779.78119 
        43.0000       715.73071       779.93359 
        44.0000       715.77185       780.08600 
        45.0000       715.81311       780.23840 
        46.0000       715.85425       780.39081 
        47.0000       715.89532       780.54321 
        48.0000       715.93658       780.69562 
        49.0000       715.97778       780.84802 
        50.0000       716.01892       781.00043 
        51.0000       716.06006       781.15283 
        52.0000       716.10132       781.30518 
        53.0000       716.14240       781.45758 
        54.0000       716.18353       781.60999 
        55.0000       716.22479       781.76239 
        56.0000       716.26599       781.91479 
        57.0000       716.30713       782.06720 
        58.0000       716.34839       782.21960 
        59.0000       716.38947       782.37201 
        60.0000       716.43066       782.52441 
        61.0000       716.47186       782.67682 
