time,is_reservoir
1112,0
1114,0
1116,0
1118,0
1120,0
1122,0
1124,0
1126,1
1128,1
1130,0
1132,0
1134,0
1136,0
1138,0
1140,0
1142,0
1144,0
1146,1
1148,1
1150,1
1152,0
1154,0
1156,0
1158,0
1160,0
1162,0
1164,0
1166,0
1168,0
1170,0
1172,0
1174,0
1176,0
1178,0
1180,0
1182,0
1184,0
1186,0
1188,0
1190,0
1192,0
1194,0
1196,0
1198,0
1200,0
1202,0
1204,0
1206,0
1208,0
1210,0
1212,0
1214,0
1216,0
1218,0
1220,0
1222,0
1224,0
1226,0
1228,0
1230,0
1232,0
1234,0
1236,0
1238,0
1240,0
1242,0
1244,0
1246,0
1248,0
1250,1
1252,0
1254,0
1256,0
1258,1
1260,0
1262,0
1264,0
1266,0
1268,0
1270,0
1272,0
1274,0
1276,1
1278,1
1280,1
1282,0
1284,0
1286,0
1288,0
1290,0
1292,0
1294,0
1296,0
1298,0
1300,0
1302,1
1304,1
1306,1
1308,1
1310,0
1312,1
1314,1
1316,1
1318,1
1320,1
1322,1
1324,1
1326,1
1328,0
1330,0
1332,0
1334,0
1336,0
1338,0
1340,0
1342,1
1344,1
1346,1
1348,1
1350,1
1352,0
1354,1
1356,1
1358,1
1360,1
1362,0
1364,0
1366,0
1368,0
1370,1
1372,1
1374,1
1376,1
1378,1
1380,1
1382,1
1384,1
1386,1
1388,1
1390,1
1392,1
1394,1
1396,1
1398,0
1400,0
1402,1
1404,1
1406,1
1408,1
1410,1
1412,1
1414,1
1416,1
1418,0
1420,0
1422,0
1424,1
1426,1
1428,1
1430,1
1432,1
1434,0
1436,0
1438,0
1440,0
1442,0
1444,0
1446,0
1448,1
1450,1
1452,1
1454,1
1456,1
1458,1
1460,1
1462,1
1464,1
1466,1
1468,1
1470,1
1472,1
1474,1
1476,0
1478,0
1480,1
1482,1
1484,1
1486,1
1488,1
1490,1
