time,is_reservoir
1184,0
1186,0
1188,0
1190,0
1192,1
1194,1
1196,1
1198,1
1200,0
1202,1
1204,0
1206,0
1208,0
1210,0
1212,0
1214,0
1216,0
1218,0
1220,0
1222,0
1224,0
1226,0
1228,0
1230,0
1232,0
1234,0
1236,0
1238,0
1240,0
1242,0
1244,0
1246,0
1248,0
1250,0
1252,0
1254,0
1256,0
1258,0
1260,1
1262,0
1264,0
1266,0
1268,0
1270,0
1272,1
1274,1
1276,1
1278,0
1280,0
1282,0
1284,0
1286,0
1288,0
1290,0
1292,0
1294,0
1296,0
1298,1
1300,1
1302,1
1304,1
1306,0
1308,0
1310,0
1312,0
1314,0
1316,0
1318,0
1320,0
1322,0
1324,1
1326,0
1328,0
1330,0
1332,0
1334,0
1336,0
1338,0
1340,0
1342,0
1344,0
1346,0
1348,0
1350,0
1352,0
1354,1
1356,1
1358,0
1360,0
1362,1
1364,0
1366,0
1368,0
1370,0
1372,0
1374,1
1376,1
1378,0
1380,0
1382,0
1384,0
1386,0
1388,0
1390,0
1392,0
1394,0
1396,0
1398,0
1400,1
1402,1
1404,1
1406,1
1408,1
1410,1
1412,1
1414,1
1416,0
1418,0
1420,0
1422,0
1424,1
1426,1
1428,0
1430,0
1432,1
1434,1
1436,1
1438,1
1440,0
1442,1
1444,1
1446,0
1448,0
1450,1
1452,1
1454,1
1456,1
1458,0
1460,0
1462,0
1464,0
1466,0
1468,0
1470,0
1472,0
1474,0
1476,0
1478,0
1480,1
1482,1
1484,1
1486,1
1488,1
1490,0
1492,0
1494,0
1496,1
1498,1
1500,0
1502,0
1504,0
1506,0
1508,1
1510,1
1512,1
1514,1
1516,1
1518,1
1520,1
1522,1
1524,0
1526,0
1528,1
1530,1
1532,1
1534,1
1536,1
1538,1
1540,1
1542,1
1544,1
1546,1
1548,1
1550,1
1552,1
1554,1
1556,1
1558,1
1560,1
1562,1
1564,1
1566,1
1568,0
1570,0
1572,0
1574,1
