time,is_reservoir
1238,0
1240,0
1242,0
1244,0
1246,0
1248,1
1250,1
1252,1
1254,1
1256,1
1258,1
1260,0
1262,0
1264,0
1266,0
1268,0
1270,0
1272,0
1274,1
1276,0
1278,0
1280,0
1282,0
1284,0
1286,1
1288,1
1290,0
1292,0
1294,0
1296,1
1298,0
1300,0
1302,0
1304,0
1306,0
1308,0
1310,0
1312,0
1314,0
1316,0
1318,0
1320,0
1322,0
1324,0
1326,0
1328,0
1330,0
1332,0
1334,0
1336,0
1338,0
1340,0
1342,0
1344,0
1346,0
1348,0
1350,0
1352,0
1354,0
1356,0
1358,1
1360,0
1362,0
1364,0
1366,0
1368,0
1370,0
1372,1
1374,1
1376,1
1378,0
1380,0
1382,0
1384,0
1386,0
1388,0
1390,1
1392,1
1394,0
1396,0
1398,0
1400,0
1402,0
1404,1
1406,1
1408,0
1410,0
1412,0
1414,0
1416,0
1418,0
1420,1
1422,1
1424,0
1426,0
1428,1
1430,1
1432,0
1434,0
1436,0
1438,0
1440,1
1442,1
1444,0
1446,0
1448,0
1450,1
1452,1
1454,1
1456,0
1458,0
1460,0
1462,1
1464,1
1466,1
1468,0
1470,1
1472,1
1474,0
1476,1
1478,1
1480,0
1482,0
1484,1
1486,1
1488,1
1490,1
1492,0
1494,0
1496,0
1498,0
1500,1
1502,1
1504,1
1506,1
1508,1
1510,1
1512,1
1514,1
1516,1
1518,1
1520,1
1522,1
1524,1
1526,1
1528,1
1530,1
1532,1
1534,1
1536,1
1538,1
1540,1
1542,1
1544,1
1546,1
1548,1
1550,1
1552,1
1554,1
1556,1
1558,1
1560,1
1562,1
1564,1
1566,1
1568,1
1570,1
1572,0
1574,0
1576,0
1578,0
1580,0
1582,0
1584,0
1586,1
1588,1
1590,0
1592,0
1594,0
1596,1
1598,1
1600,0
1602,0
1604,0
1606,1
1608,1
1610,1
1612,1
1614,1
1616,1
