time,is_reservoir
1208,0
1210,0
1212,0
1214,0
1216,0
1218,1
1220,1
1222,1
1224,0
1226,0
1228,0
1230,0
1232,0
1234,0
1236,0
1238,0
1240,0
1242,0
1244,0
1246,0
1248,0
1250,1
1252,1
1254,1
1256,1
1258,1
1260,0
1262,1
1264,0
1266,0
1268,0
1270,0
1272,0
1274,0
1276,0
1278,0
1280,0
1282,0
1284,0
1286,0
1288,0
1290,0
1292,0
1294,0
1296,0
1298,0
1300,0
1302,0
1304,1
1306,1
1308,1
1310,1
1312,1
1314,1
1316,1
1318,0
1320,0
1322,1
1324,0
1326,1
1328,1
1330,1
1332,1
1334,1
1336,1
1338,1
1340,1
1342,1
1344,1
1346,1
1348,1
1350,1
1352,1
1354,0
1356,0
1358,0
1360,0
1362,0
1364,0
1366,0
1368,0
1370,0
1372,0
1374,0
1376,0
1378,0
1380,0
1382,0
1384,0
1386,0
1388,0
1390,0
1392,0
1394,0
1396,0
1398,0
1400,0
1402,0
1404,0
1406,0
1408,0
1410,0
1412,0
1414,1
1416,1
1418,1
1420,0
1422,0
1424,0
1426,0
1428,0
1430,0
1432,1
1434,1
1436,1
1438,1
1440,0
1442,1
1444,1
1446,1
1448,1
1450,0
1452,0
1454,1
1456,1
1458,0
1460,0
1462,1
1464,1
1466,1
1468,1
1470,0
1472,0
1474,0
1476,0
1478,0
1480,1
1482,1
1484,1
1486,1
1488,1
1490,1
1492,1
1494,1
1496,1
1498,1
1500,1
1502,1
1504,1
1506,1
1508,0
1510,1
1512,0
1514,0
