time,is_reservoir
1142,1
1144,1
1146,1
1148,1
1150,1
1152,0
1154,0
1156,0
1158,0
1160,0
1162,0
1164,0
1166,0
1168,0
1170,0
1172,0
1174,0
1176,0
1178,0
1180,0
1182,0
1184,0
1186,0
1188,0
1190,0
1192,0
1194,0
1196,1
1198,1
1200,0
1202,0
1204,0
1206,1
1208,0
1210,0
1212,0
1214,0
1216,0
1218,0
1220,0
1222,0
1224,0
1226,0
1228,0
1230,0
1232,0
1234,0
1236,0
1238,0
1240,0
1242,0
1244,0
1246,0
1248,0
1250,0
1252,0
1254,0
1256,0
1258,0
1260,0
1262,0
1264,0
1266,0
1268,0
1270,0
1272,0
1274,0
1276,1
1278,1
1280,1
1282,1
1284,1
1286,1
1288,1
1290,1
1292,0
1294,0
1296,0
1298,0
1300,0
1302,0
1304,0
1306,0
1308,1
1310,1
1312,0
1314,0
1316,0
1318,0
1320,1
1322,0
1324,0
1326,0
1328,0
1330,1
1332,1
1334,1
1336,1
1338,1
1340,1
1342,1
1344,0
1346,0
1348,0
1350,0
1352,0
1354,1
1356,1
1358,0
1360,0
1362,1
1364,1
1366,1
1368,1
1370,1
1372,1
1374,0
1376,0
1378,0
1380,1
1382,1
1384,1
1386,0
1388,1
1390,1
1392,1
1394,1
1396,0
1398,0
1400,1
1402,0
1404,0
1406,0
1408,1
1410,1
1412,1
1414,1
1416,1
1418,1
1420,1
1422,1
1424,1
1426,1
1428,1
1430,1
1432,1
1434,1
1436,1
1438,1
1440,1
1442,1
1444,1
1446,1
1448,1
1450,1
1452,1
1454,1
1456,1
1458,1
1460,1
1462,0
1464,0
1466,1
1468,1
1470,1
1472,1
1474,1
1476,1
1478,0
1480,0
1482,1
1484,1
1486,1
1488,1
1490,1
1492,1
1494,1
1496,1
1498,1
1500,1
1502,1
1504,1
1506,1
1508,1
1510,1
1512,1
1514,1
1516,1
1518,1
1520,1
1522,1
1524,1
1526,0
1528,0
1530,0
1532,0
1534,0
1536,1
1538,1
1540,1
1542,1
1544,1
1546,1
1548,1
1550,1
1552,1
1554,1
1556,1
1558,1
1560,1
1562,1
1564,1
1566,1
1568,1
1570,1
1572,0
