time,is_reservoir
1026,0
1028,0
1030,0
1032,0
1034,0
1036,0
1038,1
1040,1
1042,0
1044,0
1046,0
1048,0
1050,0
1052,0
1054,0
1056,0
1058,0
1060,0
1062,0
1064,0
1066,0
1068,0
1070,0
1072,0
1074,0
1076,0
1078,0
1080,0
1082,0
1084,0
1086,0
1088,0
1090,0
1092,0
1094,0
1096,0
1098,0
1100,0
1102,0
1104,0
1106,0
1108,0
1110,0
1112,1
1114,0
1116,0
1118,0
1120,0
1122,0
1124,0
1126,0
1128,0
1130,0
1132,0
1134,0
1136,0
1138,0
1140,0
1142,0
1144,0
1146,0
1148,0
1150,0
1152,0
1154,0
1156,0
1158,0
1160,0
1162,1
1164,0
1166,1
1168,1
1170,1
1172,1
1174,1
1176,0
1178,0
1180,0
1182,0
1184,0
1186,0
1188,0
1190,0
1192,1
1194,1
1196,1
1198,0
1200,1
1202,1
1204,1
1206,1
1208,1
1210,1
1212,0
1214,0
1216,0
1218,0
1220,1
1222,0
1224,0
1226,0
1228,0
1230,0
1232,1
1234,1
1236,1
1238,1
1240,1
1242,1
1244,1
1246,1
1248,0
1250,0
1252,0
1254,0
1256,1
1258,1
1260,0
1262,1
1264,0
1266,0
1268,1
1270,1
1272,1
1274,1
1276,1
1278,1
1280,1
1282,0
1284,1
1286,1
1288,0
1290,1
1292,0
1294,0
1296,1
1298,1
1300,1
1302,1
1304,1
1306,1
1308,1
1310,1
1312,1
1314,1
1316,1
1318,1
1320,1
1322,1
1324,1
1326,1
1328,1
1330,1
1332,1
1334,0
1336,0
1338,0
1340,0
1342,0
1344,0
1346,0
1348,1
1350,1
1352,1
1354,1
1356,1
1358,1
1360,1
1362,1
1364,1
1366,1
1368,1
1370,1
1372,1
1374,1
1376,1
1378,1
1380,1
1382,1
1384,1
1386,1
1388,1
1390,1
