well_no,bottom_depth,top_depth,is_reservoir,reservoir_no
CB111,1190.4,1193.5,0,1
CB111,1193.5,1195.0,1,2
CB111,1195.0,1210.8,0,3
CB111,1210.8,1213.0,1,4
CB111,1213.0,1231.4,0,5
CB111,1231.4,1235.3,1,6
CB111,1235.3,1253.1,0,7
CB111,1253.1,1254.1,1,8
CB111,1254.1,1260.2,0,9
CB111,1260.2,1269.6,1,10
CB111,1269.6,1283.0,0,11
CB111,1283.0,1284.0,1,12
CB111,1284.0,1300.0,0,13
CB111,1300.0,1300.8,1,14
CB111,1300.8,1308.0,0,15
CB111,1308.0,1309.2,1,16
CB111,1309.2,1316.8,0,17
CB111,1316.8,1318.3,1,18
CB111,1318.3,1324.4,0,19
CB111,1324.4,1327.2,1,20
CB111,1327.2,1347.0,0,21
CB111,1347.0,1350.5,1,22
CB111,1350.5,1353.8,0,23
CB111,1353.8,1358.8,1,24
CB111,1358.8,1375.0,0,25
CB111,1375.0,1377.5,1,26
CB111,1377.5,1391.3,0,27
CB111,1391.3,1395.0,1,28
CB111,1395.0,1403.7,0,29
CB111,1403.7,1404.6,1,30
CB111,1404.6,1405.7,0,31
CB111,1405.7,1407.8,1,32
CB111,1407.8,1433.9,0,33
CB111,1433.9,1436.9,1,34
CB111,1436.9,1438.5,0,35
CB111,1438.5,1441.6,1,36
CB111,1441.6,1452.3,0,37
CB111,1452.3,1453.7,1,38
CB111,1453.7,1463.2,0,39
CB111,1463.2,1464.8,1,40
CB111,1464.8,1468.2,0,41
CB111,1468.2,1470.8,1,42
CB111,1470.8,1478.0,0,43
CB111,1478.0,1479.2,1,44
CB111,1479.2,1480.7,0,45
CB111,1480.7,1482.1,1,46
CB111,1482.1,1487.1,0,47
CB111,1487.1,1495.2,1,48
CB111,1495.2,1501.8,0,49
CB111,1501.8,1510.8,1,50
CB111,1510.8,1513.3,0,51
CB111,1513.3,1515.2,1,52
CB111,1515.2,1516.4,0,53
CB111,1516.4,1523.7,1,54
CB111,1523.7,1526.9,0,55
CB111,1526.9,1528.2,1,56
CB111,1528.2,1549.6,0,57
CB111,1549.6,1579.6,1,58
CB111,1579.6,1586.0,0,59
CB111,1586.0,1594.5,1,60
CB111,1594.5,1596.0,0,61
CB111,1596.0,1623.0,1,62
CB111,1623.0,1626.5,0,63
CB111,1626.5,1651.5,1,64
CB111,1651.5,1661.0,0,65
CB111,1661.0,1668.5,1,66
CB111,1668.5,1672.7,0,67
CB19,1266.2,1272.0,0,1
CB19,1272.0,1275.0,1,2
CB19,1275.0,1281.0,0,3
CB19,1281.0,1282.5,1,4
CB19,1282.5,1285.5,0,5
CB19,1285.5,1288.0,1,6
CB19,1288.0,1300.5,0,7
CB19,1300.5,1308.0,1,8
CB19,1308.0,1311.0,0,9
CB19,1311.0,1316.0,1,10
CB19,1316.0,1322.0,0,11
CB19,1322.0,1324.5,1,12
CB19,1324.5,1355.0,0,13
CB19,1355.0,1358.0,1,14
CB19,1358.0,1362.0,0,15
CB19,1362.0,1364.0,1,16
CB19,1364.0,1365.5,0,17
CB19,1365.5,1368.0,1,18
CB19,1368.0,1375.5,0,19
CB19,1375.5,1379.5,1,20
CB19,1379.5,1383.5,0,21
CB19,1383.5,1388.0,1,22
CB19,1388.0,1391.5,0,23
CB19,1391.5,1394.0,1,24
CB19,1394.0,1397.5,0,25
CB19,1397.5,1403.5,1,26
CB19,1403.5,1409.0,0,27
CB19,1409.0,1414.5,1,28
CB19,1414.5,1419.0,0,29
CB19,1419.0,1421.0,1,30
CB19,1421.0,1424.0,0,31
CB19,1424.0,1427.0,1,32
CB19,1427.0,1437.0,0,33
CB19,1437.0,1438.0,1,34
CB19,1438.0,1439.5,0,35
CB19,1439.5,1443.5,1,36
CB19,1443.5,1447.0,0,37
CB19,1447.0,1449.0,1,38
CB19,1449.0,1455.5,0,39
CB19,1455.5,1456.5,1,40
CB19,1456.5,1463.0,0,41
CB19,1463.0,1465.0,1,42
CB19,1465.0,1468.0,0,43
CB19,1468.0,1470.0,1,44
CB19,1470.0,1473.5,0,45
CB19,1473.5,1475.5,1,46
CB19,1475.5,1480.0,0,47
CB19,1480.0,1481.5,1,48
CB19,1481.5,1486.0,0,49
CB19,1486.0,1489.0,1,50
CB19,1489.0,1490.0,0,51
CB19,1490.0,1493.0,1,52
CB19,1493.0,1496.5,0,53
CB19,1496.5,1497.5,1,54
CB19,1497.5,1503.0,0,55
CB19,1503.0,1506.0,1,56
CB19,1506.0,1507.5,0,57
CB19,1507.5,1509.5,1,58
CB19,1509.5,1511.5,0,59
CB19,1511.5,1519.0,1,60
CB19,1519.0,1529.0,0,61
CB19,1529.0,1534.0,1,62
CB19,1534.0,1535.0,0,63
CB19,1535.0,1536.5,1,64
CB19,1536.5,1538.0,0,65
CB19,1538.0,1540.5,1,66
CB19,1540.5,1544.0,0,67
CB19,1544.0,1549.5,1,68
CB19,1549.5,1553.0,0,69
CB19,1553.0,1554.5,1,70
CB19,1554.5,1558.5,0,71
CB19,1558.5,1571.0,1,72
CB19,1571.0,1577.0,0,73
CB19,1577.0,1581.0,1,74
CB19,1581.0,1584.0,0,75
CB19,1584.0,1586.0,1,76
CB19,1586.0,1592.0,0,77
CB19,1592.0,1593.0,1,78
CB19,1593.0,1596.0,0,79
CB19,1596.0,1597.0,1,80
CB19,1597.0,1600.5,0,81
CB19,1600.5,1602.0,1,82
CB19,1602.0,1607.0,0,83
CB19,1607.0,1610.0,1,84
CB19,1610.0,1612.0,0,85
CB19,1612.0,1647.0,1,86
CB19,1647.0,1651.0,0,87
CB19,1651.0,1656.0,1,88
CB19,1656.0,1658.0,0,89
CB19,1658.0,1675.5,1,90
CB19,1675.5,1677.0,0,91
CB19,1677.0,1687.5,1,92
CB19,1687.5,1689.5,0,93
CB19,1689.5,1690.5,1,94
CB19,1690.5,1691.0,0,95
CB19,1691.0,1692.0,1,96
CB19,1692.0,1693.0,0,97
CB19,1693.0,1694.0,1,98
CB19,1694.0,1696.0,0,99
CB19,1696.0,1726.0,1,100
CB19,1726.0,1727.5,0,101
CB19,1727.5,1729.5,1,102
CB19,1729.5,1730.5,0,103
CB19,1730.5,1735.5,1,104
CB19,1735.5,1746.5,0,105
CB19,1746.5,1748.0,1,106
CB19,1748.0,1761.0,0,107
CB19,1761.0,1762.0,1,108
CB19,1762.0,1767.0,0,109
CB19,1767.0,1768.0,1,110
CB19,1768.0,1771.0,0,111
CB19,1771.0,1780.5,1,112
CB19,1780.5,1785.5,0,113
CB19,1785.5,1788.0,1,114
CB19,1788.0,1790.0,0,115
CB19,1790.0,1792.0,1,116
CB19,1792.0,1795.0,0,117
CB19,1795.0,1796.5,1,118
CB19,1796.5,1798.0,0,119
CB19,1798.0,1800.0,1,120
CB19,1800.0,1802.7,0,121
CB203,1110.9,1135.0,0,1
CB203,1135.0,1142.0,1,2
CB203,1142.0,1145.5,0,3
CB203,1145.5,1146.5,1,4
CB203,1146.5,1156.5,0,5
CB203,1156.5,1158.0,1,6
CB203,1158.0,1172.0,0,7
CB203,1172.0,1173.5,1,8
CB203,1173.5,1183.0,0,9
CB203,1183.0,1186.0,1,10
CB203,1186.0,1189.0,0,11
CB203,1189.0,1191.0,1,12
CB203,1191.0,1210.0,0,13
CB203,1210.0,1212.0,1,14
CB203,1212.0,1219.0,0,15
CB203,1219.0,1221.0,1,16
CB203,1221.0,1234.5,0,17
CB203,1234.5,1237.5,1,18
CB203,1237.5,1240.0,0,19
CB203,1240.0,1242.5,1,20
CB203,1242.5,1265.5,0,21
CB203,1265.5,1266.5,1,22
CB203,1266.5,1267.5,0,23
CB203,1267.5,1268.5,1,24
CB203,1268.5,1298.0,0,25
CB203,1298.0,1299.0,1,26
CB203,1299.0,1309.5,0,27
CB203,1309.5,1310.5,1,28
CB203,1310.5,1312.0,0,29
CB203,1312.0,1312.5,1,30
CB203,1312.5,1322.0,0,31
CB203,1322.0,1324.5,1,32
CB203,1324.5,1341.0,0,33
CB203,1341.0,1355.5,1,34
CB203,1355.5,1365.0,0,35
CB203,1365.0,1367.0,1,36
CB203,1367.0,1368.5,0,37
CB203,1368.5,1373.0,1,38
CB203,1373.0,1376.0,0,39
CB203,1376.0,1378.5,1,40
CB203,1378.5,1389.0,0,41
CB203,1389.0,1404.0,1,42
CB203,1404.0,1415.0,0,43
CB203,1415.0,1418.5,1,44
CB203,1418.5,1423.0,0,45
CB203,1423.0,1426.5,1,46
CB203,1426.5,1441.7,0,47
CB205,1163.3,1198.0,0,1
CB205,1198.0,1206.5,1,2
CB205,1206.5,1210.5,0,3
CB205,1210.5,1219.7,1,4
CB205,1219.7,1274.5,0,5
CB205,1274.5,1304.7,1,6
CB205,1304.7,1309.6,0,7
CB205,1309.6,1310.7,1,8
CB205,1310.7,1324.0,0,9
CB205,1324.0,1331.4,1,10
CB205,1331.4,1342.4,0,11
CB205,1342.4,1344.0,1,12
CB205,1344.0,1346.0,0,13
CB205,1346.0,1356.0,1,14
CB205,1356.0,1360.6,0,15
CB205,1360.6,1362.6,1,16
CB205,1362.6,1369.5,0,17
CB205,1369.5,1376.0,1,18
CB205,1376.0,1382.0,0,19
CB205,1382.0,1389.2,1,20
CB205,1389.2,1392.9,0,21
CB205,1392.9,1394.5,1,22
CB205,1394.5,1408.0,0,23
CB205,1408.0,1410.5,1,24
CB205,1410.5,1417.7,0,25
CB205,1417.7,1428.0,1,26
CB205,1428.0,1432.0,0,27
CB205,1432.0,1447.7,1,28
CB205,1447.7,1452.0,0,29
CB205,1452.0,1456.5,1,30
CB205,1456.5,1460.6,0,31
CB206,1256.3,1262.6,1,1
CB206,1262.6,1281.0,0,2
CB206,1281.0,1283.4,1,3
CB206,1283.4,1305.8,0,4
CB206,1305.8,1307.0,1,5
CB206,1307.0,1374.0,0,6
CB206,1374.0,1375.6,1,7
CB206,1375.6,1384.3,0,8
CB206,1384.3,1386.8,1,9
CB206,1386.8,1399.1,0,10
CB206,1399.1,1403.0,1,11
CB206,1403.0,1410.4,0,12
CB206,1410.4,1411.5,1,13
CB206,1411.5,1432.0,0,14
CB206,1432.0,1446.1,1,15
CB206,1446.1,1458.5,0,16
CB206,1458.5,1459.5,1,17
CB206,1459.5,1461.3,0,18
CB206,1461.3,1468.8,1,19
CB206,1468.8,1494.0,0,20
CB206,1494.0,1498.0,1,21
CB206,1498.0,1510.0,0,22
CB206,1510.0,1516.0,1,23
CB206,1516.0,1524.8,0,24
CB206,1524.8,1528.4,1,25
CB206,1528.4,1562.0,0,26
CB206,1562.0,1564.0,1,27
CB206,1564.0,1566.0,0,28
CB206,1566.0,1569.2,1,29
CB208,1122.1,1149.3,0,1
CB208,1149.3,1152.8,1,2
CB208,1152.8,1153.8,0,3
CB208,1153.8,1162.9,1,4
CB208,1162.9,1186.1,0,5
CB208,1186.1,1190.3,1,6
CB208,1190.3,1209.66,0,7
CB208,1209.66,1211.8,1,8
CB208,1211.8,1216.38,0,9
CB208,1216.38,1220.5,1,10
CB208,1220.5,1236.8,0,11
CB208,1236.8,1243.6,1,12
CB208,1239.0,1242.0,0,13
CB208,1243.6,1266.5,0,14
CB208,1266.5,1269.2,1,15
CB208,1269.2,1272.6,0,16
CB208,1272.6,1277.0,1,17
CB208,1277.0,1283.0,0,18
CB208,1283.0,1285.0,1,19
CB208,1285.0,1289.0,0,20
CB208,1289.0,1291.2,1,21
CB208,1291.2,1298.8,0,22
CB208,1298.8,1302.9,1,23
CB208,1302.9,1323.1,0,24
CB208,1323.1,1325.6,1,25
CB208,1325.6,1329.0,0,26
CB208,1329.0,1332.1,1,27
CB208,1332.1,1336.0,0,28
CB208,1336.0,1349.3,1,29
CB208,1349.3,1364.5,0,30
CB208,1364.5,1373.7,1,31
CB208,1365.5,1373.5,0,32
CB208,1373.7,1388.5,0,33
CB208,1388.5,1390.3,1,34
CB208,1390.3,1400.3,0,35
CB208,1400.3,1407.0,1,36
CB208,1400.3,1404.0,0,37
CB208,1407.0,1414.1,0,38
CB208,1414.1,1417.4,1,39
CB208,1417.4,1422.1,0,40
CB208,1422.1,1428.2,1,41
CB208,1428.2,1434.6,0,42
CB208,1434.6,1439.7,1,43
CB208,1439.7,1456.5,0,44
CB208,1456.5,1461.0,1,45
CB208,1461.0,1467.0,0,46
CB208,1467.0,1468.7,1,47
CB208,1468.7,1470.8,0,48
CB208,1470.8,1475.0,1,49
CB208,1475.0,1479.2,0,50
CB208,1479.2,1481.3,1,51
CB208,1481.3,1486.2,0,52
CB208,1486.2,1506.4,1,53
CB208,1506.4,1519.9,0,54
CB208,1519.9,1602.2,1,55
CB209,1099.6,1105.2,0,1
CB209,1105.2,1109.2,1,2
CB209,1109.2,1113.8,0,3
CB209,1113.8,1124.7,1,4
CB209,1124.7,1171.0,0,5
CB209,1171.0,1172.5,1,6
CB209,1172.5,1177.0,0,7
CB209,1177.0,1184.7,1,8
CB209,1184.7,1192.5,0,9
CB209,1192.5,1196.0,1,10
CB209,1196.0,1200.5,0,11
CB209,1200.5,1202.5,1,12
CB209,1202.5,1205.0,0,13
CB209,1205.0,1206.5,1,14
CB209,1206.5,1213.3,0,15
CB209,1213.3,1221.0,1,16
CB209,1221.0,1232.0,0,17
CB209,1232.0,1236.4,1,18
CB209,1236.4,1257.2,0,19
CB209,1257.2,1262.8,1,20
CB209,1262.8,1276.2,0,21
CB209,1276.2,1285.5,1,22
CB209,1285.5,1289.2,0,23
CB209,1289.2,1292.3,1,24
CB209,1292.3,1303.5,0,25
CB209,1303.5,1305.0,1,26
CB209,1305.0,1318.0,0,27
CB209,1318.0,1319.5,1,28
CB209,1319.5,1333.2,0,29
CB209,1333.2,1334.5,1,30
CB209,1334.5,1336.0,0,31
CB209,1336.0,1338.6,1,32
CB209,1338.6,1346.2,0,33
CB209,1346.2,1348.6,1,34
CB209,1348.6,1353.0,0,35
CB209,1353.0,1360.6,1,36
CB209,1360.6,1370.0,0,37
CB209,1370.0,1373.5,1,38
CB209,1373.5,1393.4,0,39
CB209,1393.4,1402.5,1,40
CB209,1402.5,1404.1,0,41
CB209,1404.1,1408.2,1,42
CB209,1408.2,1409.3,0,43
CB209,1409.3,1425.8,1,44
CB209,1425.8,1440.5,0,45
CB209,1440.5,1444.5,1,46
CB209,1444.5,1445.4,0,47
CB209,1445.4,1451.7,1,48
CB209,1451.7,1453.2,0,49
CB209,1453.2,1498.6,1,50
CB209,1498.6,1500.2,0,51
CB209,1500.2,1508.6,1,52
CB209,1508.6,1513.0,0,53
CB209,1513.0,1562.9,1,54
CB209,1562.9,1566.9,0,55
CB209,1566.9,1576.2,1,56
CB211,1211.642,1250.0,0,1
CB211,1250.0,1255.8,1,2
CB211,1255.8,1314.5,0,3
CB211,1314.5,1317.5,1,4
CB211,1317.5,1326.0,0,5
CB211,1326.0,1331.1,1,6
CB211,1331.1,1354.0,0,7
CB211,1354.0,1359.2,1,8
CB211,1359.2,1378.2,0,9
CB211,1378.2,1381.1,1,10
