well_no,bottom_depth,top_depth,is_reservoir,reservoir_no,
CB111,1190.4,1193.5,0,1,0
CB111,1193.5,1195,1,2,0
CB111,1195,1210.8,0,3,0
CB111,1210.8,1213,1,4,0
CB111,1213,1231.4,0,5,0
CB111,1231.4,1235.3,1,6,0
CB111,1235.3,1253.1,0,7,0
CB111,1253.1,1254.1,1,8,0
CB111,1254.1,1260.2,0,9,0
CB111,1260.2,1269.6,1,10,0
CB111,1269.6,1283,0,11,0
CB111,1283,1284,1,12,0
CB111,1284,1300,0,13,0
CB111,1300,1300.8,1,14,0
CB111,1300.8,1308,0,15,0
CB111,1308,1309.2,1,16,0
CB111,1309.2,1316.8,0,17,0
CB111,1316.8,1318.3,1,18,0
CB111,1318.3,1324.4,0,19,0
CB111,1324.4,1327.2,1,20,0
CB111,1327.2,1347,0,21,0
CB111,1347,1350.5,1,22,0
CB111,1350.5,1353.8,0,23,0
CB111,1353.8,1358.8,1,24,0
CB111,1358.8,1375,0,25,0
CB111,1375,1377.5,1,26,0
CB111,1377.5,1391.3,0,27,0
CB111,1391.3,1395,1,28,0
CB111,1395,1403.7,0,29,0
CB111,1403.7,1404.6,1,30,0
CB111,1404.6,1405.7,0,31,0
CB111,1405.7,1407.8,1,32,0
CB111,1407.8,1433.9,0,33,0
CB111,1433.9,1436.9,1,34,0
CB111,1436.9,1438.5,0,35,0
CB111,1438.5,1441.6,1,36,0
CB111,1441.6,1452.3,0,37,0
CB111,1452.3,1453.7,1,38,0
CB111,1453.7,1463.2,0,39,0
CB111,1463.2,1464.8,1,40,0
CB111,1464.8,1468.2,0,41,0
CB111,1468.2,1470.8,1,42,0
CB111,1470.8,1478,0,43,0
CB111,1478,1479.2,1,44,0
CB111,1479.2,1480.7,0,45,0
CB111,1480.7,1482.1,1,46,0
CB111,1482.1,1487.1,0,47,0
CB111,1487.1,1495.2,1,48,0
CB111,1495.2,1501.8,0,49,0
CB111,1501.8,1510.8,1,50,0
CB111,1510.8,1513.3,0,51,0
CB111,1513.3,1515.2,1,52,0
CB111,1515.2,1516.4,0,53,0
CB111,1516.4,1523.7,1,54,0
CB111,1523.7,1526.9,0,55,0
CB111,1526.9,1528.2,1,56,0
CB111,1528.2,1549.6,0,57,0
CB111,1549.6,1579.6,1,58,0
CB111,1579.6,1586,0,59,0
CB111,1586,1594.5,1,60,0
CB111,1594.5,1596,0,61,0
CB111,1596,1623,1,62,0
CB111,1623,1626.5,0,63,0
CB111,1626.5,1651.5,1,64,0
CB111,1651.5,1661,0,65,0
CB111,1661,1668.5,1,66,0
CB111,1668.5,1672.7,0,67,-406.5
CB19,1266.2,1272,0,1,0
CB19,1272,1275,1,2,0
CB19,1275,1281,0,3,0
CB19,1281,1282.5,1,4,0
CB19,1282.5,1285.5,0,5,0
CB19,1285.5,1288,1,6,0
CB19,1288,1300.5,0,7,0
CB19,1300.5,1308,1,8,0
CB19,1308,1311,0,9,0
CB19,1311,1316,1,10,0
CB19,1316,1322,0,11,0
CB19,1322,1324.5,1,12,0
CB19,1324.5,1355,0,13,0
CB19,1355,1358,1,14,0
CB19,1358,1362,0,15,0
CB19,1362,1364,1,16,0
CB19,1364,1365.5,0,17,0
CB19,1365.5,1368,1,18,0
CB19,1368,1375.5,0,19,0
CB19,1375.5,1379.5,1,20,0
CB19,1379.5,1383.5,0,21,0
CB19,1383.5,1388,1,22,0
CB19,1388,1391.5,0,23,0
CB19,1391.5,1394,1,24,0
CB19,1394,1397.5,0,25,0
CB19,1397.5,1403.5,1,26,0
CB19,1403.5,1409,0,27,0
CB19,1409,1414.5,1,28,0
CB19,1414.5,1419,0,29,0
CB19,1419,1421,1,30,0
CB19,1421,1424,0,31,0
CB19,1424,1427,1,32,0
CB19,1427,1437,0,33,0
CB19,1437,1438,1,34,0
CB19,1438,1439.5,0,35,0
CB19,1439.5,1443.5,1,36,0
CB19,1443.5,1447,0,37,0
CB19,1447,1449,1,38,0
CB19,1449,1455.5,0,39,0
CB19,1455.5,1456.5,1,40,0
CB19,1456.5,1463,0,41,0
CB19,1463,1465,1,42,0
CB19,1465,1468,0,43,0
CB19,1468,1470,1,44,0
CB19,1470,1473.5,0,45,0
CB19,1473.5,1475.5,1,46,0
CB19,1475.5,1480,0,47,0
CB19,1480,1481.5,1,48,0
CB19,1481.5,1486,0,49,0
CB19,1486,1489,1,50,0
CB19,1489,1490,0,51,0
CB19,1490,1493,1,52,0
CB19,1493,1496.5,0,53,0
CB19,1496.5,1497.5,1,54,0
CB19,1497.5,1503,0,55,0
CB19,1503,1506,1,56,0
CB19,1506,1507.5,0,57,0
CB19,1507.5,1509.5,1,58,0
CB19,1509.5,1511.5,0,59,0
CB19,1511.5,1519,1,60,0
CB19,1519,1529,0,61,0
CB19,1529,1534,1,62,0
CB19,1534,1535,0,63,0
CB19,1535,1536.5,1,64,0
CB19,1536.5,1538,0,65,0
CB19,1538,1540.5,1,66,0
CB19,1540.5,1544,0,67,0
CB19,1544,1549.5,1,68,0
CB19,1549.5,1553,0,69,0
CB19,1553,1554.5,1,70,0
CB19,1554.5,1558.5,0,71,0
CB19,1558.5,1571,1,72,0
CB19,1571,1577,0,73,0
CB19,1577,1581,1,74,0
CB19,1581,1584,0,75,0
CB19,1584,1586,1,76,0
CB19,1586,1592,0,77,0
CB19,1592,1593,1,78,0
CB19,1593,1596,0,79,0
CB19,1596,1597,1,80,0
CB19,1597,1600.5,0,81,0
CB19,1600.5,1602,1,82,0
CB19,1602,1607,0,83,0
CB19,1607,1610,1,84,0
CB19,1610,1612,0,85,0
CB19,1612,1647,1,86,0
CB19,1647,1651,0,87,0
CB19,1651,1656,1,88,0
CB19,1656,1658,0,89,0
CB19,1658,1675.5,1,90,0
CB19,1675.5,1677,0,91,0
CB19,1677,1687.5,1,92,0
CB19,1687.5,1689.5,0,93,0
CB19,1689.5,1690.5,1,94,0
CB19,1690.5,1691,0,95,0
CB19,1691,1692,1,96,0
CB19,1692,1693,0,97,0
CB19,1693,1694,1,98,0
CB19,1694,1696,0,99,0
CB19,1696,1726,1,100,0
CB19,1726,1727.5,0,101,0
CB19,1727.5,1729.5,1,102,0
CB19,1729.5,1730.5,0,103,0
CB19,1730.5,1735.5,1,104,0
CB19,1735.5,1746.5,0,105,0
CB19,1746.5,1748,1,106,0
CB19,1748,1761,0,107,0
CB19,1761,1762,1,108,0
CB19,1762,1767,0,109,0
CB19,1767,1768,1,110,0
CB19,1768,1771,0,111,0
CB19,1771,1780.5,1,112,0
CB19,1780.5,1785.5,0,113,0
CB19,1785.5,1788,1,114,0
CB19,1788,1790,0,115,0
CB19,1790,1792,1,116,0
CB19,1792,1795,0,117,0
CB19,1795,1796.5,1,118,0
CB19,1796.5,1798,0,119,0
CB19,1798,1800,1,120,0
CB19,1800,1802.7,0,121,-691.8
CB203,1110.9,1135,0,1,0
CB203,1135,1142,1,2,0
CB203,1142,1145.5,0,3,0
CB203,1145.5,1146.5,1,4,0
CB203,1146.5,1156.5,0,5,0
CB203,1156.5,1158,1,6,0
CB203,1158,1172,0,7,0
CB203,1172,1173.5,1,8,0
CB203,1173.5,1183,0,9,0
CB203,1183,1186,1,10,0
CB203,1186,1189,0,11,0
CB203,1189,1191,1,12,0
CB203,1191,1210,0,13,0
CB203,1210,1212,1,14,0
CB203,1212,1219,0,15,0
CB203,1219,1221,1,16,0
CB203,1221,1234.5,0,17,0
CB203,1234.5,1237.5,1,18,0
CB203,1237.5,1240,0,19,0
CB203,1240,1242.5,1,20,0
CB203,1242.5,1265.5,0,21,0
CB203,1265.5,1266.5,1,22,0
CB203,1266.5,1267.5,0,23,0
CB203,1267.5,1268.5,1,24,0
CB203,1268.5,1298,0,25,0
CB203,1298,1299,1,26,0
CB203,1299,1309.5,0,27,0
CB203,1309.5,1310.5,1,28,0
CB203,1310.5,1312,0,29,0
CB203,1312,1312.5,1,30,0
CB203,1312.5,1322,0,31,0
CB203,1322,1324.5,1,32,0
CB203,1324.5,1341,0,33,0
CB203,1341,1355.5,1,34,0
CB203,1355.5,1365,0,35,0
CB203,1365,1367,1,36,0
CB203,1367,1368.5,0,37,0
CB203,1368.5,1373,1,38,0
CB203,1373,1376,0,39,0
CB203,1376,1378.5,1,40,0
CB203,1378.5,1389,0,41,0
CB203,1389,1404,1,42,0
CB203,1404,1415,0,43,0
CB203,1415,1418.5,1,44,0
CB203,1418.5,1423,0,45,0
CB203,1423,1426.5,1,46,0
CB203,1426.5,1441.7,0,47,-278.4
CB205,1163.3,1198,0,1,0
CB205,1198,1206.5,1,2,0
CB205,1206.5,1210.5,0,3,0
CB205,1210.5,1219.7,1,4,0
CB205,1219.7,1274.5,0,5,0
CB205,1274.5,1304.7,1,6,0
CB205,1304.7,1309.6,0,7,0
CB205,1309.6,1310.7,1,8,0
CB205,1310.7,1324,0,9,0
CB205,1324,1331.4,1,10,0
CB205,1331.4,1342.4,0,11,0
CB205,1342.4,1344,1,12,0
CB205,1344,1346,0,13,0
CB205,1346,1356,1,14,0
CB205,1356,1360.6,0,15,0
CB205,1360.6,1362.6,1,16,0
CB205,1362.6,1369.5,0,17,0
CB205,1369.5,1376,1,18,0
CB205,1376,1382,0,19,0
CB205,1382,1389.2,1,20,0
CB205,1389.2,1392.9,0,21,0
CB205,1392.9,1394.5,1,22,0
CB205,1394.5,1408,0,23,0
CB205,1408,1410.5,1,24,0
CB205,1410.5,1417.7,0,25,0
CB205,1417.7,1428,1,26,0
CB205,1428,1432,0,27,0
CB205,1432,1447.7,1,28,0
CB205,1447.7,1452,0,29,0
CB205,1452,1456.5,1,30,0
CB205,1456.5,1460.6,0,31,-204.3
CB206,1256.3,1262.6,1,1,0
CB206,1262.6,1281,0,2,0
CB206,1281,1283.4,1,3,0
CB206,1283.4,1305.8,0,4,0
CB206,1305.8,1307,1,5,0
CB206,1307,1374,0,6,0
CB206,1374,1375.6,1,7,0
CB206,1375.6,1384.3,0,8,0
CB206,1384.3,1386.8,1,9,0
CB206,1386.8,1399.1,0,10,0
CB206,1399.1,1403,1,11,0
CB206,1403,1410.4,0,12,0
CB206,1410.4,1411.5,1,13,0
CB206,1411.5,1432,0,14,0
CB206,1432,1446.1,1,15,0
CB206,1446.1,1458.5,0,16,0
CB206,1458.5,1459.5,1,17,0
CB206,1459.5,1461.3,0,18,0
CB206,1461.3,1468.8,1,19,0
CB206,1468.8,1494,0,20,0
CB206,1494,1498,1,21,0
CB206,1498,1510,0,22,0
CB206,1510,1516,1,23,0
CB206,1516,1524.8,0,24,0
CB206,1524.8,1528.4,1,25,0
CB206,1528.4,1562,0,26,0
CB206,1562,1564,1,27,0
CB206,1564,1566,0,28,0
CB206,1566,1569.2,1,29,-447.1
CB208,1122.1,1149.3,0,1,0
CB208,1149.3,1152.8,1,2,0
CB208,1152.8,1153.8,0,3,0
CB208,1153.8,1162.9,1,4,0
CB208,1162.9,1186.1,0,5,0
CB208,1186.1,1190.3,1,6,0
CB208,1190.3,1209.66,0,7,0
CB208,1209.66,1211.8,1,8,0
CB208,1211.8,1216.38,0,9,0
CB208,1216.38,1220.5,1,10,0
CB208,1220.5,1236.8,0,11,0
CB208,1236.8,1243.6,1,12,-4.6
CB208,1239,1242,0,13,1.6
CB208,1243.6,1266.5,0,14,0
CB208,1266.5,1269.2,1,15,0
CB208,1269.2,1272.6,0,16,0
CB208,1272.6,1277,1,17,0
CB208,1277,1283,0,18,0
CB208,1283,1285,1,19,0
CB208,1285,1289,0,20,0
CB208,1289,1291.2,1,21,0
CB208,1291.2,1298.8,0,22,0
CB208,1298.8,1302.9,1,23,0
