well_no,bottom_depth,top_depth,is_reservoir,reservoir_no,差值
CB111,1723.4,1727.0,0,1,19.0
CB111,1746.0,1753.0,0,2,0
CB32,2875.6,2880.1,1,1,322.2000000000003
CB32,3202.3,3206.6,1,2,275.4000000000001
CB32,3482.0,3489.0,1,3,113.09999999999991
CB32,3602.1,3607.3,1,4,91.29999999999973
CB32,3698.6,3706.0,0,5,0
CB602,4079.2,4178.0,0,1,0
CB258,1143.3,1148.5,1,1,0
CB803,1701.1,1705.3,1,1,1399.8
CB803,3105.1,3111.4,1,2,194.19999999999982
CB803,3305.6,3318.1,1,3,-12.099999999999909
CB803,3306.0,3318.0,0,4,222.9000000000001
CB803,3540.9,3542.6,0,5,280.2000000000003
CB803,3822.8,3837.6,0,6,0
CB256,1200.3,1215.1,0,1,0
CB27,1400.4,1414.0,1,1,44.799999999999955
CB27,1458.8,1461.0,1,2,1114.1999999999998
CB27,2575.2,2580.2,1,3,12.600000000000364
CB27,2592.8,2595.8,0,4,2.899999999999636
CB27,2598.7,2622.12,1,5,-22.4699999999998
CB27,2599.65,2612.23,0,6,0
CB26,1370.0,1373.8,1,1,73.0
CB26,1446.8,1451.0,1,2,247.5999999999999
CB26,1698.6,1701.5,1,3,0
CB245,1292.3,1297.3,1,1,184.10000000000014
CB245,1481.4,1484.4,1,2,112.09999999999991
CB245,1596.5,1602.5,1,3,0
CBX601,1662.0,1670.0,1,1,389.3000000000002
CBX601,2059.3,2063.9,1,2,234.0999999999999
CBX601,2298.0,2310.0,1,3,1426.5
CBX601,3736.5,3850.63,1,4,0
CB248,1429.6,1434.7,1,1,117.89999999999986
CB248,1552.6,1555.5,1,2,0
CB208,1239.0,1242.0,0,1,123.5
CB208,1365.5,1373.5,0,2,26.799999999999955
CB208,1400.3,1404.0,0,3,0
SHHG1,2300.94,2388.75,1,1,-87.80999999999995
SHHG1,2300.94,2536.0,1,2,306.98
SHHG1,2842.98,2911.0,1,3,464.4000000000001
SHHG1,3375.4,3672.9,1,4,0
CB22,1245.1,1258.6,1,1,120.30000000000018
CB22,1378.9,1385.8,1,2,62.0
CB22,1447.8,1454.1,1,3,30.5
CB22,1484.6,1488.0,1,4,0
CB252,1271.8,1283.5,1,1,112.59999999999991
CB252,1396.1,1402.9,1,2,19.5
CB252,1422.4,1457.3,1,3,0
CB23,1447.1,1450.5,1,1,20.09999999999991
CB23,1470.6,1473.6,1,2,1049.3000000000002
CB23,2522.9,2525.9,1,3,13.599999999999909
CB23,2539.5,2542.7,1,4,0
CB292,2204.95,2270.0,0,1,0
CB243,1237.5,1245.3,1,1,32.5
CB243,1277.8,1282.1,1,2,0
CB247,1188.8,1198.5,1,1,214.29999999999995
CB247,1412.8,1442.9,1,2,0
CB271,1290.8,1302.1,1,1,125.80000000000018
CB271,1427.9,1432.0,1,2,807.0
CB271,2239.0,2241.8,1,3,195.8499999999999
CB271,2437.65,2500.0,1,4,0
SHH2,1209.8,1236.9,1,1,15.399999999999864
SHH2,1252.3,1257.1,1,2,7.400000000000091
SHH2,1264.5,1271.3,1,3,0
CB253,1274.9,1354.0,1,1,0
CB323,4260.8,4272.1,1,1,0
CB81,3730.91,3849.5,0,1,-81.5
CB81,3768.0,3779.0,0,2,0
SHHG3,2428.8,2458.0,1,1,115.5
SHHG3,2573.5,2577.4,1,2,92.69999999999982
SHHG3,2670.1,2672.1,1,3,112.22000000000025
SHHG3,2784.32,2970.0,1,4,-185.67999999999984
SHHG3,2784.32,3175.0,1,5,0
SHH4,1258.3,1377.3,1,1,21.299999999999955
SHH4,1398.6,1420.5,1,2,814.5
SHH4,2235.0,2287.0,1,3,-52.0
SHH4,2235.0,2243.0,0,4,0
CB11NC-1,2194.0,2201.7,1,1,0
CB805,2582.8,2588.6,1,1,0
SHH8,3021.3,3052.0,1,1,221.30000000000018
SHH8,3273.3,3286.0,1,2,205.0
SHH8,3491.0,3500.0,1,3,62.01000000000022
SHH8,3562.01,3599.4,1,4,0
CB301,3321.1,3614.38,1,1,-203.48000000000002
CB301,3410.9,3430.4,1,2,11.449999999999818
CB301,3441.85,3614.38,0,3,-103.91000000000031
CB301,3510.47,3614.38,0,4,-94.80999999999995
CB301,3519.57,3614.38,0,5,0
CB275,2241.0,2247.0,1,1,121.09000000000015
CB275,2368.09,2433.0,1,2,210.05000000000018
CB275,2643.05,2790.0,1,3,0
CB242,2928.0,2945.29,1,1,0
CB802,3062.9,3077.1,1,1,-5.099999999999909
CB802,3072.0,3077.1,1,2,100.70000000000027
CB802,3177.8,3180.8,1,3,0
CBS19,1300.4,1315.9,1,1,195.69999999999982
CBS19,1511.6,1518.6,1,2,1351.4
CBS19,2870.0,2876.5,1,3,35.5
CBS19,2912.0,2924.4,0,4,-12.400000000000091
CBS19,2912.0,2954.0,1,5,0
CBX821,4024.0,4045.6,0,1,0
CB324,2642.9,2648.2,1,1,500.5
CB324,3148.7,3157.0,1,2,0
SHHG2,2400.17,2689.24,1,1,-289.0699999999997
SHHG2,2400.17,2469.58,1,2,0
CB19,0.0,0.0,0,1,0
CB812,3068.0,3075.3,1,1,0
CB25,1262.8,1268.8,1,1,39.799999999999955
CB25,1308.6,1314.0,1,2,64.5
CB25,1378.5,1385.5,1,3,12.5
CB25,1398.0,1404.0,1,4,983.0
CB25,2387.0,2393.0,1,5,0
CB42,1180.5,1191.5,1,1,2462.0
CB42,3653.5,3664.4,1,2,0
CB322,1847.5,1850.1,1,1,1401.3000000000002
CB322,3251.4,3257.9,0,2,37.0
CB322,3294.9,3298.4,1,3,0
CB244,2962.0,2978.4,1,1,658.3399999999997
CB244,3636.74,3647.34,0,2,-10.600000000000364
CB244,3636.74,3706.21,0,3,0
SHH7,1328.9,1332.6,1,1,-3.699999999999818
SHH7,1328.9,1471.5,1,2,-33.09999999999991
SHH7,1438.4,1471.5,1,3,145.4000000000001
SHH7,1616.9,1619.9,1,4,708.5999999999999
SHH7,2328.5,2331.5,1,5,613.5
SHH7,2945.0,3241.15,1,6,-188.8499999999999
SHH7,3052.3,3241.15,1,7,277.92999999999984
SHH7,3519.08,3610.0,1,8,0
CBG401,0.0,0.0,0,1,0
CB40C,3511.0,3547.0,1,1,1005.7299999999996
CB40C,4552.73,4724.0,0,2,0
CB808,2340.5,2342.0,0,1,633.5
CB808,2975.5,2984.3,0,2,0
CB321,2596.5,2599.0,1,1,13.099999999999909
CB321,2612.1,2616.5,1,2,452.9000000000001
CB321,3069.4,3084.6,1,3,721.4000000000001
CB321,3806.0,3822.4,0,4,55.92000000000007
CB321,3878.32,3976.93,0,5,0
