well_name,bottom_time,top_time,bottom_depth,top_depth,is_reservoir
CB111,552,553,1190.4,1193.5,0
CB111,553,554,1193.5,1195.0,1
CB111,554,558,1195.0,1210.8,0
CB111,558,559,1210.8,1213.0,1
CB111,559,569,1213.0,1231.4,0
CB111,569,572,1231.4,1235.3,1
CB111,572,582,1235.3,1253.1,0
CB111,582,583,1253.1,1254.1,1
CB111,583,585,1254.1,1260.2,0
CB111,585,588,1260.2,1269.6,1
CB111,588,591,1269.6,1283.0,0
CB111,591,592,1283.0,1284.0,1
CB111,592,597,1284.0,1300.0,0
CB111,597,597,1300.0,1300.8,1
CB111,597,600,1300.8,1308.0,0
CB111,600,600,1308.0,1309.2,1
CB111,600,603,1309.2,1316.8,0
CB111,603,604,1316.8,1318.3,1
CB111,604,606,1318.3,1324.4,0
CB111,606,607,1324.4,1327.2,1
CB111,607,615,1327.2,1347.0,0
CB111,615,616,1347.0,1350.5,1
CB111,616,617,1350.5,1353.8,0
CB111,617,619,1353.8,1358.8,1
CB111,619,626,1358.8,1375.0,0
CB111,626,627,1375.0,1377.5,1
CB111,627,632,1377.5,1391.3,0
CB111,632,633,1391.3,1395.0,1
CB111,633,637,1395.0,1403.7,0
CB111,637,637,1403.7,1404.6,1
CB111,637,637,1404.6,1405.7,0
CB111,637,638,1405.7,1407.8,1
CB111,638,648,1407.8,1433.9,0
CB111,648,649,1433.9,1436.9,1
CB111,649,650,1436.9,1438.5,0
CB111,650,651,1438.5,1441.6,1
CB111,651,655,1441.6,1452.3,0
CB111,655,656,1452.3,1453.7,1
CB111,656,659,1453.7,1463.2,0
CB111,659,660,1463.2,1464.8,1
CB111,660,661,1464.8,1468.2,0
CB111,661,662,1468.2,1470.8,1
CB111,662,665,1470.8,1478.0,0
CB111,665,665,1478.0,1479.2,1
CB111,665,666,1479.2,1480.7,0
CB111,666,667,1480.7,1482.1,1
CB111,667,668,1482.1,1487.1,0
CB111,668,672,1487.1,1495.2,1
CB111,672,674,1495.2,1501.8,0
CB111,674,677,1501.8,1510.8,1
CB111,677,678,1510.8,1513.3,0
CB111,678,679,1513.3,1515.2,1
CB111,679,680,1515.2,1516.4,0
CB111,680,682,1516.4,1523.7,1
CB111,682,684,1523.7,1526.9,0
CB111,684,684,1526.9,1528.2,1
CB111,684,692,1528.2,1549.6,0
CB111,692,702,1549.6,1579.6,1
CB111,702,704,1579.6,1586.0,0
CB111,704,707,1586.0,1594.5,1
CB111,707,708,1594.5,1596.0,0
CB111,708,717,1596.0,1623.0,1
CB111,717,718,1623.0,1626.5,0
CB111,718,727,1626.5,1651.5,1
CB111,727,730,1651.5,1661.0,0
CB111,730,733,1661.0,1668.5,1
CB111,733,735,1668.5,1672.7,0
CB18,569,584,1245.514,1280.207,0
CB18,584,591,1280.207,1299.474,1
CB18,591,610,1299.474,1348.524,0
CB18,610,611,1348.524,1350.483,1
CB18,611,639,1350.483,1412.746,0
CB18,639,640,1412.746,1415.23,1
CB18,640,648,1415.23,1435.521,0
CB18,648,651,1435.521,1443.408,1
CB18,651,653,1443.408,1448.97,0
