well_no,x,y,order
CB11,658464.3,4232891.6,1
CB111,656301.92,4235696.85,2
CB18,655921.3,4232886.6,3
CB19,655306.4,4234084,4
CB191,654500,4234100,5
CB203,649711,4242567.92,6
CB205,651396.19,4244501.42,7
CB206,657650,4244500,8
CB208,651905.28,4240143.88,9
CB210,651550,4241095,10
CB211,654253.32,4240592.71,11
CB212,658250,4240845,12
CB213,646350,4241695,13
CB214,648450,4242395,14
CB22,658456.9,4234574.2,15
CB23,663601.8,4233265.9,16
CB24,653851.8,4236089.2,17
CB241,652770.1,4235500,18
CB242,655018.1,4235694.2,19
CB243,652940.2,4237797.2,20
CB244,655087.85,4235704.2,21
CB245,655338.3,4236694,22
CB246,646316.1,4240107.5,23
CB247,649698.99,4239555.7,24
CB248,648203.1,4240084.5,25
CB249,650487.61,4237205.66,26
CB25,660284,4235757.9,27
CB251,663000,4235243,28
CB252,659151,4237220.4,29
CB253,660181.9,4234172.3,30
CB255,656601.1,4241342.3,31
CB256,650745.66,4236293.7,32
CB257,650694.87,4233442.55,33
CB258,647040.12,4236395.27,34
CB259,647205.17,4233886.51,35
CB26,656923,4236691.9,36
CB260,648748.48,4235801.38,37
CB261,650500,4238100,38
CB262,645500,4236450,39
CB263,653859.29,4239308.15,40
CB27,663518.6,4236452,41
CB271,662387.9,4236815.9,42
CB272,659605.14,4242390.62,43
CB273,660956.18,4238332.19,44
CB275,660458.67,4236707.7,45
CB29,653750.9,4239148.4,46
CB291,655149.31,4240903.75,47
CB292,649015.02,4240558.65,48
CB293,651848.14,4244109.04,49
CB30,669609,4233793,50
CB301,670704.1,4234632.4,51
CB32,674159.1,4238338.64,52
CB321,671495.27,4235713.28,53
CB322,672793.56,4236903.86,54
CB323,674292.09,4241690.32,55
CB324,670353.98,4235113.85,56
CB325,670498.89,4235891.31,57
CB326,671551.25,4237399.83,58
CB327,672709.99,4239407.94,59
CB328,671408.74,4238786.77,60
CB329,668202.54,4233509.95,61
CB330,669594.21,4236006.34,62
CB34,672740.65,4232700.67,63
CB341,672412.38,4233407.43,64
CB38,671367.1,4233798.3,65
CB391,674350,4235250,66
CB392,672950,4235225,67
CB393,669674.62,4233722,68
CB40,672391.06,4234111.27,69
CB42,648567.89,4236906.19,70
CB43,651291.99,4236395.93,71
CB45,647246.75,4243100.02,72
CB47,649200,4244400,73
CB50,645936.91,4238207.97,74
CB502,661058.99,4232805.75,75
CB6,649130.6,4237616.8,76
CB602,653997.51,4238412.94,77
CB603,645946.58,4241102.41,78
CB604,648164.26,4240350.25,79
CB8,665497.8,4236445.1,80
CB802,663612,4243975.1,81
CB803,669116.47,4240146.46,82
CB804,669708.35,4238190.76,83
CB805,666688,4241888.7,84
CB806,667802.84,4236684.68,85
CB807,664619.6,4237480.5,86
CB808,666285.69,4238296.64,87
CB809,666110.77,4234808.22,88
CB81,669550.54,4242753.74,89
CB810,667708.06,4238241.76,90
CB811,664499.16,4240297.16,91
CB812,665844.55,4241001.28,92
CB813,662706.11,4244790.05,93
CB815,664046.74,4245358.86,94
CB817,666550,4244400,95
CB818,664852.51,4243493.3,96
CB819,667313.63,4243600.15,97
CB822,667350,4242250,98
CB823,664450,4242400,99
CB824,668550,4240750,100
CB825,669850,4239150,101
CB827,668150,4237645,102
CB828,663100,4245295,103
CB84,668449.05,4242206.97,104
CBG10,664507.75,4233998.81,105
CBG11,660819.59,4245479.57,106
CBG110,658030.55,4246139.26,107
CBG111,658743.82,4244758.57,108
CBG112,659453.87,4245503.98,109
CBG113,660607,4242585,110
CBG12,662150,4236100,111
CBG13,657450,4239850,112
CBG4,665501.6,4242650.5,113
CBG401,660920.25,4243445.25,114
CBG403,664492,4239159.8,115
CBG404,662200,4239300,116
CBG406,662650,4238700,117
CBS19,655306.4,4234084,118
CD11,642903.262,4233792.368,119
CD12,642550,4236550,120
CD9,644209.69,4233910.1,121
SHH10,665207.2,4244907.7,122
SHH2,647063.8,4241837.7,123
SHH201,649508.81,4241299.5,124
SHH202,652537.7,4241629.5,125
SHH3,655373.9,4240804.2,126
SHH4,655607.9,4238006.2,127
SHH5,648509.6,4238497.1,128
SHH6,657662.1,4239225.5,129
SHH7,653404.8,4237004.4,130
SHH8,667598.6,4240120.2,131
SHH801,666452.66,4239699.33,132
SHHG1,647233.2,4240504.9,133
SHHG2,659180.06,4239726.02,134
SHHG3,658800.18,4243387.39,135
