   PrimaryIndex TVD@UNKNOWN;2 [ TWOTIM@UNKNOWN;   
                A102107]        2 [A102109]       
       Unitless               m              ms   
         0.0000         0.00000         0.00000 
         1.0000       349.92999       418.83020 
         2.0000       350.05499       418.87564 
         3.0000       350.17999       418.92081 
         4.0000       350.30499       418.96567 
         5.0000       350.42999       419.01031 
         6.0000       350.55499       419.05484 
         7.0000       350.67999       419.09924 
         8.0000       350.80499       419.14355 
         9.0000       350.92999       419.18793 
        10.0000       351.05499       419.23230 
        11.0000       351.17999       419.27676 
        12.0000       351.30499       419.32162 
        13.0000       351.42999       419.36719 
        14.0000       351.55499       419.41324 
        15.0000       351.67999       419.45938 
        16.0000       351.80499       419.50534 
        17.0000       351.92999       419.55093 
        18.0000       352.05499       419.59573 
        19.0000       352.17999       419.64014 
        20.0000       352.30499       419.68454 
        21.0000       352.42999       419.72900 
        22.0000       352.55499       419.77353 
        23.0000       352.67999       419.81808 
        24.0000       352.80499       419.86270 
        25.0000       352.92999       419.90732 
        26.0000       353.05499       419.95190 
        27.0000       353.17999       419.99652 
        28.0000       353.30499       420.04123 
        29.0000       353.42999       420.08600 
        30.0000       353.55499       420.13095 
        31.0000       353.67999       420.17590 
        32.0000       353.80499       420.22089 
        33.0000       353.92999       420.26584 
        34.0000       354.05499       420.31061 
        35.0000       354.17999       420.35532 
        36.0000       354.30499       420.40002 
        37.0000       354.42999       420.44467 
        38.0000       354.55499       420.48935 
        39.0000       354.67999       420.53415 
        40.0000       354.80499       420.57910 
        41.0000       354.92999       420.62421 
        42.0000       355.05499       420.66949 
        43.0000       355.17999       420.71481 
        44.0000       355.30499       420.76031 
        45.0000       355.42999       420.80588 
        46.0000       355.55499       420.85129 
        47.0000       355.67999       420.89661 
        48.0000       355.80499       420.94168 
        49.0000       355.92999       420.98642 
        50.0000       356.05499       421.03104 
        51.0000       356.17999       421.07568 
        52.0000       356.30499       421.12033 
        53.0000       356.42999       421.16522 
        54.0000       356.55499       421.21057 
        55.0000       356.67999       421.25635 
        56.0000       356.80499       421.30249 
        57.0000       356.92999       421.34921 
        58.0000       357.05499       421.39630 
        59.0000       357.17999       421.44351 
        60.0000       357.30499       421.49054 
        61.0000       357.42999       421.53714 
        62.0000       357.55499       421.58310 
        63.0000       357.67999       421.62833 
        64.0000       357.80499       421.67300 
        65.0000       357.92999       421.71741 
        66.0000       358.05499       421.76181 
        67.0000       358.17999       421.80652 
        68.0000       358.30499       421.85544 
        69.0000       358.42999       421.91150 
        70.0000       358.55499       421.97229 
        71.0000       358.67999       422.03778 
        72.0000       358.80499       422.10687 
        73.0000       358.92999       422.17548 
        74.0000       359.05499       422.24045 
        75.0000       359.17999       422.30099 
        76.0000       359.30499       422.35611 
        77.0000       359.42999       422.40704 
        78.0000       359.55499       422.45966 
        79.0000       359.67999       422.51892 
        80.0000       359.80499       422.58417 
        81.0000       359.92999       422.65295 
        82.0000       360.05499       422.72150 
        83.0000       360.17999       422.78513 
        84.0000       360.30499       422.84180 
        85.0000       360.42999       422.89307 
        86.0000       360.55499       422.94110 
        87.0000       360.67999       422.98721 
        88.0000       360.80499       423.03278 
        89.0000       360.92999       423.07831 
        90.0000       361.05499       423.12396 
        91.0000       361.17999       423.16986 
        92.0000       361.30499       423.21555 
        93.0000       361.42999       423.26114 
        94.0000       361.55499       423.30658 
        95.0000       361.67999       423.35199 
        96.0000       361.80499       423.39737 
        97.0000       361.92999       423.44284 
        98.0000       362.05499       423.48856 
        99.0000       362.17999       423.53418 
       100.0000       362.30499       423.57968 
       101.0000       362.42999       423.62506 
       102.0000       362.55499       423.67044 
       103.0000       362.67999       423.71579 
       104.0000       362.80499       423.76123 
       105.0000       362.92999       423.80667 
       106.0000       363.05499       423.85199 
       107.0000       363.17999       423.89737 
       108.0000       363.30499       423.94272 
       109.0000       363.42999       423.98813 
       110.0000       363.55499       424.03339 
       111.0000       363.67999       424.07822 
       112.0000       363.80499       424.12292 
       113.0000       363.92999       424.16739 
       114.0000       364.05499       424.21155 
       115.0000       364.17999       424.25577 
       116.0000       364.30499       424.30038 
       117.0000       364.42999       424.34546 
       118.0000       364.55499       424.39093 
       119.0000       364.67999       424.43674 
       120.0000       364.80499       424.48264 
       121.0000       364.92999       424.52841 
       122.0000       365.05499       424.57364 
       123.0000       365.17999       424.61838 
       124.0000       365.30499       424.66321 
       125.0000       365.42999       424.70831 
       126.0000       365.55499       424.75327 
       127.0000       365.67999       424.79803 
       128.0000       365.80499       424.84232 
       129.0000       365.92999       424.88589 
       130.0000       366.05499       424.92865 
       131.0000       366.17999       424.97092 
       132.0000       366.30499       425.01358 
       133.0000       366.42999       425.05685 
       134.0000       366.55499       425.10068 
       135.0000       366.67999       425.14493 
       136.0000       366.80499       425.18921 
       137.0000       366.92999       425.23291 
       138.0000       367.05499       425.27603 
       139.0000       367.17999       425.31860 
       140.0000       367.30499       425.36084 
       141.0000       367.42999       425.40268 
       142.0000       367.55499       425.44427 
       143.0000       367.67999       425.48611 
       144.0000       367.80499       425.52859 
       145.0000       367.92999       425.57190 
