   PrimaryIndex TWOTIM@UNKNOWN; TVD@UNKNOWN;2 [   
                2 [A99337]      A99335]           
       Unitless              ms               m   
         0.0000         0.00000         0.00000 
         1.0000       427.16467       486.52740 
         2.0000       427.32812       486.67981 
         3.0000       427.49255       486.83221 
         4.0000       427.65970       486.98459 
         5.0000       427.82962       487.13699 
         6.0000       428.00183       487.28940 
         7.0000       428.17633       487.44180 
         8.0000       428.35229       487.59421 
         9.0000       428.52795       487.74661 
        10.0000       428.70267       487.89899 
        11.0000       428.87427       488.05139 
        12.0000       429.04419       488.20380 
        13.0000       429.21268       488.35620 
        14.0000       429.37988       488.50861 
        15.0000       429.54654       488.66101 
        16.0000       429.71298       488.81339 
        17.0000       429.87894       488.96579 
        18.0000       430.04437       489.11819 
        19.0000       430.20898       489.27060 
        20.0000       430.37177       489.42300 
        21.0000       430.53064       489.57541 
        22.0000       430.68668       489.72781 
        23.0000       430.84003       489.88019 
        24.0000       430.98849       490.03259 
        25.0000       431.13501       490.18500 
        26.0000       431.28018       490.33740 
        27.0000       431.42548       490.48981 
        28.0000       431.57220       490.64221 
        29.0000       431.72089       490.79459 
        30.0000       431.87189       490.94699 
        31.0000       432.02524       491.09940 
        32.0000       432.17944       491.25180 
        33.0000       432.33466       491.40421 
        34.0000       432.49142       491.55661 
        35.0000       432.64926       491.70901 
        36.0000       432.80795       491.86139 
        37.0000       432.96756       492.01379 
        38.0000       433.12726       492.16620 
        39.0000       433.28641       492.31860 
        40.0000       433.44461       492.47101 
        41.0000       433.60242       492.62341 
        42.0000       433.76102       492.77579 
        43.0000       433.92154       492.92819 
        44.0000       434.08539       493.08060 
        45.0000       434.25089       493.23300 
        46.0000       434.41724       493.38541 
        47.0000       434.58273       493.53781 
        48.0000       434.74631       493.69019 
        49.0000       434.90698       493.84259 
        50.0000       435.06195       493.99500 
        51.0000       435.21289       494.14740 
        52.0000       435.36200       494.29980 
        53.0000       435.51242       494.45221 
        54.0000       435.66681       494.60461 
        55.0000       435.82455       494.75699 
        56.0000       435.98434       494.90939 
        57.0000       436.14316       495.06180 
        58.0000       436.29965       495.21420 
        59.0000       436.45334       495.36661 
        60.0000       436.60309       495.51901 
        61.0000       436.75159       495.67139 
