   PrimaryIndex TWOTIM@UNKNOWN; TVD@UNKNOWN;3 [   
                3 [A100674]     A100672]          
       Unitless              ms               m   
         0.0000         0.00000         0.00000 
         1.0000       896.87976       952.15240 
         2.0000       896.99744       952.30481 
         3.0000       897.11377       952.45721 
         4.0000       897.22809       952.60962 
         5.0000       897.34137       952.76202 
         6.0000       897.45789       952.91443 
         7.0000       897.58130       953.06677 
         8.0000       897.71204       953.21918 
         9.0000       897.84869       953.37158 
        10.0000       897.98608       953.52399 
        11.0000       898.11969       953.67639 
        12.0000       898.24872       953.82880 
        13.0000       898.37408       953.98120 
        14.0000       898.49811       954.13361 
        15.0000       898.62195       954.28601 
        16.0000       898.74420       954.43842 
        17.0000       898.86420       954.59082 
        18.0000       898.98132       954.74323 
        19.0000       899.09454       954.89563 
        20.0000       899.20563       955.04797 
        21.0000       899.31561       955.20038 
        22.0000       899.42584       955.35278 
        23.0000       899.53949       955.50519 
        24.0000       899.65729       955.65759 
        25.0000       899.77789       955.81000 
        26.0000       899.89905       955.96240 
        27.0000       900.01886       956.11481 
        28.0000       900.13690       956.26721 
        29.0000       900.25409       956.41962 
        30.0000       900.37164       956.57202 
        31.0000       900.48926       956.72443 
        32.0000       900.60638       956.87677 
        33.0000       900.72241       957.02917 
        34.0000       900.83789       957.18158 
        35.0000       900.95416       957.33398 
        36.0000       901.07111       957.48639 
        37.0000       901.18494       957.63879 
        38.0000       901.29218       957.79120 
        39.0000       901.39557       957.94360 
        40.0000       901.50104       958.09601 
        41.0000       901.61377       958.24841 
        42.0000       901.73578       958.40082 
        43.0000       901.86371       958.55322 
        44.0000       901.99268       958.70563 
        45.0000       902.12140       958.85797 
        46.0000       902.25024       959.01038 
        47.0000       902.37799       959.16278 
        48.0000       902.50366       959.31519 
        49.0000       902.62805       959.46759 
        50.0000       902.75250       959.62000 
        51.0000       902.87811       959.77240 
        52.0000       903.00519       959.92480 
        53.0000       903.13281       960.07721 
        54.0000       903.25922       960.22961 
        55.0000       903.38348       960.38202 
        56.0000       903.50562       960.53442 
        57.0000       903.62677       960.68683 
        58.0000       903.74774       960.83917 
        59.0000       903.86816       960.99158 
        60.0000       903.98773       961.14398 
        61.0000       904.10706       961.29639 
