   PrimaryIndex TVD@UNKNOWN;4 [ TWOTIM@UNKNOWN;   
                A93556]         4 [A93558]        
       Unitless               m              ms   
         0.0000         0.00000         0.00000 
         1.0000       661.15240       607.06842 
         2.0000       661.30481       607.12225 
         3.0000       661.45721       607.17645 
         4.0000       661.60962       607.23059 
         5.0000       661.76202       607.28479 
         6.0000       661.91443       607.33911 
         7.0000       662.06677       607.39325 
         8.0000       662.21918       607.44946 
         9.0000       662.37158       607.51178 
        10.0000       662.52399       607.58405 
        11.0000       662.67639       607.66766 
        12.0000       662.82880       607.76074 
        13.0000       662.98120       607.85724 
        14.0000       663.13361       607.94867 
        15.0000       663.28601       608.03009 
        16.0000       663.43842       608.10040 
        17.0000       663.59082       608.16150 
        18.0000       663.74323       608.21771 
        19.0000       663.89563       608.27368 
        20.0000       664.04797       608.33514 
        21.0000       664.20038       608.40924 
        22.0000       664.35278       608.50220 
        23.0000       664.50519       608.61432 
        24.0000       664.65759       608.73651 
        25.0000       664.81000       608.85358 
        26.0000       664.96240       608.95367 
        27.0000       665.11481       609.03479 
        28.0000       665.26721       609.10168 
        29.0000       665.41962       609.16260 
        30.0000       665.57202       609.22217 
        31.0000       665.72443       609.28284 
        32.0000       665.87677       609.34698 
        33.0000       666.02917       609.41418 
        34.0000       666.18158       609.48425 
        35.0000       666.33398       609.55743 
        36.0000       666.48639       609.63135 
        37.0000       666.63879       609.70569 
        38.0000       666.79120       609.78198 
        39.0000       666.94360       609.85828 
        40.0000       667.09601       609.93243 
        41.0000       667.24841       610.00684 
        42.0000       667.40082       610.08038 
        43.0000       667.55322       610.14960 
        44.0000       667.70563       610.21539 
        45.0000       667.85797       610.27698 
        46.0000       668.01038       610.33466 
        47.0000       668.16278       610.39117 
        48.0000       668.31519       610.44806 
        49.0000       668.46759       610.50537 
        50.0000       668.62000       610.56616 
        51.0000       668.77240       610.62952 
        52.0000       668.92480       610.69354 
        53.0000       669.07721       610.75763 
        54.0000       669.22961       610.81903 
        55.0000       669.38202       610.87836 
        56.0000       669.53442       610.93683 
        57.0000       669.68683       610.99335 
        58.0000       669.83917       611.04791 
        59.0000       669.99158       611.10156 
        60.0000       670.14398       611.15509 
        61.0000       670.29639       611.20996 
        62.0000       670.44879       611.26971 
        63.0000       670.60120       611.33618 
        64.0000       670.75360       611.40985 
        65.0000       670.90601       611.48932 
        66.0000       671.05841       611.57098 
        67.0000       671.21082       611.65009 
        68.0000       671.36322       611.72357 
        69.0000       671.51562       611.79077 
        70.0000       671.66803       611.85187 
        71.0000       671.82037       611.90961 
        72.0000       671.97278       611.96631 
        73.0000       672.12518       612.02319 
        74.0000       672.27759       612.08289 
        75.0000       672.42999       612.14813 
        76.0000       672.58240       612.21942 
        77.0000       672.73480       612.29681 
        78.0000       672.88721       612.37842 
        79.0000       673.03961       612.46185 
        80.0000       673.19202       612.54669 
        81.0000       673.34442       612.63171 
        82.0000       673.49683       612.71527 
        83.0000       673.64917       612.79413 
        84.0000       673.80157       612.86938 
        85.0000       673.95398       612.94330 
        86.0000       674.10638       613.01788 
        87.0000       674.25879       613.09387 
        88.0000       674.41119       613.16748 
        89.0000       674.56360       613.23535 
        90.0000       674.71600       613.29730 
        91.0000       674.86841       613.35486 
        92.0000       675.02081       613.41302 
        93.0000       675.17322       613.47681 
        94.0000       675.32562       613.54633 
        95.0000       675.47803       613.61896 
        96.0000       675.63037       613.69196 
        97.0000       675.78278       613.76520 
        98.0000       675.93518       613.84271 
        99.0000       676.08759       613.92816 
       100.0000       676.23999       614.02094 
       101.0000       676.39240       614.11548 
       102.0000       676.54480       614.20569 
       103.0000       676.69720       614.28979 
       104.0000       676.84961       614.36859 
       105.0000       677.00201       614.44391 
       106.0000       677.15442       614.51721 
       107.0000       677.30682       614.59003 
       108.0000       677.45923       614.66357 
       109.0000       677.61157       614.74023 
       110.0000       677.76398       614.82300 
       111.0000       677.91638       614.91449 
       112.0000       678.06879       615.01422 
       113.0000       678.22119       615.11987 
       114.0000       678.37360       615.22638 
       115.0000       678.52600       615.32861 
       116.0000       678.67841       615.42700 
       117.0000       678.83081       615.52325 
       118.0000       678.98322       615.61975 
       119.0000       679.13562       615.71887 
       120.0000       679.28802       615.82220 
       121.0000       679.44043       615.92957 
       122.0000       679.59277       616.04138 
       123.0000       679.74518       616.15729 
       124.0000       679.89758       616.27362 
       125.0000       680.04999       616.38812 
       126.0000       680.20239       616.49951 
       127.0000       680.35480       616.60468 
       128.0000       680.50720       616.70581 
       129.0000       680.65961       616.81036 
       130.0000       680.81201       616.92114 
       131.0000       680.96442       617.03772 
       132.0000       681.11682       617.15796 
       133.0000       681.26923       617.27545 
       134.0000       681.42157       617.38702 
       135.0000       681.57397       617.49445 
       136.0000       681.72638       617.60016 
       137.0000       681.87878       617.70447 
       138.0000       682.03119       617.80969 
       139.0000       682.18359       617.91467 
       140.0000       682.33600       618.01721 
       141.0000       682.48840       618.11841 
       142.0000       682.64081       618.21753 
       143.0000       682.79321       618.31702 
       144.0000       682.94562       618.41888 
       145.0000       683.09802       618.52124 
