   PrimaryIndex TVD@UNKNOWN;2 [ TWOTIM@UNKNOWN;   
                A95994]         2 [A95996]        
       Unitless               m              ms   
         0.0000         0.00000         0.00000 
         1.0000       305.12500       287.31998 
         2.0000       305.25000       287.44305 
         3.0000       305.37500       287.56345 
         4.0000       305.50000       287.68341 
         5.0000       305.62500       287.80313 
         6.0000       305.75000       287.92270 
         7.0000       305.87500       288.04132 
         8.0000       306.00000       288.15897 
         9.0000       306.12500       288.27518 
        10.0000       306.25000       288.38968 
        11.0000       306.37500       288.50031 
        12.0000       306.50000       288.60919 
        13.0000       306.62500       288.71683 
        14.0000       306.75000       288.82352 
        15.0000       306.87500       288.92987 
        16.0000       307.00000       289.03662 
        17.0000       307.12500       289.14407 
        18.0000       307.25000       289.25235 
        19.0000       307.37500       289.36215 
        20.0000       307.50000       289.47244 
        21.0000       307.62500       289.58289 
        22.0000       307.75000       289.69363 
        23.0000       307.87500       289.80518 
        24.0000       308.00000       289.91760 
        25.0000       308.12500       290.03098 
        26.0000       308.25000       290.14532 
        27.0000       308.37500       290.26096 
        28.0000       308.50000       290.37680 
        29.0000       308.62500       290.49271 
        30.0000       308.75000       290.60855 
        31.0000       308.87500       290.72495 
        32.0000       309.00000       290.84201 
        33.0000       309.12500       290.95987 
        34.0000       309.25000       291.07877 
        35.0000       309.37500       291.19949 
        36.0000       309.50000       291.32077 
        37.0000       309.62500       291.44226 
        38.0000       309.75000       291.56387 
        39.0000       309.87500       291.68497 
        40.0000       310.00000       291.80560 
        41.0000       310.12500       291.92581 
        42.0000       310.25000       292.04581 
        43.0000       310.37500       292.16541 
        44.0000       310.50000       292.28500 
        45.0000       310.62500       292.40442 
        46.0000       310.75000       292.52344 
        47.0000       310.87500       292.64102 
        48.0000       311.00000       292.75763 
        49.0000       311.12500       292.87329 
        50.0000       311.25000       292.98807 
        51.0000       311.37500       293.10135 
        52.0000       311.50000       293.21378 
        53.0000       311.62500       293.32507 
        54.0000       311.75000       293.43497 
        55.0000       311.87500       293.54218 
        56.0000       312.00000       293.64868 
        57.0000       312.12500       293.75513 
        58.0000       312.25000       293.86237 
        59.0000       312.37500       293.97330 
        60.0000       312.50000       294.08698 
        61.0000       312.62500       294.20380 
        62.0000       312.75000       294.32373 
        63.0000       312.87500       294.44821 
        64.0000       313.00000       294.57349 
        65.0000       313.12500       294.69870 
        66.0000       313.25000       294.82336 
        67.0000       313.37500       294.94669 
        68.0000       313.50000       295.06958 
        69.0000       313.62500       295.19235 
        70.0000       313.75000       295.31543 
        71.0000       313.87500       295.43997 
        72.0000       314.00000       295.56549 
        73.0000       314.12500       295.69189 
        74.0000       314.25000       295.81866 
        75.0000       314.37500       295.94421 
        76.0000       314.50000       296.06842 
        77.0000       314.62500       296.19116 
        78.0000       314.75000       296.31274 
        79.0000       314.87500       296.43362 
        80.0000       315.00000       296.55496 
        81.0000       315.12500       296.67725 
        82.0000       315.25000       296.80096 
        83.0000       315.37500       296.92905 
        84.0000       315.50000       297.05920 
        85.0000       315.62500       297.19098 
        86.0000       315.75000       297.32343 
        87.0000       315.87500       297.45508 
        88.0000       316.00000       297.58572 
        89.0000       316.12500       297.71552 
        90.0000       316.25000       297.84445 
        91.0000       316.37500       297.97141 
        92.0000       316.50000       298.09717 
        93.0000       316.62500       298.22180 
        94.0000       316.75000       298.34525 
        95.0000       316.87500       298.46677 
        96.0000       317.00000       298.58768 
        97.0000       317.12500       298.70844 
        98.0000       317.25000       298.82922 
        99.0000       317.37500       298.95117 
       100.0000       317.50000       299.07401 
       101.0000       317.62500       299.19778 
       102.0000       317.75000       299.32275 
       103.0000       317.87500       299.45026 
       104.0000       318.00000       299.57886 
       105.0000       318.12500       299.70831 
       106.0000       318.25000       299.83820 
       107.0000       318.37500       299.96844 
       108.0000       318.50000       300.09891 
       109.0000       318.62500       300.22964 
       110.0000       318.75000       300.36099 
       111.0000       318.87500       300.49316 
       112.0000       319.00000       300.62549 
       113.0000       319.12500       300.75748 
       114.0000       319.25000       300.88870 
       115.0000       319.37500       301.01761 
       116.0000       319.50000       301.14523 
       117.0000       319.62500       301.27170 
       118.0000       319.75000       301.39734 
       119.0000       319.87500       301.52225 
       120.0000       320.00000       301.64737 
       121.0000       320.12500       301.77283 
       122.0000       320.25000       301.89893 
       123.0000       320.37500       302.02612 
       124.0000       320.50000       302.15387 
       125.0000       320.62500       302.28195 
       126.0000       320.75000       302.41025 
       127.0000       320.87500       302.53821 
       128.0000       321.00000       302.66568 
       129.0000       321.12500       302.79254 
       130.0000       321.25000       302.91861 
       131.0000       321.37500       303.04297 
       132.0000       321.50000       303.16650 
       133.0000       321.62500       303.28922 
       134.0000       321.75000       303.41113 
       135.0000       321.87500       303.53174 
       136.0000       322.00000       303.65189 
       137.0000       322.12500       303.77124 
       138.0000       322.25000       303.88953 
       139.0000       322.37500       304.00482 
       140.0000       322.43021       304.05508 
       141.0000       322.50000       304.12491 
       142.0000       322.62500       304.24884 
       143.0000       322.75000       304.37241 
       144.0000       322.87500       304.49759 
       145.0000       323.00000       304.62421 
