   PrimaryIndex TWOTIM@UNKNOWN; TVD@UNKNOWN;5 [   
                5 [A99476]      A99474]           
       Unitless              ms               m   
         0.0000         0.00000         0.00000 
         1.0000       836.12860       887.75739 
         2.0000       836.25256       887.90979 
         3.0000       836.37640       888.06219 
         4.0000       836.49854       888.21460 
         5.0000       836.61884       888.36700 
         6.0000       836.73840       888.51941 
         7.0000       836.85815       888.67175 
         8.0000       836.97803       888.82416 
         9.0000       837.09753       888.97656 
        10.0000       837.21655       889.12897 
        11.0000       837.33569       889.28137 
        12.0000       837.45551       889.43378 
        13.0000       837.57611       889.58618 
        14.0000       837.69745       889.73859 
        15.0000       837.81952       889.89099 
        16.0000       837.94275       890.04340 
        17.0000       838.06708       890.19580 
        18.0000       838.19153       890.34821 
        19.0000       838.31458       890.50061 
        20.0000       838.43561       890.65295 
        21.0000       838.55511       890.80536 
        22.0000       838.67413       890.95776 
        23.0000       838.79388       891.11017 
        24.0000       838.91504       891.26257 
        25.0000       839.03693       891.41498 
        26.0000       839.15894       891.56738 
        27.0000       839.28119       891.71979 
        28.0000       839.40387       891.87219 
        29.0000       839.52710       892.02460 
        30.0000       839.65100       892.17700 
        31.0000       839.77631       892.32941 
        32.0000       839.90387       892.48175 
        33.0000       840.03540       892.63416 
        34.0000       840.17126       892.78656 
        35.0000       840.31116       892.93896 
        36.0000       840.45306       893.09137 
        37.0000       840.59473       893.24377 
        38.0000       840.73389       893.39618 
        39.0000       840.86871       893.54858 
        40.0000       840.99945       893.70099 
        41.0000       841.12878       893.85339 
        42.0000       841.26056       894.00580 
        43.0000       841.39771       894.15820 
        44.0000       841.54010       894.31061 
        45.0000       841.68408       894.46295 
        46.0000       841.82373       894.61536 
        47.0000       841.95508       894.76776 
        48.0000       842.07928       894.92017 
        49.0000       842.20087       895.07257 
        50.0000       842.32489       895.22498 
        51.0000       842.45514       895.37738 
        52.0000       842.59283       895.52979 
        53.0000       842.73596       895.68219 
        54.0000       842.88159       895.83459 
        55.0000       843.02667       895.98700 
        56.0000       843.16858       896.13940 
        57.0000       843.30530       896.29181 
        58.0000       843.43604       896.44415 
        59.0000       843.56036       896.59656 
        60.0000       843.67798       896.74896 
        61.0000       843.79095       896.90137 
