   PrimaryIndex TWOTIM@UNKNOWN; TVD@UNKNOWN;2 [   
                2 [A103895]     A103893]          
       Unitless              ms               m   
         0.0000         0.00000         0.00000 
         1.0000       700.38513       718.00000 
         2.0000       720.39606       740.00000 
         3.0000       740.40698       762.00000 
         4.0000       760.41815       785.00000 
         5.0000       780.42914       807.00000 
         6.0000       800.44000       831.00000 
         7.0000       820.45111       854.00000 
         8.0000       840.46216       877.00000 
         9.0000       860.47302       900.00000 
        10.0000       880.48419       923.00000 
        11.0000       887.41650       930.96777 
        12.0000       899.37939       946.00000 
        13.0000       917.68304       970.00000 
        14.0000       935.98700       993.00000 
        15.0000       954.29083      1017.00000 
        16.0000       969.05817      1036.36316 
        17.0000       972.89410      1041.00000 
        18.0000       992.74908      1065.00000 
        19.0000      1012.60437      1089.00000 
        20.0000      1032.45923      1113.00000 
        21.0000      1052.31433      1137.00000 
        22.0000      1072.16907      1162.00000 
        23.0000      1092.02405      1186.00000 
        24.0000      1111.87903      1211.00000 
        25.0000      1131.73425      1236.00000 
        26.0000      1151.58911      1261.00000 
        27.0000      1171.44421      1286.00000 
        28.0000      1191.29895      1311.00000 
        29.0000      1211.15393      1336.00000 
        30.0000      1231.00891      1362.00000 
        31.0000      1250.86414      1387.00000 
        32.0000      1270.71899      1413.00000 
        33.0000      1290.57410      1438.00000 
        34.0000      1310.42883      1464.00000 
        35.0000      1330.28394      1496.00000 
        36.0000      1350.13879      1517.00000 
        37.0000      1369.99402      1543.00000 
        38.0000      1389.84900      1569.00000 
        39.0000      1409.70398      1596.00000 
        40.0000      1429.55872      1622.00000 
        41.0000      1449.41382      1649.00000 
        42.0000      1469.26868      1676.00000 
        43.0000      1489.12390      1703.00000 
        44.0000      1508.97888      1730.00000 
        45.0000      1515.64282      1739.39758 
        46.0000      1530.86292      1758.00000 
        47.0000      1553.77197      1785.00000 
        48.0000      1576.68091      1813.00000 
        49.0000      1599.58997      1841.00000 
        50.0000      1602.81958      1844.80627 
        51.0000      1620.00024      1868.00000 
        52.0000      1640.00024      1896.00000 
        53.0000      1660.00024      1925.00000 
        54.0000      1680.00024      1953.00000 
        55.0000      1700.00000      1981.00000 
        56.0000      1720.00000      2010.00000 
        57.0000      1740.00024      2038.00000 
        58.0000      1760.00024      2067.00000 
        59.0000      1780.00024      2096.00000 
        60.0000      1800.00024      2125.00000 
        61.0000      1820.00000      2155.00000 
        62.0000      1840.00000      2184.00000 
        63.0000      1860.00024      2214.00000 
        64.0000      1880.00024      2243.00000 
        65.0000      1900.00024      2273.00000 
        66.0000      1920.00024      2303.00000 
        67.0000      1940.00000      2333.00000 
        68.0000      1960.00000      2364.00000 
        69.0000      1980.00024      2394.00000 
        70.0000      2000.00000      2425.00000 
        71.0000      2020.00000      2455.00000 
        72.0000      2040.00049      2486.00000 
        73.0000      2060.00049      2517.00000 
        74.0000      2080.00049      2548.00000 
        75.0000      2100.00049      2580.00000 
        76.0000      2120.00024      2611.00000 
        77.0000      2140.00000      2643.00000 
        78.0000      2160.00000      2675.00000 
        79.0000      2180.00000      2707.00000 
        80.0000      2200.00000      2739.00000 
        81.0000      2220.00000      2771.00000 
        82.0000      2240.00000      2803.00000 
        83.0000      2260.00000      2836.00000 
        84.0000      2280.00049      2869.00000 
        85.0000      2300.00049      2902.00000 
        86.0000      2320.00049      2935.00000 
        87.0000      2340.00049      2968.00000 
        88.0000      2360.00049      3001.00000 
        89.0000      2380.00000      3035.00000 
        90.0000      2400.00000      3068.00000 
        91.0000      2420.00000      3102.00000 
        92.0000      2440.00000      3136.00000 
        93.0000      2460.00000      3171.00000 
        94.0000      2480.00000      3205.00000 
        95.0000      2500.00000      3240.00000 
        96.0000      2520.00049      3274.00000 
        97.0000      2540.00049      3309.00000 
        98.0000      2560.00049      3344.00000 
        99.0000      2580.00049      3379.00000 
       100.0000      2600.00049      3415.00000 
       101.0000      2620.00024      3450.00000 
       102.0000      2640.00000      3486.00000 
       103.0000      2660.00000      3522.00000 
       104.0000      2680.00000      3558.00000 
       105.0000      2700.00000      3595.00000 
       106.0000      2720.00000      3631.00000 
       107.0000      2740.00049      3668.00000 
       108.0000      2760.00049      3695.00000 
       109.0000      2780.00049      3741.00000 
       110.0000      2800.00049      3779.00000 
       111.0000      2820.00049      3816.00000 
       112.0000      2840.00049      3854.00000 
       113.0000      2860.00049      3891.00000 
       114.0000      2880.00000      3929.00000 
       115.0000      2900.00000      3967.00000 
       116.0000      2920.00000      4006.00000 
       117.0000      2940.00000      4044.00000 
       118.0000      2960.00000      4083.00000 
       119.0000      2980.00049      4122.00000 
       120.0000      3000.00049      4161.00000 
       121.0000      3020.00049      4200.00000 
       122.0000      3040.00049      4239.00000 
       123.0000      3060.00049      4279.00000 
       124.0000      3080.00049      4319.00000 
       125.0000      3100.00049      4359.00000 
       126.0000      3120.00024      4399.00000 
       127.0000      3140.00000      4439.00000 
       128.0000      3160.00000      4480.00000 
       129.0000      3180.00000      4521.00000 
