   PrimaryIndex TVD@UNKNOWN;6 [ TWOTIM@UNKNOWN;   
                A103739]        6 [A103741]       
       Unitless               m              ms   
         0.0000         0.00000         0.00000 
         1.0000       477.11441       446.37485 
         2.0000       477.26682       446.52808 
         3.0000       477.41919       446.67963 
         4.0000       477.57159       446.83038 
         5.0000       477.72400       446.98227 
         6.0000       477.87640       447.13626 
         7.0000       478.02881       447.29205 
         8.0000       478.18121       447.44839 
         9.0000       478.33359       447.60452 
        10.0000       478.48599       447.75967 
        11.0000       478.63840       447.91354 
        12.0000       478.79080       448.06656 
        13.0000       478.94321       448.21890 
        14.0000       479.09561       448.36969 
        15.0000       479.24799       448.51788 
        16.0000       479.40039       448.66373 
        17.0000       479.55280       448.80875 
        18.0000       479.70520       448.95355 
        19.0000       479.85760       449.09784 
        20.0000       480.01001       449.24127 
        21.0000       480.16241       449.38254 
        22.0000       480.31479       449.52182 
        23.0000       480.46719       449.65936 
        24.0000       480.61960       449.79541 
        25.0000       480.77200       449.93091 
        26.0000       480.92441       450.06793 
        27.0000       481.07681       450.20981 
        28.0000       481.22919       450.35754 
        29.0000       481.38159       450.50772 
        30.0000       481.53400       450.65887 
        31.0000       481.68640       450.81058 
        32.0000       481.83881       450.96317 
        33.0000       481.99121       451.11694 
        34.0000       482.14362       451.27267 
        35.0000       482.29599       451.43091 
        36.0000       482.44839       451.59067 
        37.0000       482.60080       451.75204 
        38.0000       482.75320       451.91492 
        39.0000       482.90561       452.07889 
        40.0000       483.05801       452.24335 
        41.0000       483.21039       452.40753 
        42.0000       483.36279       452.57089 
        43.0000       483.51520       452.73288 
        44.0000       483.66760       452.89328 
        45.0000       483.82001       453.05222 
        46.0000       483.97241       453.20984 
        47.0000       484.12479       453.36636 
        48.0000       484.27719       453.52237 
        49.0000       484.42960       453.67926 
        50.0000       484.58200       453.83704 
        51.0000       484.73441       453.99493 
        52.0000       484.88681       454.15308 
        53.0000       485.03922       454.31210 
        54.0000       485.19159       454.47372 
        55.0000       485.34399       454.63690 
        56.0000       485.49640       454.80066 
        57.0000       485.64880       454.96463 
        58.0000       485.80121       455.12860 
        59.0000       485.95361       455.29221 
        60.0000       486.10599       455.45490 
        61.0000       486.25839       455.61664 
        62.0000       486.41080       455.77798 
        63.0000       486.56320       455.93930 
        64.0000       486.71561       456.10086 
        65.0000       486.86801       456.26233 
        66.0000       487.02042       456.42365 
        67.0000       487.17279       456.58469 
        68.0000       487.32520       456.74469 
        69.0000       487.47760       456.90338 
        70.0000       487.63000       457.06058 
        71.0000       487.78241       457.21652 
        72.0000       487.93481       457.37057 
        73.0000       488.08719       457.52234 
        74.0000       488.23959       457.67065 
        75.0000       488.39200       457.81516 
        76.0000       488.54440       457.95514 
        77.0000       488.69681       458.09204 
        78.0000       488.84921       458.22906 
        79.0000       489.00159       458.36807 
        80.0000       489.15399       458.51028 
        81.0000       489.30640       458.65576 
        82.0000       489.45880       458.80386 
        83.0000       489.61121       458.95319 
        84.0000       489.76361       459.10257 
        85.0000       489.91602       459.25156 
        86.0000       490.06839       459.40146 
        87.0000       490.22079       459.55429 
        88.0000       490.37320       459.71078 
        89.0000       490.52560       459.87003 
        90.0000       490.67801       460.03165 
        91.0000       490.83041       460.19476 
        92.0000       490.98279       460.35791 
        93.0000       491.13519       460.52087 
        94.0000       491.28760       460.68332 
        95.0000       491.44000       460.84543 
        96.0000       491.59241       461.00732 
        97.0000       491.74481       461.16867 
        98.0000       491.89719       461.32858 
        99.0000       492.04959       461.48682 
       100.0000       492.20200       461.64307 
       101.0000       492.35440       461.79797 
       102.0000       492.50681       461.95291 
       103.0000       492.65921       462.10864 
       104.0000       492.81161       462.26523 
       105.0000       492.96399       462.42184 
       106.0000       493.11639       462.57666 
       107.0000       493.26880       462.72562 
       108.0000       493.42120       462.86844 
       109.0000       493.57361       463.00421 
       110.0000       493.72601       463.13614 
       111.0000       493.87839       463.26505 
       112.0000       494.03079       463.39316 
       113.0000       494.18320       463.52289 
       114.0000       494.33560       463.65375 
       115.0000       494.48801       463.78476 
       116.0000       494.64041       463.91586 
       117.0000       494.79282       464.04816 
       118.0000       494.94519       464.18118 
       119.0000       495.09760       464.31366 
       120.0000       495.25000       464.44373 
       121.0000       495.40240       464.57208 
       122.0000       495.55481       464.70016 
       123.0000       495.70721       464.83038 
       124.0000       495.85959       464.96411 
       125.0000       496.01199       465.10236 
       126.0000       496.16440       465.24359 
       127.0000       496.31680       465.38541 
       128.0000       496.46921       465.52658 
       129.0000       496.62161       465.66669 
       130.0000       496.77399       465.80612 
       131.0000       496.92639       465.94620 
       132.0000       497.07880       466.08844 
       133.0000       497.23120       466.23499 
       134.0000       497.38361       466.38608 
       135.0000       497.53601       466.54156 
       136.0000       497.68842       466.70062 
       137.0000       497.84079       466.86179 
       138.0000       497.99319       467.02423 
       139.0000       498.14560       467.18683 
       140.0000       498.29800       467.34943 
       141.0000       498.45041       467.51218 
       142.0000       498.60281       467.67554 
       143.0000       498.75519       467.83908 
       144.0000       498.90759       468.00217 
       145.0000       499.06000       468.16281 
