   PrimaryIndex TWOTIM@UNKNOWN; TVD@UNKNOWN;4 [   
                4 [A107489]     A107487]          
       Unitless              ms               m   
         0.0000         0.00000         0.00000 
         1.0000       483.85391       534.24738 
         2.0000       484.02167       534.39978 
         3.0000       484.18936       534.55219 
         4.0000       484.35696       534.70459 
         5.0000       484.52142       534.85699 
         6.0000       484.68164       535.00940 
         7.0000       484.84082       535.16174 
         8.0000       485.00266       535.31415 
         9.0000       485.17145       535.46655 
        10.0000       485.34760       535.61896 
        11.0000       485.52701       535.77136 
        12.0000       485.70639       535.92377 
        13.0000       485.88290       536.07617 
        14.0000       486.05493       536.22858 
        15.0000       486.21878       536.38098 
        16.0000       486.36914       536.53339 
        17.0000       486.50977       536.68579 
        18.0000       486.64542       536.83820 
        19.0000       486.78064       536.99060 
        20.0000       486.92227       537.14294 
        21.0000       487.06894       537.29535 
        22.0000       487.21851       537.44775 
        23.0000       487.37149       537.60016 
        24.0000       487.52451       537.75256 
        25.0000       487.67505       537.90497 
        26.0000       487.82495       538.05737 
        27.0000       487.97342       538.20978 
        28.0000       488.12164       538.36218 
        29.0000       488.27197       538.51459 
        30.0000       488.42361       538.66699 
        31.0000       488.57663       538.81940 
        32.0000       488.73056       538.97174 
        33.0000       488.88583       539.12415 
        34.0000       489.04245       539.27655 
        35.0000       489.19891       539.42896 
        36.0000       489.35696       539.58136 
        37.0000       489.51581       539.73376 
        38.0000       489.67310       539.88617 
        39.0000       489.82809       540.03857 
        40.0000       489.98071       540.19098 
        41.0000       490.13202       540.34338 
        42.0000       490.28308       540.49579 
        43.0000       490.43219       540.64819 
        44.0000       490.57892       540.80060 
        45.0000       490.72629       540.95294 
        46.0000       490.87750       541.10535 
        47.0000       491.03610       541.25775 
        48.0000       491.20209       541.41016 
        49.0000       491.37006       541.56256 
        50.0000       491.53665       541.71497 
        51.0000       491.70212       541.86737 
        52.0000       491.86963       542.01978 
        53.0000       492.04050       542.17218 
        54.0000       492.21393       542.32458 
        55.0000       492.38931       542.47699 
        56.0000       492.56500       542.62939 
        57.0000       492.73999       542.78180 
        58.0000       492.91464       542.93414 
        59.0000       493.08707       543.08655 
        60.0000       493.25232       543.23895 
        61.0000       493.40710       543.39136 
