   PrimaryIndex TVD@UNKNOWN;2 [ TWOTIM@UNKNOWN;   
                A107629]        2 [A107631]       
       Unitless               m              ms   
         0.0000         0.00000         0.00000 
         1.0000       790.15240       702.16705 
         2.0000       790.30481       702.30988 
         3.0000       790.45721       702.45319 
         4.0000       790.60962       702.59650 
         5.0000       790.76202       702.74078 
         6.0000       790.91443       702.88684 
         7.0000       791.06677       703.03271 
         8.0000       791.21918       703.17651 
         9.0000       791.37158       703.31506 
        10.0000       791.52399       703.44623 
        11.0000       791.67639       703.57269 
        12.0000       791.82880       703.69537 
        13.0000       791.98120       703.81543 
        14.0000       792.13361       703.93488 
        15.0000       792.28601       704.05511 
        16.0000       792.43842       704.17822 
        17.0000       792.59082       704.30347 
        18.0000       792.74323       704.42859 
        19.0000       792.89563       704.55005 
        20.0000       793.04797       704.66565 
        21.0000       793.20038       704.77863 
        22.0000       793.35278       704.89240 
        23.0000       793.50519       705.01135 
        24.0000       793.65759       705.13550 
        25.0000       793.81000       705.26422 
        26.0000       793.96240       705.39764 
        27.0000       794.11481       705.53461 
        28.0000       794.26721       705.67407 
        29.0000       794.41962       705.81476 
        30.0000       794.57202       705.95355 
        31.0000       794.72443       706.09076 
        32.0000       794.87677       706.23108 
        33.0000       795.02917       706.37665 
        34.0000       795.18158       706.52893 
        35.0000       795.33398       706.68817 
        36.0000       795.48639       706.85046 
        37.0000       795.63879       707.01300 
        38.0000       795.79120       707.17383 
        39.0000       795.94360       707.33240 
        40.0000       796.09601       707.48914 
        41.0000       796.24841       707.64417 
        42.0000       796.40082       707.79779 
        43.0000       796.55322       707.95013 
        44.0000       796.70563       708.09973 
        45.0000       796.85797       708.24377 
        46.0000       797.01038       708.38257 
        47.0000       797.16278       708.51678 
        48.0000       797.31519       708.64636 
        49.0000       797.46759       708.77325 
        50.0000       797.62000       708.89838 
        51.0000       797.77240       709.02069 
        52.0000       797.92480       709.14032 
        53.0000       798.07721       709.25909 
        54.0000       798.22961       709.37848 
        55.0000       798.38202       709.50012 
        56.0000       798.53442       709.62415 
        57.0000       798.68683       709.75122 
        58.0000       798.83917       709.88330 
        59.0000       798.99158       710.02008 
        60.0000       799.14398       710.16113 
        61.0000       799.29639       710.30811 
        62.0000       799.44879       710.45880 
        63.0000       799.60120       710.61005 
        64.0000       799.75360       710.75824 
        65.0000       799.90601       710.89948 
        66.0000       800.05841       711.03448 
        67.0000       800.21082       711.16235 
        68.0000       800.36322       711.28320 
        69.0000       800.51562       711.40100 
        70.0000       800.66803       711.51776 
        71.0000       800.82037       711.63574 
        72.0000       800.97278       711.75690 
        73.0000       801.12518       711.88214 
        74.0000       801.27759       712.01447 
        75.0000       801.42999       712.15430 
        76.0000       801.58240       712.29907 
        77.0000       801.73480       712.44940 
        78.0000       801.88721       712.60437 
        79.0000       802.03961       712.76044 
        80.0000       802.19202       712.91602 
        81.0000       802.34442       713.06970 
        82.0000       802.49683       713.22101 
        83.0000       802.64917       713.36914 
        84.0000       802.80157       713.51050 
        85.0000       802.95398       713.64661 
        86.0000       803.10638       713.78101 
        87.0000       803.25879       713.91553 
        88.0000       803.41119       714.05011 
        89.0000       803.56360       714.18317 
        90.0000       803.71600       714.31360 
        91.0000       803.86841       714.44275 
        92.0000       804.02081       714.57391 
        93.0000       804.17322       714.71057 
        94.0000       804.32562       714.85651 
        95.0000       804.47803       715.00885 
        96.0000       804.63037       715.16412 
        97.0000       804.78278       715.32153 
        98.0000       804.93518       715.48132 
        99.0000       805.08759       715.64343 
       100.0000       805.23999       715.80811 
       101.0000       805.39240       715.97418 
       102.0000       805.54480       716.14032 
       103.0000       805.69720       716.30554 
       104.0000       805.84961       716.46857 
       105.0000       806.00201       716.62872 
       106.0000       806.15442       716.78717 
       107.0000       806.30682       716.94421 
       108.0000       806.45923       717.09918 
       109.0000       806.61157       717.25171 
       110.0000       806.76398       717.40149 
       111.0000       806.91638       717.54834 
       112.0000       807.06879       717.69434 
       113.0000       807.22119       717.84131 
       114.0000       807.37360       717.99011 
       115.0000       807.52600       718.13971 
       116.0000       807.67841       718.28729 
       117.0000       807.83081       718.42987 
       118.0000       807.98322       718.56348 
       119.0000       808.13562       718.69006 
       120.0000       808.28802       718.81201 
       121.0000       808.44043       718.93378 
       122.0000       808.59277       719.06067 
       123.0000       808.74518       719.19452 
       124.0000       808.89758       719.33838 
       125.0000       809.04999       719.49048 
       126.0000       809.20239       719.64661 
       127.0000       809.35480       719.80566 
       128.0000       809.50720       719.96515 
       129.0000       809.65961       720.12347 
       130.0000       809.81201       720.28094 
       131.0000       809.96442       720.43805 
       132.0000       810.11682       720.59430 
       133.0000       810.26923       720.74829 
       134.0000       810.42157       720.89771 
       135.0000       810.57397       721.04517 
       136.0000       810.72638       721.19464 
       137.0000       810.87878       721.35071 
       138.0000       811.03119       721.51550 
       139.0000       811.18359       721.68506 
       140.0000       811.33600       721.85803 
       141.0000       811.48840       722.03094 
       142.0000       811.64081       722.20013 
       143.0000       811.79321       722.36353 
       144.0000       811.94562       722.51947 
       145.0000       812.09802       722.67188 
