   PrimaryIndex TVD@UNKNOWN;3 [ TWOTIM@UNKNOWN;   
                A107802]        2 [A107804]       
       Unitless               m              ms   
         0.0000         0.00000         0.00000 
         1.0000       532.06543       541.38177 
         2.0000       532.21783       541.51849 
         3.0000       532.37024       541.65680 
         4.0000       532.52264       541.79486 
         5.0000       532.67505       541.93085 
         6.0000       532.82745       542.06293 
         7.0000       532.97980       542.19263 
         8.0000       533.13220       542.32507 
         9.0000       533.28461       542.46533 
        10.0000       533.43701       542.61151 
        11.0000       533.58942       542.75842 
        12.0000       533.74182       542.90350 
        13.0000       533.89423       543.04602 
        14.0000       534.04663       543.18597 
        15.0000       534.19904       543.32306 
        16.0000       534.35144       543.46112 
        17.0000       534.50385       543.60571 
        18.0000       534.65625       543.75806 
        19.0000       534.80865       543.91510 
        20.0000       534.96100       544.07178 
        21.0000       535.11340       544.22430 
        22.0000       535.26581       544.37207 
        23.0000       535.41821       544.51685 
        24.0000       535.57062       544.66162 
        25.0000       535.72302       544.80914 
        26.0000       535.87543       544.95935 
        27.0000       536.02783       545.10986 
        28.0000       536.18024       545.25897 
        29.0000       536.33264       545.40704 
        30.0000       536.48505       545.55511 
        31.0000       536.63745       545.70386 
        32.0000       536.78979       545.85211 
        33.0000       536.94220       545.99994 
        34.0000       537.09460       546.14764 
        35.0000       537.24701       546.29791 
        36.0000       537.39941       546.44885 
        37.0000       537.55182       546.59497 
        38.0000       537.70422       546.73309 
        39.0000       537.85663       546.86633 
        40.0000       538.00903       547.00085 
        41.0000       538.16144       547.13696 
        42.0000       538.31384       547.27209 
        43.0000       538.46625       547.40533 
        44.0000       538.61865       547.54016 
        45.0000       538.77100       547.68024 
        46.0000       538.92340       547.82495 
        47.0000       539.07581       547.97028 
        48.0000       539.22821       548.11414 
        49.0000       539.38062       548.25775 
        50.0000       539.53302       548.40356 
        51.0000       539.68542       548.55115 
        52.0000       539.83783       548.69489 
        53.0000       539.99023       548.83282 
        54.0000       540.14264       548.96588 
        55.0000       540.29504       549.09949 
        56.0000       540.44745       549.23950 
        57.0000       540.59985       549.38806 
        58.0000       540.75220       549.54218 
        59.0000       540.90460       549.69604 
        60.0000       541.05701       549.84552 
        61.0000       541.20941       549.99133 
        62.0000       541.36182       550.13501 
        63.0000       541.51422       550.27771 
        64.0000       541.66663       550.41803 
        65.0000       541.81903       550.55457 
        66.0000       541.97144       550.69012 
        67.0000       542.12384       550.82776 
        68.0000       542.27625       550.96967 
        69.0000       542.42865       551.11578 
        70.0000       542.58105       551.26373 
        71.0000       542.73340       551.41040 
        72.0000       542.88580       551.55316 
        73.0000       543.03821       551.69159 
        74.0000       543.19061       551.82794 
        75.0000       543.34302       551.96466 
        76.0000       543.49542       552.10321 
        77.0000       543.64783       552.24310 
        78.0000       543.80023       552.38446 
        79.0000       543.95264       552.52844 
        80.0000       544.10504       552.67462 
        81.0000       544.25745       552.82031 
        82.0000       544.40985       552.96240 
        83.0000       544.56219       553.10181 
        84.0000       544.71460       553.24182 
        85.0000       544.86700       553.38489 
        86.0000       545.01941       553.53021 
        87.0000       545.17181       553.67627 
        88.0000       545.32422       553.82263 
        89.0000       545.47662       553.97015 
        90.0000       545.62903       554.11914 
        91.0000       545.78143       554.26904 
        92.0000       545.93384       554.41833 
        93.0000       546.08624       554.56769 
        94.0000       546.23865       554.71716 
        95.0000       546.39105       554.86676 
        96.0000       546.54340       555.01349 
        97.0000       546.69580       555.15613 
        98.0000       546.84821       555.29651 
        99.0000       547.00061       555.43921 
       100.0000       547.15302       555.58704 
       101.0000       547.30542       555.73779 
       102.0000       547.43054       555.86011 
       103.0000       547.45782       555.88953 
       104.0000       547.61023       556.05054 
       105.0000       547.76263       556.20923 
       106.0000       547.91504       556.36823 
       107.0000       548.06744       556.52673 
       108.0000       548.21985       556.68121 
       109.0000       548.37225       556.83002 
       110.0000       548.52460       556.97308 
       111.0000       548.67700       557.11450 
       112.0000       548.82941       557.25684 
       113.0000       548.98181       557.40051 
       114.0000       549.13422       557.54254 
       115.0000       549.28662       557.68109 
       116.0000       549.43903       557.81653 
       117.0000       549.59143       557.95099 
       118.0000       549.74384       558.08807 
       119.0000       549.89624       558.23218 
       120.0000       550.04865       558.38763 
       121.0000       550.20105       558.55328 
       122.0000       550.35345       558.72510 
       123.0000       550.50580       558.89825 
       124.0000       550.65820       559.06891 
       125.0000       550.81061       559.23608 
       126.0000       550.96301       559.40027 
       127.0000       551.11542       559.56152 
       128.0000       551.26782       559.72034 
       129.0000       551.42023       559.87689 
       130.0000       551.57263       560.03198 
       131.0000       551.72504       560.18787 
       132.0000       551.87744       560.34613 
       133.0000       552.02985       560.50677 
       134.0000       552.18225       560.66797 
       135.0000       552.33459       560.82825 
       136.0000       552.48700       560.98651 
       137.0000       552.63940       561.14343 
       138.0000       552.79181       561.30042 
       139.0000       552.94421       561.45886 
       140.0000       553.09662       561.61963 
       141.0000       553.24902       561.78223 
       142.0000       553.40143       561.94580 
       143.0000       553.55383       562.10980 
       144.0000       553.70624       562.27271 
       145.0000       553.85864       562.43152 
