   PrimaryIndex TVD@UNKNOWN;3 [ TWOTIM@UNKNOWN;   
                A107183]        2 [A107185]       
       Unitless               m              ms   
         0.0000         0.00000         0.00000 
         1.0000      1000.15057       917.85217 
         2.0000      1000.30298       918.01953 
         3.0000      1000.45538       918.18585 
         4.0000      1000.60779       918.35046 
         5.0000      1000.76019       918.51154 
         6.0000      1000.91260       918.66638 
         7.0000      1001.06494       918.81848 
         8.0000      1001.21735       918.97223 
         9.0000      1001.36975       919.12878 
        10.0000      1001.52216       919.28986 
        11.0000      1001.67456       919.45062 
        12.0000      1001.82697       919.60742 
        13.0000      1001.97937       919.75989 
        14.0000      1002.13177       919.90826 
        15.0000      1002.28418       920.05371 
        16.0000      1002.43658       920.19806 
        17.0000      1002.58899       920.34198 
        18.0000      1002.74139       920.48523 
        19.0000      1002.89380       920.62750 
        20.0000      1003.04614       920.76721 
        21.0000      1003.19855       920.90533 
        22.0000      1003.35095       921.04401 
        23.0000      1003.37286       921.06415 
        24.0000      1003.50336       921.19000 
        25.0000      1003.65576       921.34058 
        26.0000      1003.80817       921.49426 
        27.0000      1003.96057       921.64734 
        28.0000      1004.11298       921.79620 
        29.0000      1004.26538       921.93768 
        30.0000      1004.41779       922.07086 
        31.0000      1004.57019       922.19769 
        32.0000      1004.72260       922.32178 
        33.0000      1004.87494       922.44434 
        34.0000      1005.02734       922.56702 
        35.0000      1005.17975       922.69061 
        36.0000      1005.33215       922.81317 
        37.0000      1005.48456       922.93512 
        38.0000      1005.63696       923.06055 
        39.0000      1005.78937       923.19366 
        40.0000      1005.94177       923.33936 
        41.0000      1006.09418       923.49591 
        42.0000      1006.24658       923.65692 
        43.0000      1006.39899       923.81598 
        44.0000      1006.55139       923.96747 
        45.0000      1006.70380       924.11078 
        46.0000      1006.85614       924.24762 
        47.0000      1007.00854       924.37909 
        48.0000      1007.16095       924.50574 
        49.0000      1007.31335       924.62897 
        50.0000      1007.46576       924.75128 
        51.0000      1007.61816       924.87549 
        52.0000      1007.77057       925.00391 
        53.0000      1007.92297       925.14014 
        54.0000      1008.07538       925.28534 
        55.0000      1008.22778       925.43842 
        56.0000      1008.38019       925.59912 
        57.0000      1008.53259       925.76337 
        58.0000      1008.68500       925.92749 
        59.0000      1008.83734       926.08954 
        60.0000      1008.98975       926.24841 
        61.0000      1009.14215       926.40363 
        62.0000      1009.29456       926.55493 
        63.0000      1009.44696       926.70117 
        64.0000      1009.59937       926.84247 
        65.0000      1009.75177       926.97968 
        66.0000      1009.90417       927.11511 
        67.0000      1010.05658       927.25220 
        68.0000      1010.20898       927.39117 
        69.0000      1010.36139       927.53339 
        70.0000      1010.51379       927.67944 
        71.0000      1010.66620       927.82794 
        72.0000      1010.81854       927.97827 
        73.0000      1010.97095       928.12933 
        74.0000      1011.12335       928.28058 
        75.0000      1011.27576       928.43225 
        76.0000      1011.42816       928.58374 
        77.0000      1011.58057       928.73535 
        78.0000      1011.73297       928.88641 
        79.0000      1011.88538       929.03510 
        80.0000      1012.03778       929.18219 
        81.0000      1012.19019       929.32739 
        82.0000      1012.34259       929.47247 
        83.0000      1012.49500       929.62073 
        84.0000      1012.64734       929.77332 
        85.0000      1012.79974       929.93127 
        86.0000      1012.95215       930.09387 
        87.0000      1013.10455       930.25885 
        88.0000      1013.25696       930.42316 
        89.0000      1013.40936       930.58362 
        90.0000      1013.56177       930.73773 
        91.0000      1013.71417       930.88330 
        92.0000      1013.86658       931.02124 
        93.0000      1014.01898       931.15356 
        94.0000      1014.17139       931.27917 
        95.0000      1014.32379       931.39935 
        96.0000      1014.47620       931.51831 
        97.0000      1014.62854       931.64075 
        98.0000      1014.78094       931.77081 
        99.0000      1014.93335       931.90851 
       100.0000      1015.08575       932.04749 
       101.0000      1015.23816       932.18542 
       102.0000      1015.39056       932.32440 
       103.0000      1015.54297       932.46912 
       104.0000      1015.69537       932.62244 
       105.0000      1015.84778       932.78290 
       106.0000      1016.00018       932.94690 
       107.0000      1016.15259       933.11261 
       108.0000      1016.30499       933.27893 
       109.0000      1016.45740       933.44238 
       110.0000      1016.60974       933.60150 
       111.0000      1016.76215       933.75836 
       112.0000      1016.91455       933.91541 
       113.0000      1017.06696       934.07440 
       114.0000      1017.21936       934.23334 
       115.0000      1017.37177       934.39008 
       116.0000      1017.52417       934.54480 
       117.0000      1017.67657       934.70001 
       118.0000      1017.82898       934.85687 
       119.0000      1017.98138       935.01471 
       120.0000      1018.13379       935.17139 
       121.0000      1018.28619       935.32434 
       122.0000      1018.43860       935.47461 
       123.0000      1018.59094       935.62506 
       124.0000      1018.74335       935.77515 
       125.0000      1018.89575       935.92535 
       126.0000      1019.04816       936.07678 
       127.0000      1019.20056       936.22687 
       128.0000      1019.35297       936.37433 
       129.0000      1019.50537       936.52069 
       130.0000      1019.65778       936.66614 
       131.0000      1019.81018       936.81073 
       132.0000      1019.96259       936.95343 
       133.0000      1020.11499       937.09052 
       134.0000      1020.26740       937.22162 
       135.0000      1020.41974       937.34827 
       136.0000      1020.57214       937.47662 
       137.0000      1020.72455       937.61444 
