   PrimaryIndex TWOTIM@UNKNOWN; TVD@UNKNOWN;5 [   
                5 [A107863]     A107861]          
       Unitless              ms               m   
         0.0000         0.00000         0.00000 
         1.0000       490.68652       575.09753 
         2.0000       759.03076       903.72473 
         3.0000       880.16895      1031.28809 
         4.0000       880.16895      1031.28821 
         5.0000       956.83875      1117.22888 
         6.0000       956.83881      1117.22900 
         7.0000      1015.10773      1176.91077 
         8.0000      1071.84338      1261.62048 
         9.0000      1125.60876      1315.38269 
        10.0000      1169.98071      1361.71082 
        11.0000      1212.91577      1410.64258 
        12.0000      1277.31836      1504.42834 
        13.0000      1332.52063      1567.99390 
        14.0000      1524.19507      1793.53967 
        15.0000      1577.86377      1869.86035 
        16.0000      1745.00403      2067.93115 
        17.0000      2131.41968      2536.75903 
        18.0000      2259.55078      2672.29663 
        19.0000      2276.30591      2692.15234 
        20.0000      2276.45703      2692.30469 
        21.0000      2276.60547      2692.45728 
        22.0000      2276.75171      2692.60962 
        23.0000      2276.89771      2692.76196 
        24.0000      2277.04272      2692.91431 
        25.0000      2277.18799      2693.06689 
        26.0000      2277.33398      2693.21924 
        27.0000      2277.48120      2693.37158 
        28.0000      2277.63110      2693.52393 
        29.0000      2277.78174      2693.67651 
        30.0000      2277.92896      2693.82886 
        31.0000      2278.06738      2693.98120 
        32.0000      2278.19507      2694.13354 
        33.0000      2278.31616      2694.28589 
        34.0000      2278.43262      2694.43848 
        35.0000      2278.54810      2694.59082 
        36.0000      2278.66333      2694.74316 
        37.0000      2278.77832      2694.89551 
        38.0000      2278.89087      2695.04810 
        39.0000      2279.00342      2695.20044 
        40.0000      2279.11743      2695.35278 
        41.0000      2279.23511      2695.50513 
        42.0000      2279.35425      2695.65771 
        43.0000      2279.47266      2695.81006 
        44.0000      2279.58691      2695.96240 
        45.0000      2279.69727      2696.11475 
        46.0000      2279.80396      2696.26709 
        47.0000      2279.90552      2696.41968 
        48.0000      2280.00342      2696.57202 
        49.0000      2280.09766      2696.72437 
        50.0000      2280.19019      2696.87671 
        51.0000      2280.28271      2697.02930 
        52.0000      2280.37769      2697.18164 
        53.0000      2280.47534      2697.33398 
        54.0000      2280.57788      2697.48633 
        55.0000      2280.68237      2697.63892 
