   PrimaryIndex TVD@UNKNOWN;2 [ TWOTIM@UNKNOWN;   
                A108059]        2 [A108061]       
       Unitless               m              ms   
         0.0000         0.00000         0.00000 
         1.0000       650.85376       637.64056 
         2.0000       680.18054       661.61200 
         3.0000       870.29968       828.88104 
         4.0000       882.80206       839.00073 
         5.0000       941.87030       882.32202 
         6.0000       941.87036       882.32208 
         7.0000       978.06738       906.91986 
         8.0000      1098.72693      1013.99231 
         9.0000      1216.41919      1114.67236 
        10.0000      1216.41931      1114.67236 
        11.0000      1253.54431      1136.24670 
        12.0000      1268.47473      1153.21399 
        13.0000      1321.74683      1211.35718 
        14.0000      1349.11768      1234.52966 
        15.0000      1350.25085      1235.01514 
        16.0000      1427.90088      1272.88391 
        17.0000      1439.81970      1284.22131 
        18.0000      1501.77832      1342.40112 
        19.0000      1596.23438      1410.32031 
        20.0000      1596.58691      1410.48804 
        21.0000      1652.74353      1434.29175 
        22.0000      1666.52588      1450.75098 
        23.0000      1683.88196      1470.24866 
        24.0000      1683.88232      1470.24902 
        25.0000      1686.88049      1472.34326 
        26.0000      1813.53284      1558.96509 
        27.0000      2021.41516      1705.32947 
        28.0000      2113.12573      1789.05225 
        29.0000      2116.78320      1791.18506 
        30.0000      2295.79785      1894.74207 
        31.0000      2295.79810      1894.74219 
        32.0000      2451.71997      2002.60327 
        33.0000      2489.82886      2029.94348 
        34.0000      2489.98120      2029.97778 
        35.0000      2490.13354      2030.01233 
        36.0000      2490.28589      2030.04700 
        37.0000      2490.43848      2030.08179 
        38.0000      2490.59082      2030.11609 
        39.0000      2490.74316      2030.15088 
        40.0000      2490.89551      2030.18518 
        41.0000      2491.04810      2030.21985 
        42.0000      2491.20044      2030.25391 
        43.0000      2491.35278      2030.28894 
        44.0000      2491.50513      2030.32324 
        45.0000      2491.65771      2030.35754 
        46.0000      2491.81006      2030.39221 
        47.0000      2491.96240      2030.42700 
        48.0000      2492.11475      2030.46155 
        49.0000      2492.26709      2030.49609 
        50.0000      2492.41968      2030.53040 
        51.0000      2492.57202      2030.56506 
        52.0000      2492.72437      2030.59985 
        53.0000      2492.87671      2030.63391 
        54.0000      2493.02930      2030.66846 
        55.0000      2493.18164      2030.70325 
        56.0000      2493.33398      2030.73767 
        57.0000      2493.48633      2030.77197 
        58.0000      2493.63892      2030.80676 
        59.0000      2493.79126      2030.84106 
        60.0000      2493.94360      2030.87598 
        61.0000      2494.09595      2030.91052 
        62.0000      2494.24829      2030.94482 
        63.0000      2494.40088      2030.97937 
        64.0000      2494.55322      2031.01392 
        65.0000      2494.70557      2031.04834 
        66.0000      2494.85791      2031.08289 
        67.0000      2495.01050      2031.11719 
        68.0000      2495.16284      2031.15198 
        69.0000      2495.31519      2031.18640 
        70.0000      2495.46753      2031.22070 
        71.0000      2495.62012      2031.25549 
        72.0000      2495.77246      2031.29028 
        73.0000      2495.92480      2031.32458 
        74.0000      2496.07715      2031.35938 
        75.0000      2496.22949      2031.39355 
        76.0000      2496.38208      2031.42810 
        77.0000      2496.53442      2031.46289 
        78.0000      2496.68677      2031.49719 
        79.0000      2496.83911      2031.53162 
        80.0000      2496.99170      2031.56616 
        81.0000      2497.14404      2031.60071 
        82.0000      2497.29639      2031.63525 
        83.0000      2497.44873      2031.67029 
        84.0000      2497.60132      2031.70422 
        85.0000      2497.75366      2031.73901 
        86.0000      2497.90601      2031.77356 
        87.0000      2498.05835      2031.80811 
        88.0000      2498.21069      2031.84253 
        89.0000      2498.36328      2031.87708 
        90.0000      2498.51562      2031.91162 
        91.0000      2498.66797      2031.94617 
        92.0000      2498.82031      2031.98047 
        93.0000      2498.97290      2032.01514 
        94.0000      2499.12524      2032.04968 
        95.0000      2499.27759      2032.08447 
        96.0000      2499.42993      2032.11877 
        97.0000      2499.58252      2032.15308 
        98.0000      2499.73486      2032.18799 
        99.0000      2499.88721      2032.22253 
       100.0000      2500.03955      2032.25684 
       101.0000      2500.19189      2032.29138 
       102.0000      2500.34448      2032.32593 
       103.0000      2500.49683      2032.36011 
       104.0000      2500.64917      2032.39514 
       105.0000      2500.80151      2032.42944 
       106.0000      2500.95410      2032.46399 
       107.0000      2501.10645      2032.49866 
       108.0000      2501.25879      2032.53320 
       109.0000      2501.41113      2032.56775 
       110.0000      2501.56372      2032.60229 
       111.0000      2501.71606      2032.63660 
       112.0000      2501.86841      2032.67126 
       113.0000      2502.02075      2032.70605 
       114.0000      2502.17310      2032.74438 
       115.0000      2502.32568      2032.80566 
       116.0000      2502.47803      2032.86743 
       117.0000      2502.63037      2032.92773 
       118.0000      2502.78271      2032.98523 
       119.0000      2502.93530      2033.03931 
       120.0000      2503.08765      2033.09058 
       121.0000      2503.23999      2033.13928 
       122.0000      2503.39233      2033.18713 
       123.0000      2503.54492      2033.23413 
       124.0000      2503.69727      2033.28137 
       125.0000      2503.84961      2033.33118 
       126.0000      2504.00195      2033.38403 
       127.0000      2504.15430      2033.44055 
       128.0000      2504.30688      2033.49805 
       129.0000      2504.45923      2033.55603 
       130.0000      2504.61157      2033.61414 
       131.0000      2504.76392      2033.67261 
