   PrimaryIndex TVD@UNKNOWN;4 [ TWOTIM@UNKNOWN;   
                A108108]        4 [A108110]       
       Unitless               m              ms   
         0.0000         0.00000         0.00000 
         1.0000       584.43915       538.68701 
         2.0000       631.47382       570.29828 
         3.0000       689.28729       635.32721 
         4.0000       692.23950       637.90125 
         5.0000       750.46613       686.80853 
         6.0000       750.46625       686.80859 
         7.0000       786.61212       707.58167 
         8.0000       833.80280       744.61206 
         9.0000       863.82404       762.67566 
        10.0000       887.17377       787.96460 
        11.0000       887.17383       787.96466 
        12.0000      1007.40424       906.19086 
        13.0000      1090.89502       981.29340 
        14.0000      1190.25293      1069.45288 
        15.0000      1190.25305      1069.45300 
        16.0000      1242.96460      1107.89148 
        17.0000      1244.21826      1108.86450 
        18.0000      1285.20605      1131.21814 
        19.0000      1380.52747      1220.63306 
        20.0000      1454.29407      1260.32776 
        21.0000      1454.29431      1260.32788 
        22.0000      1462.16687      1272.27039 
        23.0000      1462.16699      1272.27063 
        24.0000      1476.20825      1292.84229 
        25.0000      1557.40662      1362.20642 
        26.0000      1611.45471      1405.42358 
        27.0000      1655.10852      1432.24817 
        28.0000      1710.51282      1468.05920 
        29.0000      1729.71899      1477.20813 
        30.0000      1748.22974      1485.87720 
        31.0000      1748.22986      1485.87720 
        32.0000      1755.33850      1488.83240 
        33.0000      1777.09106      1525.86267 
        34.0000      1784.16614      1536.89624 
        35.0000      1784.16626      1536.89636 
        36.0000      1874.17920      1600.71655 
        37.0000      1961.90405      1646.24316 
        38.0000      2052.39307      1707.94385 
        39.0000      2111.01221      1745.01416 
        40.0000      2157.35400      1796.90637 
        41.0000      2158.19873      1797.63745 
        42.0000      2160.61987      1799.23718 
        43.0000      2264.40039      1842.65564 
        44.0000      2300.15234      1874.78955 
        45.0000      2300.30469      1874.84998 
        46.0000      2300.45728      1874.90710 
        47.0000      2300.60962      1874.96191 
        48.0000      2300.76196      1875.01587 
        49.0000      2300.91431      1875.06897 
        50.0000      2301.06689      1875.12158 
        51.0000      2301.21924      1875.17407 
        52.0000      2301.37158      1875.22583 
        53.0000      2301.52393      1875.27759 
        54.0000      2301.67651      1875.32922 
        55.0000      2301.82886      1875.38208 
        56.0000      2301.98120      1875.43567 
        57.0000      2302.13354      1875.48999 
        58.0000      2302.28589      1875.54468 
        59.0000      2302.43848      1875.59863 
        60.0000      2302.59082      1875.65210 
        61.0000      2302.74316      1875.70471 
        62.0000      2302.89551      1875.75659 
        63.0000      2303.04810      1875.80835 
        64.0000      2303.20044      1875.86060 
        65.0000      2303.35278      1875.91455 
        66.0000      2303.50513      1875.97046 
        67.0000      2303.65771      1876.02759 
        68.0000      2303.81006      1876.08484 
        69.0000      2303.96240      1876.13965 
        70.0000      2304.11475      1876.19299 
        71.0000      2304.26709      1876.24475 
        72.0000      2304.41968      1876.29639 
        73.0000      2304.57202      1876.34937 
        74.0000      2304.72437      1876.40454 
        75.0000      2304.87671      1876.46228 
        76.0000      2305.02930      1876.52148 
        77.0000      2305.18164      1876.58069 
        78.0000      2305.33398      1876.63855 
        79.0000      2305.48633      1876.69507 
        80.0000      2305.63892      1876.74988 
        81.0000      2305.79126      1876.80273 
        82.0000      2305.94360      1876.85474 
        83.0000      2306.09595      1876.90674 
        84.0000      2306.24829      1876.95850 
        85.0000      2306.40088      1877.01086 
        86.0000      2306.55322      1877.06458 
        87.0000      2306.70557      1877.12012 
        88.0000      2306.85791      1877.17688 
        89.0000      2307.01050      1877.23511 
        90.0000      2307.16284      1877.29541 
        91.0000      2307.31519      1877.35742 
        92.0000      2307.46753      1877.41980 
        93.0000      2307.62012      1877.48218 
        94.0000      2307.77246      1877.54260 
        95.0000      2307.92480      1877.60144 
        96.0000      2308.07715      1877.65723 
        97.0000      2308.22949      1877.71094 
        98.0000      2308.38208      1877.76318 
        99.0000      2308.53442      1877.81421 
       100.0000      2308.68677      1877.86438 
       101.0000      2308.83911      1877.91406 
       102.0000      2308.99170      1877.96423 
       103.0000      2309.14404      1878.01477 
       104.0000      2309.29639      1878.06592 
       105.0000      2309.44873      1878.11731 
       106.0000      2309.60132      1878.16943 
       107.0000      2309.75366      1878.22217 
       108.0000      2309.90601      1878.27527 
       109.0000      2310.05835      1878.32971 
       110.0000      2310.21069      1878.38574 
       111.0000      2310.36328      1878.44226 
       112.0000      2310.51562      1878.49915 
       113.0000      2310.66797      1878.55603 
       114.0000      2310.82031      1878.61243 
       115.0000      2310.97290      1878.67004 
       116.0000      2311.12524      1878.72876 
       117.0000      2311.27759      1878.78870 
       118.0000      2311.42993      1878.84973 
       119.0000      2311.58252      1878.91223 
       120.0000      2311.73486      1878.97522 
       121.0000      2311.88721      1879.03918 
       122.0000      2312.03955      1879.10352 
       123.0000      2312.19189      1879.16687 
       124.0000      2312.34448      1879.22900 
       125.0000      2312.49683      1879.29004 
       126.0000      2312.64917      1879.34961 
       127.0000      2312.80151      1879.40894 
       128.0000      2312.95410      1879.46863 
       129.0000      2313.10645      1879.52844 
       130.0000      2313.25879      1879.58789 
       131.0000      2313.41113      1879.64673 
